gene,condition,n_downstream,ontarget_significant,donor_corr_hits_mean,donor_corr_all_mean,donor_corr_hits_min,n_cells,rank_n_downstream,donor_robust
ZNF131,Stim8hr,78,True,0.7337170871008384,0.0519989719240936,0.5699356624259923,82.0,1526,True
TOR1A,Rest,77,True,0.2087150779612856,0.0374371508057797,0.099517096722033,931.0,1536,False
CWC27,Stim8hr,77,True,0.5333048827460581,0.0124326826384423,0.371736033222114,904.0,1536,False
METRN,Rest,77,True,0.7083173197257812,0.0321484359031512,0.6110164584644727,108.0,1536,True
SBDS,Stim48hr,77,True,0.6702855620544089,0.1935300918695806,0.5491691735009496,304.0,1536,True
ZNF254,Rest,77,True,-0.1184012984561446,-0.0063030474154886,-0.2618181630876667,271.0,1536,False
ECI2,Stim8hr,77,True,0.7909702781979785,0.1229954220424705,0.7141603745260873,275.0,1536,True
CARD6,Stim48hr,77,True,0.6654388358932685,0.0531624442379983,0.633615348816997,568.0,1536,True
SKA2,Stim48hr,77,True,0.7309709805827308,0.0304037699065961,0.7200819665289889,547.0,1536,True
TP53RK,Stim8hr,77,True,0.3600410585299012,0.0342209799982749,0.2616062269575331,424.0,1536,False
ITM2A,Stim8hr,77,True,0.0480365450955661,0.0653515068290579,-0.0702643902920731,469.0,1536,False
MANF,Rest,76,True,0.7102842032977946,0.0239157925059809,0.6752175902654903,462.0,1544,True
FANCC,Stim48hr,76,True,0.5389432774824133,0.0505304930138567,0.201249440312193,203.0,1544,False
PTDSS1,Stim48hr,76,True,0.8864208416518725,0.1832097435517654,0.8607979878812732,208.0,1544,True
TPST2,Stim48hr,76,True,0.6855206543518185,0.0720394306682238,0.6417465715924694,180.0,1544,True
RREB1,Stim8hr,76,True,0.8635857466912681,0.1058008010438118,0.8072735880754317,791.0,1544,True
SLC25A32,Stim48hr,75,True,0.4423572704420746,0.0658594984735786,0.3349824780942024,240.0,1550,False
DDX31,Stim48hr,75,True,0.3516190830983416,0.0763139954059139,0.1599101943041555,246.0,1550,False
RAD23A,Rest,75,True,0.5820002147931169,0.0153461389342434,0.5264687000258947,1158.0,1550,True
SLC25A3,Rest,75,True,0.4717755878700613,0.1146011116477528,0.3826442110026882,452.0,1550,False
USP4,Stim48hr,75,True,0.8571775162175611,0.07131721388884,0.7942743663003845,363.0,1550,True
MIGA2,Stim48hr,75,True,0.1365657077592689,0.1120030323930575,-0.3762320484935507,1365.0,1550,False
EMC7,Stim48hr,75,True,0.7586278450097335,0.103347871659509,0.7124006854409956,625.0,1550,True
NSUN2,Stim8hr,75,True,0.8400384301825917,0.187683645932386,0.8236468970128814,590.0,1550,True
ZCCHC17,Stim8hr,74,True,0.8943505773913207,0.1291366789164564,0.8806097513219259,461.0,1560,True
XIAP,Stim48hr,74,True,0.6924034035719956,0.0877555547624079,0.5911205348937801,99.0,1560,True
EOLA1,Rest,74,True,0.0481471050436705,-0.0061788135026301,-0.0928539048629239,1382.0,1560,False
GTF3C4,Stim8hr,74,True,0.8224618046023772,0.0932905003235831,0.7802239648660364,152.0,1560,True
PFDN4,Stim48hr,74,True,0.8992317595553391,0.1122826952566368,0.8415484153855609,160.0,1560,True
MTG2,Rest,74,True,0.8202790815307018,0.169512256559161,0.8163423649541056,203.0,1560,True
UBL3,Rest,74,True,0.7596787818307446,0.1136696603278678,0.7007959175339429,528.0,1560,True
CHIC2,Stim8hr,74,True,0.7485355410644061,0.0136765765030479,0.7246985757103295,2317.0,1560,True
GGACT,Rest,74,True,0.8619067680351571,0.1306824000461561,0.8258124088040236,106.0,1560,True
EIF1B,Stim48hr,74,True,0.6390124263504934,0.0792919881115289,0.5592877658341285,173.0,1560,True
PRKRA,Stim48hr,74,True,0.8134699252574147,0.1535674888550039,0.7736226395589902,725.0,1560,True
C18orf32,Stim8hr,73,True,0.7894923961024017,0.0492891349719263,0.7587173734812359,224.0,1571,True
SMS,Rest,73,True,0.0189845633060801,0.0748583133498243,-0.0377513203316598,312.0,1571,False
