gene,old_rank,new_rank,rank_shift,regpower_eb_mean,guide_corr,donor_corr,single_guide_frac,repro_weight,reweighted_score,donor_metadata,n_guides_med,peak_condition
SKIC8,40,56,-16,1.8694,0.238,0.767,0.0,0.547,1.0226,presente,2.0,Stim48hr
PCGF1,106,57,49,1.5421,0.424,0.851,0.0,0.659,1.0162,presente,2.0,Stim48hr
MEN1,89,58,31,1.6223,0.423,0.738,0.0,0.618,1.0026,presente,2.0,Stim48hr
SMG7,47,59,-12,1.8224,0.257,0.749,0.0,0.55,1.0023,presente,2.0,Stim8hr
DOLPP1,50,60,-10,1.7982,0.292,0.719,0.0,0.555,0.998,presente,2.0,Stim8hr
INTS10,53,61,-8,1.7782,0.278,0.757,0.0,0.561,0.9976,presente,2.0,Stim48hr
BRPF1,71,62,9,1.6936,0.302,0.804,0.0,0.587,0.9941,presente,2.0,Stim8hr
MED19,54,63,-9,1.7744,0.286,0.741,0.0,0.56,0.9937,presente,2.0,Stim8hr
LCK,109,64,45,1.537,,0.715,0.0,0.643,0.9883,presente,2.0,Stim8hr
NCKAP1L,51,65,-14,1.7972,0.25,0.754,0.0,0.548,0.9849,presente,2.0,Rest
NCOR1,73,66,7,1.6885,0.274,0.828,0.0,0.582,0.9827,presente,2.0,Stim48hr
STIP1,70,67,3,1.7019,0.292,0.782,0.0,0.575,0.9786,presente,2.0,Stim48hr
EWSR1,64,68,-4,1.7248,0.262,0.792,0.0,0.565,0.9745,presente,2.0,Rest
STAT5B,105,69,36,1.5469,,0.679,0.0,0.63,0.9745,presente,2.0,Rest
PTPRC,134,70,64,1.4233,,0.813,0.0,0.68,0.9678,presente,2.0,Stim48hr
NCAPG2,75,71,4,1.6787,,0.536,0.0,0.576,0.9669,presente,2.0,Stim8hr
GABPB1,80,72,8,1.6699,0.311,0.767,0.0,0.579,0.9669,presente,2.0,Stim8hr
TRIP12,91,73,18,1.6187,0.308,0.822,0.0,0.596,0.9647,presente,2.0,Rest
DOHH,116,74,42,1.4943,,0.717,0.0,0.644,0.9623,presente,2.0,Stim8hr
STRAP,62,75,-13,1.7351,0.251,0.763,0.0,0.551,0.956,presente,2.0,Rest
TAF11,59,76,-17,1.7506,0.222,0.788,0.0,0.546,0.9558,presente,2.0,Stim8hr
EIF4G1,132,77,55,1.4238,,0.772,0.0,0.665,0.9468,presente,2.0,Stim8hr
PDCL,72,78,-6,1.6932,0.251,0.784,0.0,0.558,0.9448,presente,2.0,Stim48hr
DNTTIP1,83,79,4,1.6601,0.296,0.749,0.0,0.567,0.9413,presente,2.0,Stim8hr
FAM98B,85,80,5,1.647,0.279,0.784,0.0,0.57,0.9388,presente,2.0,Stim48hr
LRPPRC,86,81,5,1.6456,0.295,0.761,0.0,0.57,0.938,presente,2.0,Stim48hr
DUSP12,139,82,57,1.4113,,0.769,0.0,0.664,0.9371,presente,2.0,Rest
ARHGAP30,99,83,16,1.5743,0.281,0.835,0.0,0.588,0.9257,presente,2.0,Rest
CSDE1,79,84,-5,1.6748,0.242,0.764,0.0,0.548,0.9178,presente,2.0,Rest
MYB,65,85,-20,1.7232,0.243,0.712,0.0,0.532,0.9167,presente,2.0,Rest
CASC3,60,86,-26,1.7428,0.18,0.775,0.0,0.524,0.9132,presente,2.0,Stim8hr
CAND1,94,87,7,1.5954,0.27,0.793,0.0,0.569,0.9078,presente,2.0,Stim8hr
CHD4,102,88,14,1.5591,0.319,0.765,0.0,0.582,0.9074,presente,2.0,Stim8hr
DOP1B,58,89,-31,1.7578,,0.375,0.0,0.516,0.907,presente,2.0,Stim48hr
HCCS,67,90,-23,1.7063,0.265,0.657,0.0,0.524,0.8941,presente,2.0,Stim8hr
SMARCA5,103,91,12,1.5579,0.307,0.739,0.0,0.568,0.8849,presente,2.0,Rest
SEL1L,137,92,45,1.4201,0.361,0.819,0.0,0.619,0.879,presente,2.0,Rest
TSC1,107,93,14,1.5413,0.234,0.837,0.0,0.567,0.8739,presente,2.0,Rest
SP2,112,94,18,1.5271,0.227,0.84,0.0,0.565,0.8628,presente,2.0,Stim8hr
UBE2L3,32,95,-63,1.9877,0.169,0.484,0.0,0.434,0.8627,presente,2.0,Stim8hr
FUBP1,97,96,1,1.577,0.232,0.776,0.0,0.547,0.8626,presente,2.0,Stim48hr
METTL1,108,97,11,1.5397,0.272,0.76,0.0,0.56,0.8622,presente,2.0,Stim48hr
CBFB,87,98,-11,1.6337,0.258,0.668,0.0,0.524,0.8561,presente,2.0,Stim48hr
WDR59,110,99,11,1.5344,0.256,0.772,0.0,0.556,0.8531,presente,2.0,Stim48hr
FOXO1,111,100,11,1.5278,0.25,0.784,0.0,0.558,0.8525,presente,2.0,Rest
DDRGK1,104,101,3,1.5529,0.236,0.776,0.0,0.549,0.8525,presente,2.0,Stim8hr
ACTR8,171,102,69,1.2562,,0.808,0.0,0.678,0.8517,presente,2.0,Rest
TFAM,98,103,-5,1.5767,0.222,0.764,0.0,0.539,0.8498,presente,2.0,Stim48hr
ATXN7L3,118,104,14,1.4847,0.309,0.743,0.0,0.57,0.8463,presente,2.0,Stim8hr
IWS1,167,105,62,1.2707,,0.777,0.0,0.666,0.8463,presente,2.0,Rest
USP7,57,106,-49,1.7591,,0.742,0.67,0.479,0.8426,presente,1.0,Stim8hr
CFAP20,120,107,13,1.4748,0.263,0.805,0.0,0.57,0.8406,presente,2.0,Stim48hr
KIFAP3,46,108,-62,1.8239,0.023,0.792,0.0,0.458,0.8353,presente,2.0,Rest
GPI,138,109,29,1.419,0.299,0.806,0.0,0.586,0.8315,presente,2.0,Stim48hr
POGLUT3,69,110,-41,1.7046,,0.766,0.67,0.485,0.8267,presente,1.0,Stim8hr
CHD7,45,111,-66,1.8432,0.033,0.732,0.0,0.447,0.8239,presente,2.0,Stim8hr
KTI12,122,112,10,1.4556,0.282,0.759,0.0,0.564,0.821,presente,2.0,Stim8hr
CCNQ,182,113,69,1.218,,0.793,0.0,0.672,0.8185,presente,2.0,Stim8hr
CXXC1,115,114,1,1.5139,0.257,0.718,0.0,0.54,0.8175,presente,2.0,Stim8hr
SIK3,135,115,20,1.4228,0.298,0.769,0.0,0.574,0.8167,presente,2.0,Stim48hr
STK11,119,116,3,1.4778,0.263,0.748,0.0,0.552,0.8157,presente,2.0,Stim8hr
DCP2,117,117,0,1.4928,,0.68,0.33,0.546,0.8151,presente,2.0,Stim8hr
MCTS1,93,118,-25,1.6038,0.14,0.784,0.0,0.508,0.8147,presente,2.0,Stim8hr
UBR4,140,119,21,1.4031,0.282,0.811,0.0,0.58,0.8138,presente,2.0,Rest
TNPO1,100,120,-20,1.5681,0.163,0.782,0.0,0.518,0.8123,presente,2.0,Stim48hr
TIPRL,125,121,4,1.4488,0.246,0.797,0.0,0.56,0.8113,presente,2.0,Stim8hr
LAMTOR2,172,122,50,1.2544,0.468,0.759,0.0,0.645,0.8091,presente,2.0,Stim48hr
ATXN10,114,123,-9,1.5176,0.274,0.667,0.0,0.531,0.8058,presente,2.0,Rest
THAP11,95,124,-29,1.5919,0.191,0.7,0.0,0.506,0.8055,presente,2.0,Rest
CDK13,143,125,18,1.3869,0.272,0.824,0.0,0.58,0.8044,presente,2.0,Stim48hr
TMED9,81,126,-45,1.6644,0.116,0.721,0.0,0.48,0.7989,presente,2.0,Stim8hr
SRSF10,141,127,14,1.4005,0.299,0.754,0.0,0.57,0.7983,presente,2.0,Stim8hr
PCYT2,129,128,1,1.4303,0.259,0.765,0.0,0.556,0.7952,presente,2.0,Rest
CYB5R4,126,129,-3,1.4467,0.285,0.679,0.0,0.539,0.7798,presente,2.0,Stim8hr
DPH5,128,130,-2,1.4326,0.243,0.751,0.0,0.544,0.7793,presente,2.0,Stim48hr
GDAP2,145,131,14,1.3805,0.306,0.723,0.0,0.563,0.7772,presente,2.0,Stim48hr
KMT5B,124,132,-8,1.4502,0.191,0.798,0.0,0.535,0.7759,presente,2.0,Stim48hr
BRK1,142,133,9,1.3897,0.284,0.733,0.0,0.557,0.7741,presente,2.0,Stim8hr
PGGT1B,192,134,58,1.1919,0.476,0.758,0.0,0.649,0.7735,presente,2.0,Stim8hr
TSPYL5,193,135,58,1.1875,,0.736,0.0,0.651,0.7731,presente,2.0,Stim8hr
C1D,121,136,-15,1.4615,0.245,0.697,0.0,0.528,0.7717,presente,2.0,Stim8hr
UVRAG,176,137,39,1.2405,,0.658,0.0,0.622,0.7716,presente,2.0,Rest
DDX6,101,138,-37,1.5599,0.173,0.674,0.0,0.491,0.7659,presente,2.0,Stim48hr
SMG9,131,139,-8,1.4248,0.186,0.809,0.0,0.536,0.7637,presente,2.0,Stim48hr
UBE2I,160,140,20,1.313,,0.779,0.33,0.578,0.7589,presente,2.0,Stim48hr
TARS2,92,141,-49,1.6039,0.148,0.642,0.0,0.471,0.7554,presente,2.0,Stim8hr
THRAP3,156,142,14,1.3351,0.243,0.816,0.0,0.564,0.753,presente,2.0,Rest
SMG8,149,143,6,1.3507,0.178,0.854,0.0,0.546,0.7375,presente,2.0,Stim8hr
HAPSTR1,144,144,0,1.381,0.187,0.796,0.0,0.533,0.7361,presente,2.0,Stim48hr
BRMS1,158,145,13,1.3186,0.215,0.818,0.0,0.552,0.7279,presente,2.0,Stim48hr
BATF,183,146,37,1.2135,0.356,0.749,0.0,0.593,0.7196,presente,2.0,Stim8hr
YY1,161,147,14,1.3109,0.223,0.78,0.0,0.544,0.7131,presente,2.0,Stim8hr
DOCK2,157,148,9,1.332,0.194,0.783,0.0,0.532,0.7086,presente,2.0,Rest
INTS14,123,149,-26,1.4506,0.136,0.708,0.0,0.485,0.7035,presente,2.0,Rest
CUL3,151,150,1,1.3437,0.26,0.654,0.0,0.521,0.7001,presente,2.0,Rest
SLC35B1,213,151,62,1.143,0.357,0.796,0.0,0.609,0.6961,presente,2.0,Stim8hr
LAT,244,152,92,1.0337,,0.795,0.0,0.673,0.6957,presente,2.0,Stim8hr
CTDSPL2,184,153,31,1.2107,0.255,0.827,0.0,0.573,0.6937,presente,2.0,Stim48hr
NRBP1,169,154,15,1.2592,,0.681,0.33,0.547,0.6888,presente,2.0,Stim48hr
MBD2,215,155,60,1.1325,,0.618,0.0,0.607,0.6874,presente,2.0,Stim8hr
EIF1,197,156,41,1.1839,0.277,0.81,0.0,0.578,0.6843,presente,2.0,Stim8hr
YEATS2,170,157,13,1.2579,0.231,0.758,0.0,0.541,0.6805,presente,2.0,Stim48hr
DNAJC8,204,158,46,1.1671,0.308,0.767,0.0,0.578,0.6746,presente,2.0,Stim48hr
COX6C,163,159,4,1.3055,0.236,0.664,0.0,0.514,0.671,presente,2.0,Stim8hr
ARIH1,162,160,2,1.3062,0.218,0.682,0.0,0.512,0.6688,presente,2.0,Stim48hr
NFKB2,152,161,-9,1.3378,0.243,0.606,0.0,0.499,0.6676,presente,2.0,Stim8hr
RNF20,187,162,25,1.202,0.253,0.761,0.0,0.551,0.6623,presente,2.0,Stim48hr
IST1,273,163,110,0.9737,,0.805,0.0,0.677,0.6592,presente,2.0,Rest
FNBP4,147,164,-17,1.3616,0.213,0.597,0.0,0.484,0.659,presente,2.0,Stim8hr
TMEM214,257,165,92,1.004,,0.747,0.0,0.655,0.6576,presente,2.0,Stim48hr
UBAP2L,202,166,36,1.172,0.25,0.796,0.0,0.561,0.6575,presente,2.0,Stim8hr
ELP3,199,167,32,1.1802,0.232,0.809,0.0,0.557,0.6574,presente,2.0,Stim8hr
UBXN1,34,168,-134,1.9518,0.076,0.247,0.0,0.336,0.6558,presente,2.0,Rest
NKAPD1,154,169,-15,1.3362,0.181,0.659,0.0,0.49,0.6547,presente,2.0,Stim48hr
BCS1L,185,170,15,1.2071,0.257,0.725,0.0,0.542,0.6542,presente,2.0,Stim48hr
IL2RB,276,171,105,0.9688,,0.8,0.0,0.675,0.6539,presente,2.0,Stim48hr
ELP2,206,172,34,1.1561,0.265,0.787,0.0,0.565,0.6532,presente,2.0,Stim8hr
MED1,267,173,94,0.9795,,0.774,0.0,0.665,0.6514,presente,2.0,Stim8hr
PPCS,191,174,17,1.1963,0.251,0.741,0.0,0.544,0.6508,presente,2.0,Stim8hr
CEP43,207,175,32,1.1541,0.265,0.782,0.0,0.563,0.6498,presente,2.0,Rest
L3MBTL2,239,176,63,1.047,0.319,0.875,0.0,0.618,0.647,presente,2.0,Stim48hr
NUDCD1,174,177,-3,1.2498,0.192,0.723,0.0,0.513,0.6411,presente,2.0,Stim48hr
ARPC2,166,178,-12,1.2709,0.239,0.628,0.0,0.504,0.6405,presente,2.0,Stim8hr
ATF7IP2,41,179,-138,1.862,-0.069,0.371,0.0,0.343,0.6387,presente,2.0,Stim8hr
FH,196,180,16,1.1843,,0.784,0.5,0.535,0.6336,presente,1.5,Rest
EIF3H,217,181,36,1.1255,0.247,0.797,0.0,0.561,0.6314,presente,2.0,Rest
MOV10,90,182,-92,1.6189,0.12,0.388,0.0,0.389,0.6298,presente,2.0,Stim48hr
USO1,189,183,6,1.1967,0.217,0.727,0.0,0.525,0.6283,presente,2.0,Stim8hr
WAPL,277,184,93,0.9672,,0.712,0.0,0.642,0.6209,presente,2.0,Stim8hr
TP53INP2,150,185,-35,1.3465,0.044,0.763,0.0,0.46,0.6194,presente,2.0,Stim48hr
MIPEP,190,186,4,1.1965,0.166,0.772,0.0,0.517,0.6186,presente,2.0,Stim48hr
METAP2,179,187,-8,1.2236,0.203,0.679,0.0,0.505,0.6179,presente,2.0,Rest
FZD6,250,188,62,1.0177,,0.618,0.0,0.607,0.6177,presente,2.0,Stim8hr
UFL1,113,189,-76,1.5202,,0.799,1.0,0.405,0.6157,presente,1.0,Stim8hr
NAA20,264,190,74,0.9849,,0.667,0.0,0.625,0.6156,presente,2.0,Stim8hr
RPTOR,173,191,-18,1.2508,0.183,0.663,0.0,0.492,0.6154,presente,2.0,Stim8hr
TMED10,219,192,27,1.122,0.2,0.818,0.0,0.546,0.6126,presente,2.0,Stim8hr
SAMD1,209,193,16,1.1508,0.145,0.841,0.0,0.527,0.6065,presente,2.0,Stim48hr
MPI,228,194,34,1.0928,0.249,0.764,0.0,0.551,0.6021,presente,2.0,Stim8hr
RBM10,243,195,48,1.0379,0.252,0.845,0.0,0.577,0.5989,presente,2.0,Stim48hr
MYO9A,220,196,24,1.1208,0.168,0.826,0.0,0.533,0.5974,presente,2.0,Stim48hr
ZMYM2,205,197,8,1.1653,,0.36,0.0,0.51,0.5943,presente,2.0,Rest
RCOR1,268,198,70,0.9775,0.303,0.853,0.0,0.604,0.5904,presente,2.0,Stim48hr
CLCC1,148,199,-51,1.351,0.135,0.538,0.0,0.436,0.589,presente,2.0,Stim48hr
MIOS,180,200,-20,1.2234,0.228,0.566,0.0,0.481,0.5885,presente,2.0,Stim48hr
GABARAPL1,318,201,117,0.872,,0.793,0.0,0.672,0.586,presente,2.0,Rest
INSR,188,202,-14,1.202,0.066,0.817,0.0,0.484,0.5818,presente,2.0,Rest
UQCRB,223,203,20,1.1159,0.186,0.756,0.0,0.521,0.5814,presente,2.0,Stim48hr
CNOT4,235,204,31,1.0565,0.217,0.807,0.0,0.55,0.5811,presente,2.0,Stim48hr
RASGRP1,201,205,-4,1.1765,,0.315,0.0,0.493,0.58,presente,2.0,Stim8hr
INTS13,195,206,-11,1.1864,0.151,0.695,0.0,0.488,0.579,presente,2.0,Stim48hr
PNPT1,175,207,-32,1.2491,0.217,0.524,0.0,0.463,0.5783,presente,2.0,Stim8hr
ERCC4,186,208,-22,1.206,0.165,0.641,0.0,0.478,0.5765,presente,2.0,Stim48hr
MMAB,146,209,-63,1.3748,0.102,0.509,0.0,0.416,0.5719,presente,2.0,Rest
SCAF4,334,210,124,0.8305,,0.834,0.0,0.688,0.5714,presente,2.0,Stim48hr
INTS12,227,211,16,1.0961,0.204,0.731,0.0,0.521,0.5711,presente,2.0,Stim8hr
PPM1L,291,212,79,0.9291,,0.634,0.0,0.613,0.5695,presente,2.0,Rest
GMEB1,225,213,12,1.1091,0.134,0.805,0.0,0.512,0.5679,presente,2.0,Stim8hr
PLCG1,320,214,106,0.8673,0.441,0.814,0.0,0.653,0.5663,presente,2.0,Stim8hr
MED23,254,215,39,1.0069,0.207,0.854,0.0,0.559,0.5629,presente,2.0,Stim8hr
SEC63,249,216,33,1.0198,0.227,0.798,0.0,0.551,0.5619,presente,2.0,Stim48hr
RXRB,328,217,111,0.8446,,0.772,0.0,0.664,0.5608,presente,2.0,Stim48hr
KMT2E,222,218,4,1.1161,0.154,0.737,0.0,0.501,0.5592,presente,2.0,Stim48hr
ACTR5,233,219,14,1.067,0.253,0.67,0.0,0.523,0.558,presente,2.0,Stim8hr
ATP5PO,275,220,55,0.9706,0.278,0.796,0.0,0.574,0.5571,presente,2.0,Stim48hr
RHOA,262,221,41,0.9912,,,0.0,0.562,0.5571,ausente (peso neutral),2.0,Stim48hr
CFAP298,168,222,-54,1.265,,0.172,0.0,0.439,0.5553,presente,2.0,Stim8hr
INO80C,263,223,40,0.9871,0.238,0.804,0.0,0.559,0.5518,presente,2.0,Stim8hr
HDAC3,311,224,87,0.8881,,0.65,0.0,0.619,0.5497,presente,2.0,Rest
DDX1,260,225,35,0.9969,0.301,0.692,0.0,0.55,0.5483,presente,2.0,Stim8hr
ATRX,245,226,19,1.0327,0.205,0.755,0.0,0.529,0.5463,presente,2.0,Stim8hr
COG6,165,227,-62,1.2776,0.118,0.526,0.0,0.427,0.5455,presente,2.0,Stim8hr
KMT2C,242,228,14,1.0413,0.182,0.771,0.0,0.523,0.5446,presente,2.0,Stim48hr
PPP1R11,261,229,32,0.995,0.289,0.699,0.0,0.547,0.5443,presente,2.0,Stim8hr
ARPC3,216,230,-14,1.1264,0.184,0.625,0.0,0.481,0.5418,presente,2.0,Stim8hr
SRR,211,231,-20,1.1449,0.113,0.701,0.0,0.473,0.5415,presente,2.0,Stim8hr
VPS29,346,232,114,0.8153,,0.763,0.0,0.661,0.5389,presente,2.0,Stim8hr
PMVK,241,233,8,1.0434,0.128,0.828,0.0,0.515,0.5374,presente,2.0,Stim48hr
CCNK,350,234,116,0.8122,,0.76,0.0,0.66,0.5361,presente,2.0,Stim8hr
XRCC2,229,235,-6,1.0918,0.191,0.646,0.0,0.49,0.535,presente,2.0,Stim48hr
ZNF644,259,236,23,0.9994,0.189,0.796,0.0,0.534,0.5337,presente,2.0,Stim48hr
VEZT,358,237,121,0.8052,,0.765,0.0,0.662,0.533,presente,2.0,Stim8hr
ACTR2,271,238,33,0.9753,0.258,0.733,0.0,0.545,0.5315,presente,2.0,Stim48hr
DDX17,218,239,-21,1.1249,0.125,0.674,0.0,0.471,0.5298,presente,2.0,Rest
MRC2,210,240,-30,1.1504,0.057,0.741,0.0,0.46,0.5292,presente,2.0,Stim48hr
WIZ,269,241,28,0.9775,0.19,0.82,0.0,0.541,0.5288,presente,2.0,Stim8hr
TWNK,283,242,41,0.9456,0.226,0.824,0.0,0.559,0.5286,presente,2.0,Stim48hr
CNOT11,224,243,-19,1.1121,0.214,0.566,0.0,0.475,0.5282,presente,2.0,Stim8hr
CCNA2,226,244,-18,1.1068,0.14,0.673,0.0,0.477,0.5279,presente,2.0,Stim8hr
KLF2,282,245,37,0.951,0.342,0.654,0.0,0.555,0.5278,presente,2.0,Rest
FOXK1,375,246,129,0.7739,,0.818,0.0,0.682,0.5278,presente,2.0,Stim8hr
MOSPD2,155,247,-92,1.3357,0.053,0.5,0.0,0.395,0.5276,presente,2.0,Stim8hr
PPIH,253,248,5,1.0071,0.164,0.799,0.0,0.523,0.5267,presente,2.0,Stim8hr
DHPS,236,249,-13,1.0502,0.198,0.671,0.0,0.501,0.5262,presente,2.0,Rest
EGR2,286,250,36,0.938,0.233,0.82,0.0,0.561,0.5262,presente,2.0,Stim8hr
UQCRC1,331,251,80,0.8381,,0.672,0.0,0.627,0.5255,presente,2.0,Rest
OXA1L,272,252,20,0.9749,0.216,0.766,0.0,0.537,0.5235,presente,2.0,Stim48hr
UPF2,159,253,-94,1.3147,,0.759,1.0,0.396,0.5206,presente,1.0,Rest
ELP1,287,254,33,0.9361,0.253,0.773,0.0,0.555,0.5195,presente,2.0,Stim8hr
SCYL3,212,255,-43,1.1442,0.076,0.688,0.0,0.454,0.5195,presente,2.0,Stim48hr
PTPA,237,256,-19,1.0483,0.153,0.719,0.0,0.495,0.5189,presente,2.0,Stim48hr
DYNC2H1,300,257,43,0.9055,,0.524,0.0,0.571,0.517,presente,2.0,Rest
RASA2,289,258,31,0.9328,0.254,0.766,0.0,0.554,0.5168,presente,2.0,Rest
