gene,old_rank,new_rank,rank_shift,regpower_eb_mean,guide_corr,donor_corr,single_guide_frac,repro_weight,reweighted_score,donor_metadata,n_guides_med,peak_condition
DTWD1,1029,1075,-46,-0.127,,0.851,0.33,0.602,-0.0765,presente,2.0,Stim48hr
USF2,1184,1076,108,-0.3025,-0.002,0.695,1.0,0.254,-0.0768,presente,1.0,Stim8hr
PRKRA,1053,1077,-24,-0.1589,0.063,0.827,0.0,0.486,-0.0772,presente,2.0,Stim48hr
ZSWIM4,1103,1078,25,-0.2124,0.004,0.475,0.0,0.37,-0.0786,presente,2.0,Rest
VPS45,1042,1079,-37,-0.1483,,0.459,0.0,0.547,-0.0811,presente,2.0,Stim48hr
PITRM1,1056,1080,-24,-0.1626,0.113,0.793,0.0,0.499,-0.0811,presente,2.0,Stim48hr
CCDC28B,1038,1081,-43,-0.1444,,0.73,0.33,0.563,-0.0813,presente,2.0,Rest
SNTB1,1065,1082,-17,-0.1737,0.074,0.755,0.0,0.471,-0.0818,presente,2.0,Rest
IMMP1L,1073,1083,-10,-0.1815,0.15,0.576,0.0,0.453,-0.0822,presente,2.0,Rest
AUP1,1186,1084,102,-0.3039,0.042,0.743,1.0,0.272,-0.0827,presente,1.0,Stim48hr
SCAP,1071,1085,-14,-0.179,0.031,0.796,0.0,0.463,-0.0829,presente,2.0,Stim48hr
DHRS7,1055,1086,-31,-0.1624,0.173,0.751,0.0,0.514,-0.0835,presente,2.0,Stim8hr
GSTCD,1070,1087,-17,-0.1773,0.044,0.805,0.0,0.471,-0.0835,presente,2.0,Stim8hr
CCR4,1131,1088,43,-0.245,0.076,0.272,0.0,0.342,-0.0838,presente,2.0,Rest
SPOP,1074,1089,-15,-0.1819,0.071,0.724,0.0,0.462,-0.084,presente,2.0,Rest
EMC3,1209,1090,119,-0.3206,0.107,0.587,1.0,0.263,-0.0843,presente,1.0,Stim48hr
JOSD2,1078,1091,-13,-0.1863,0.079,0.684,0.0,0.454,-0.0846,presente,2.0,Rest
ZPR1,1034,1092,-58,-0.1357,,0.665,0.0,0.624,-0.0847,presente,2.0,Rest
IQCG,1124,1093,31,-0.2353,-0.036,0.455,0.0,0.364,-0.0856,presente,2.0,Stim48hr
NUDT19,1089,1094,-5,-0.1978,0.048,0.653,0.0,0.433,-0.0856,presente,2.0,Rest
AP1S2,1173,1095,78,-0.2884,0.019,0.167,0.0,0.297,-0.0857,presente,2.0,Rest
MLKL,1212,1096,116,-0.325,0.017,0.039,0.0,0.264,-0.0858,presente,2.0,Stim48hr
ATG12,1151,1097,54,-0.2664,0.008,0.279,0.0,0.322,-0.0858,presente,2.0,Rest
ELP6,1120,1098,22,-0.2265,0.037,0.491,0.0,0.386,-0.0874,presente,2.0,Rest
IFI30,1226,1099,127,-0.3377,0.044,-0.146,0.0,0.261,-0.0881,presente,2.0,Stim8hr
ZBTB9,1087,1100,-13,-0.1968,0.13,0.597,0.0,0.451,-0.0888,presente,2.0,Rest
ETNK1,1064,1101,-37,-0.1721,0.166,0.794,0.0,0.523,-0.09,presente,2.0,Rest
ADM5,1239,1102,137,-0.3495,0.032,-0.103,0.0,0.258,-0.0902,presente,2.0,Stim8hr
ABCC1,1094,1103,-9,-0.2005,0.042,0.73,0.0,0.45,-0.0902,presente,2.0,Rest
SMAD4,1057,1104,-47,-0.1629,0.184,0.887,0.0,0.558,-0.0909,presente,2.0,Rest
ECSIT,1075,1105,-30,-0.183,0.071,0.86,0.0,0.498,-0.0911,presente,2.0,Stim48hr
FBXO2,1129,1106,23,-0.2383,0.079,0.426,0.0,0.385,-0.0917,presente,2.0,Rest
METRN,1083,1107,-24,-0.1933,0.122,0.72,0.0,0.482,-0.0932,presente,2.0,Rest
CIT,1134,1108,26,-0.2488,0.069,0.404,0.0,0.375,-0.0933,presente,2.0,Rest
PHF8,1077,1109,-32,-0.1858,0.093,0.837,0.0,0.502,-0.0933,presente,2.0,Stim48hr
GARIN1A,1280,1110,170,-0.3971,0.043,,1.0,0.235,-0.0933,ausente (peso neutral),1.0,Rest
PET117,1152,1111,41,-0.2679,,0.565,1.0,0.352,-0.0943,presente,1.0,Stim8hr
TEFM,1084,1112,-28,-0.1933,0.085,0.804,0.0,0.489,-0.0945,presente,2.0,Stim48hr
TMPRSS13,1291,1113,178,-0.4128,0.018,,1.0,0.229,-0.0945,ausente (peso neutral),1.0,Rest
ZNF829,1176,1114,62,-0.2932,0.039,0.243,0.0,0.323,-0.0947,presente,2.0,Stim8hr
PPP3R1,1108,1115,-7,-0.2142,-0.012,0.776,0.0,0.444,-0.0951,presente,2.0,Stim8hr
COMMD5,1082,1116,-34,-0.1921,,0.8,0.67,0.495,-0.0951,presente,1.0,Stim48hr
LAMP1,1214,1117,97,-0.3268,0.114,0.054,0.0,0.293,-0.0958,presente,2.0,Rest
FAM3C,1091,1118,-27,-0.2004,0.054,0.818,0.0,0.479,-0.096,presente,2.0,Rest
FANCD2,1098,1119,-21,-0.2084,0.062,0.741,0.0,0.462,-0.0963,presente,2.0,Rest
NLRX1,1088,1120,-32,-0.1972,0.085,0.804,0.0,0.489,-0.0964,presente,2.0,Rest
SGK3,1102,1121,-19,-0.2098,,0.237,0.0,0.464,-0.0973,presente,2.0,Rest
GYPC,1113,1122,-9,-0.221,0.009,0.749,0.0,0.441,-0.0975,presente,2.0,Stim48hr
DNMT3A,1174,1123,51,-0.2914,0.055,0.271,0.0,0.335,-0.0976,presente,2.0,Rest
ZCRB1,1044,1124,-80,-0.15,,0.745,0.0,0.654,-0.0981,presente,2.0,Stim8hr
MLLT3,1058,1125,-67,-0.1653,,0.595,0.0,0.598,-0.0988,presente,2.0,Stim8hr
GUCA1B,1290,1126,164,-0.4119,0.076,,1.0,0.242,-0.0997,ausente (peso neutral),1.0,Stim8hr
SLC16A5,1121,1127,-6,-0.2285,,0.946,1.0,0.438,-0.1001,presente,1.0,Rest
ZBED1,1122,1128,-6,-0.2312,0.021,0.703,0.0,0.435,-0.1006,presente,2.0,Rest
CAMTA2,1168,1129,39,-0.2841,,0.577,1.0,0.355,-0.1009,presente,1.0,Stim48hr
SIK2,1307,1130,177,-0.428,0.041,0.044,0.33,0.236,-0.101,presente,2.0,Rest
PGAM1,1096,1131,-35,-0.2035,0.117,0.798,0.0,0.502,-0.1022,presente,2.0,Stim8hr
VPS35,1046,1132,-86,-0.1532,,0.794,0.0,0.673,-0.1031,presente,2.0,Stim8hr
BLZF1,1107,1133,-26,-0.2137,0.064,0.819,0.0,0.484,-0.1034,presente,2.0,Rest
PIK3R4,1140,1134,6,-0.258,0.119,0.443,0.0,0.404,-0.1042,presente,2.0,Rest
SNPH,1138,1135,3,-0.2514,0.102,0.506,0.0,0.415,-0.1043,presente,2.0,Rest
PPP1R12A,1126,1136,-10,-0.2367,0.075,0.646,0.0,0.442,-0.1046,presente,2.0,Rest
ZC3HC1,1125,1137,-12,-0.2362,0.068,0.663,0.0,0.444,-0.1049,presente,2.0,Stim48hr
MTPAP,1194,1138,56,-0.3069,,0.522,1.0,0.342,-0.105,presente,1.0,Stim48hr
METTL3,1111,1139,-28,-0.2193,0.196,0.604,0.0,0.48,-0.1053,presente,2.0,Stim8hr
SUMO3,1281,1140,141,-0.3973,,0.179,1.0,0.265,-0.1053,presente,1.0,Stim48hr
MBD3,1097,1141,-44,-0.2042,0.182,0.745,0.0,0.516,-0.1054,presente,2.0,Stim48hr
VAMP5,1201,1142,59,-0.3151,,,1.0,0.337,-0.1062,ausente (peso neutral),1.0,Rest
SLC4A7,1204,1143,61,-0.3184,0.064,0.26,0.0,0.335,-0.1067,presente,2.0,Stim48hr
ZNF384,1080,1144,-64,-0.1909,0.194,0.883,0.0,0.562,-0.1073,presente,2.0,Rest
CTNNBL1,1208,1145,63,-0.3198,,,1.0,0.337,-0.1078,ausente (peso neutral),1.0,Stim48hr
NDFIP2,1109,1146,-37,-0.2148,0.092,0.85,0.0,0.505,-0.1085,presente,2.0,Stim8hr
WDR18,1085,1147,-62,-0.1939,,,0.0,0.562,-0.109,ausente (peso neutral),2.0,Stim8hr
DIS3L,1130,1148,-18,-0.2433,0.023,0.755,0.0,0.449,-0.1092,presente,2.0,Stim8hr
DPH2,1095,1149,-54,-0.2031,0.212,0.782,0.0,0.54,-0.1097,presente,2.0,Stim48hr
PABIR1,1139,1150,-11,-0.2537,0.115,0.553,0.0,0.433,-0.1099,presente,2.0,Stim8hr
TXNL1,1232,1151,81,-0.3432,0.082,0.195,0.0,0.323,-0.1109,presente,2.0,Stim8hr
CHMP4A,1247,1152,95,-0.3632,-0.055,0.232,0.0,0.308,-0.1119,presente,2.0,Stim8hr
CRTAP,1220,1153,67,-0.33,0.055,0.286,0.0,0.339,-0.1119,presente,2.0,Stim8hr
EMG1,1160,1154,6,-0.2772,,0.799,1.0,0.405,-0.1123,presente,1.0,Stim8hr
ING3,1326,1155,171,-0.4503,-0.001,-0.001,0.0,0.25,-0.1126,presente,2.0,Stim48hr
NOP9,1368,1156,212,-0.4873,0.033,,1.0,0.232,-0.1131,ausente (peso neutral),1.0,Stim8hr
TIA1,1271,1157,114,-0.3902,0.162,-0.024,0.0,0.291,-0.1135,presente,2.0,Stim8hr
BLOC1S2,1293,1158,135,-0.4132,0.068,0.03,0.0,0.275,-0.1136,presente,2.0,Stim48hr
SAC3D1,1610,1159,451,-0.7099,-0.033,0.075,1.0,0.161,-0.1143,presente,1.0,Rest
SMS,1154,1160,-6,-0.2718,0.081,0.562,0.0,0.422,-0.1147,presente,2.0,Rest
TRAF6,1118,1161,-43,-0.2262,0.122,0.811,0.0,0.508,-0.1149,presente,2.0,Stim8hr
IKZF2,1372,1162,210,-0.4899,0.047,,1.0,0.236,-0.1156,ausente (peso neutral),1.0,Stim48hr
TADA2A,1150,1163,-13,-0.2657,0.074,0.623,0.0,0.436,-0.1158,presente,2.0,Stim48hr
QRSL1,1105,1164,-59,-0.2133,0.168,0.864,0.0,0.544,-0.116,presente,2.0,Stim48hr
EFHD2,1149,1165,-16,-0.2655,,0.351,0.33,0.439,-0.1166,presente,2.0,Stim48hr
CHIC2,1132,1166,-34,-0.2463,0.08,0.76,0.0,0.475,-0.117,presente,2.0,Stim8hr
LARP1,1365,1167,198,-0.4834,0.078,,1.0,0.243,-0.1175,ausente (peso neutral),1.0,Rest
ORC4,1101,1168,-67,-0.2091,,,0.0,0.562,-0.1175,ausente (peso neutral),2.0,Stim8hr
PACS2,1203,1169,34,-0.3167,0.006,0.497,0.0,0.376,-0.1191,presente,2.0,Stim48hr
PMPCB,1236,1170,66,-0.3477,,0.532,1.0,0.345,-0.12,presente,1.0,Stim8hr
KRCC1,1362,1171,191,-0.4821,-0.007,-0.277,0.0,0.25,-0.1205,presente,2.0,Rest
OST4,1182,1172,10,-0.3004,0.015,0.587,0.0,0.403,-0.1211,presente,2.0,Stim48hr
BEGAIN,1123,1173,-50,-0.2331,0.144,0.821,0.0,0.521,-0.1214,presente,2.0,Stim8hr
CD2BP2,1153,1174,-21,-0.2681,-0.006,0.813,0.0,0.453,-0.1214,presente,2.0,Rest
METTL25B,1110,1175,-65,-0.2169,,,0.0,0.562,-0.1219,ausente (peso neutral),2.0,Stim8hr
ZFAT,1144,1176,-32,-0.2628,0.121,0.668,0.0,0.467,-0.1227,presente,2.0,Stim8hr
NOP53,1112,1177,-65,-0.2207,,0.484,0.0,0.557,-0.1229,presente,2.0,Stim8hr
GPRASP2,1431,1178,253,-0.5472,-0.005,,1.0,0.225,-0.1231,ausente (peso neutral),1.0,Rest
CENPJ,1252,1179,73,-0.3659,,,1.0,0.337,-0.1233,ausente (peso neutral),1.0,Stim48hr
MAPK14,1516,1180,336,-0.6148,0.126,0.204,1.0,0.203,-0.1248,presente,1.0,Stim48hr
LSM14A,1197,1181,16,-0.3101,0.04,0.55,0.0,0.403,-0.125,presente,2.0,Stim48hr
CYCS,1115,1182,-67,-0.2252,0.241,0.79,0.0,0.556,-0.1252,presente,2.0,Stim48hr
RAVER1,1141,1183,-42,-0.2589,0.16,0.668,0.0,0.484,-0.1253,presente,2.0,Stim8hr
ADAM10,1255,1184,71,-0.3732,,,1.0,0.337,-0.1258,ausente (peso neutral),1.0,Stim8hr
NFIX,1159,1185,-26,-0.2772,0.067,0.704,0.0,0.455,-0.1261,presente,2.0,Stim8hr
MTA3,1223,1186,37,-0.3367,0.059,0.423,0.0,0.377,-0.1269,presente,2.0,Stim8hr
LRRC8A,1231,1187,44,-0.3421,0.045,0.421,0.0,0.371,-0.1269,presente,2.0,Stim48hr
SUPT4H1,1170,1188,-18,-0.2866,0.197,0.483,0.0,0.444,-0.1273,presente,2.0,Stim8hr
BBS10,1254,1189,65,-0.3679,0.059,0.314,0.0,0.348,-0.128,presente,2.0,Stim8hr
AAR2,1127,1190,-63,-0.2383,,0.436,0.0,0.539,-0.1284,presente,2.0,Rest
BEND3,1379,1191,188,-0.4964,0.101,0.569,1.0,0.259,-0.1286,presente,1.0,Stim48hr
ALAD,1116,1192,-76,-0.2262,,0.519,0.0,0.569,-0.1287,presente,2.0,Stim48hr
SRA1,1106,1193,-87,-0.2137,,0.61,0.0,0.604,-0.1291,presente,2.0,Stim48hr
KCTD21,1145,1194,-49,-0.263,0.114,0.769,0.0,0.493,-0.1297,presente,2.0,Stim8hr
MTG1,1136,1195,-59,-0.25,0.15,0.817,0.0,0.522,-0.1305,presente,2.0,Stim48hr
UBXN6,1230,1196,34,-0.3401,-0.028,0.539,0.0,0.385,-0.1309,presente,2.0,Stim48hr
ZCWPW1,1465,1197,268,-0.5748,0.182,0.294,1.0,0.229,-0.1316,presente,1.0,Stim48hr
MYH9,1407,1198,209,-0.5221,0.017,-0.162,0.0,0.254,-0.1326,presente,2.0,Rest
URB2,1181,1199,-18,-0.2994,,0.182,0.0,0.443,-0.1326,presente,2.0,Stim8hr
PANK4,1100,1200,-100,-0.2088,,0.695,0.0,0.636,-0.1328,presente,2.0,Stim48hr
EIF2AK4,1405,1201,204,-0.5196,0.003,0.024,0.0,0.257,-0.1335,presente,2.0,Stim48hr
ZFHX3,1479,1202,277,-0.5828,0.019,,1.0,0.229,-0.1335,ausente (peso neutral),1.0,Stim8hr
CGGBP1,1497,1203,294,-0.5937,-0.023,,1.0,0.225,-0.1336,ausente (peso neutral),1.0,Rest
GRAP2,1278,1204,74,-0.3971,,,1.0,0.337,-0.1338,ausente (peso neutral),1.0,Rest
PARP2,1161,1205,-44,-0.2781,0.186,0.627,0.0,0.483,-0.1343,presente,2.0,Stim8hr
MORF4L1,1177,1206,-29,-0.2934,0.006,0.825,0.0,0.459,-0.1347,presente,2.0,Stim8hr
RUNX2,1443,1207,236,-0.5548,0.1,0.482,1.0,0.245,-0.1359,presente,1.0,Stim48hr
AUTS2,1432,1208,224,-0.5472,0.113,,1.0,0.25,-0.1368,ausente (peso neutral),1.0,Rest
LOXL2,1444,1209,235,-0.5564,0.002,0.634,1.0,0.246,-0.1369,presente,1.0,Stim48hr
IFNAR1,1199,1210,-11,-0.3149,0.069,0.63,0.0,0.436,-0.1373,presente,2.0,Stim8hr
PDE6D,1219,1211,8,-0.3285,0.026,0.633,0.0,0.419,-0.1376,presente,2.0,Stim48hr
ENTPD1,1166,1212,-46,-0.2841,0.078,0.809,0.0,0.488,-0.1386,presente,2.0,Stim48hr
CEP85,1137,1213,-76,-0.2501,,,0.0,0.562,-0.1406,ausente (peso neutral),2.0,Stim8hr
RREB1,1148,1214,-66,-0.2653,0.124,0.895,0.0,0.533,-0.1414,presente,2.0,Stim8hr
NEMP2,1442,1215,227,-0.5542,0.023,-0.178,0.0,0.256,-0.1419,presente,2.0,Rest
PPP1R3B,1193,1216,-23,-0.3065,0.155,0.615,0.0,0.466,-0.1428,presente,2.0,Rest
VIM,1461,1217,244,-0.5698,0.011,-0.099,0.0,0.253,-0.1442,presente,2.0,Stim8hr
FAM131A,1185,1218,-33,-0.303,0.108,0.717,0.0,0.476,-0.1442,presente,2.0,Rest
INO80E,1237,1219,18,-0.3481,,0.844,1.0,0.415,-0.1445,presente,1.0,Stim48hr
ZMYND19,1217,1220,-3,-0.3285,0.131,0.554,0.0,0.44,-0.1445,presente,2.0,Stim8hr
TRIM28,1534,1221,313,-0.627,0.032,0.498,1.0,0.232,-0.1455,presente,1.0,Stim48hr
C18orf32,1205,1222,-17,-0.3185,0.099,0.668,0.0,0.458,-0.1459,presente,2.0,Stim8hr
HSPA8,1183,1223,-40,-0.3024,0.053,0.844,0.0,0.486,-0.147,presente,2.0,Stim8hr
CALR,1487,1224,263,-0.5874,0.108,0.508,1.0,0.251,-0.1474,presente,1.0,Rest
NCAPH2,1274,1225,49,-0.3931,-0.018,,0.0,0.375,-0.1474,ausente (peso neutral),2.0,Stim48hr
CAB39,1483,1226,257,-0.5835,0.008,0.005,0.0,0.253,-0.1476,presente,2.0,Stim8hr
UBAC1,1491,1227,264,-0.5904,-0.041,-0.103,0.0,0.25,-0.1476,presente,2.0,Stim8hr
LMLN,1179,1228,-49,-0.2947,0.073,0.868,0.0,0.501,-0.1476,presente,2.0,Stim48hr
NPHP4,1495,1229,266,-0.593,-0.028,-0.266,0.0,0.25,-0.1482,presente,2.0,Stim8hr
SLC38A6,1146,1230,-84,-0.2637,,,0.0,0.562,-0.1482,ausente (peso neutral),2.0,Stim48hr
CARS2,1222,1231,-9,-0.3318,0.017,0.76,0.0,0.448,-0.1486,presente,2.0,Stim48hr
CHD2,1645,1232,413,-0.7334,0.033,0.307,1.0,0.203,-0.1489,presente,1.0,Stim48hr
UVSSA,1319,1233,86,-0.4423,,,1.0,0.337,-0.1491,ausente (peso neutral),1.0,Stim48hr
SLC7A11,1242,1234,8,-0.353,0.129,,0.0,0.424,-0.1497,ausente (peso neutral),2.0,Stim48hr
MSL1,1268,1235,33,-0.3856,0.039,,0.0,0.389,-0.15,ausente (peso neutral),2.0,Stim8hr
CEP350,1143,1236,-93,-0.2598,,0.543,0.0,0.579,-0.1504,presente,2.0,Stim8hr
JADE2,1158,1237,-79,-0.2772,0.171,0.857,0.0,0.544,-0.1508,presente,2.0,Stim8hr
PLA2G4A,1508,1238,270,-0.6059,0.001,-0.251,0.0,0.25,-0.1515,presente,2.0,Stim8hr
NMT2,1180,1239,-59,-0.2993,,0.85,0.67,0.508,-0.152,presente,1.0,Stim8hr
PLEKHH2,1191,1240,-49,-0.3064,0.072,0.853,0.0,0.497,-0.1523,presente,2.0,Stim8hr
ERI1,1525,1241,284,-0.6225,0.09,,1.0,0.245,-0.1525,ausente (peso neutral),1.0,Stim48hr
STK35,1164,1242,-78,-0.2824,0.166,0.855,0.0,0.541,-0.1528,presente,2.0,Rest
MARS2,1251,1243,8,-0.3659,0.114,,0.0,0.418,-0.1529,ausente (peso neutral),2.0,Stim48hr
PABPC4,1331,1244,87,-0.4552,,,1.0,0.337,-0.1534,ausente (peso neutral),1.0,Stim8hr
DYNLL1,1228,1245,-17,-0.3383,0.071,0.698,0.0,0.455,-0.1539,presente,2.0,Stim8hr
HAUS2,1156,1246,-90,-0.2738,,,0.0,0.562,-0.1539,ausente (peso neutral),2.0,Stim48hr
MACROH2A2,1524,1247,277,-0.6225,0.103,,1.0,0.248,-0.1544,ausente (peso neutral),1.0,Stim48hr
CEP89,1216,1248,-32,-0.328,0.101,0.71,0.0,0.471,-0.1545,presente,2.0,Stim48hr
ATP2B1,1225,1249,-24,-0.3373,-0.114,0.834,0.0,0.458,-0.1545,presente,2.0,Stim8hr
MTERF2,1399,1250,149,-0.5132,0.074,0.125,0.0,0.302,-0.155,presente,2.0,Rest
GTF2H5,1147,1251,-104,-0.2651,,0.802,0.33,0.586,-0.1553,presente,2.0,Stim8hr
CAMK1,1245,1252,-7,-0.3563,,0.168,0.0,0.438,-0.1561,presente,2.0,Stim48hr
CLUH,1234,1253,-19,-0.3454,0.075,0.696,0.0,0.456,-0.1575,presente,2.0,Stim48hr
CARD6,1210,1254,-44,-0.3234,0.145,0.71,0.0,0.489,-0.1581,presente,2.0,Stim48hr
KDELR3,1157,1255,-98,-0.2738,,0.545,0.0,0.579,-0.1585,presente,2.0,Stim48hr
NSMCE2,1348,1256,92,-0.4709,,,1.0,0.337,-0.1587,ausente (peso neutral),1.0,Stim8hr
LZIC,1349,1257,92,-0.4709,,,1.0,0.337,-0.1587,ausente (peso neutral),1.0,Stim8hr
FAAP24,1189,1258,-69,-0.3064,0.107,0.872,0.0,0.518,-0.1587,presente,2.0,Stim8hr
GOLT1B,1135,1259,-124,-0.2499,,0.707,0.0,0.64,-0.1599,presente,2.0,Stim8hr
MXI1,1218,1260,-42,-0.3285,0.011,0.939,0.0,0.49,-0.161,presente,2.0,Stim48hr
SNRPB2,1240,1261,-21,-0.3496,0.122,0.644,0.0,0.461,-0.1612,presente,2.0,Stim8hr
ELOC,1221,1262,-41,-0.3309,0.257,0.555,0.0,0.488,-0.1615,presente,2.0,Stim8hr
OSGEP,1339,1263,76,-0.4625,,0.556,1.0,0.35,-0.1619,presente,1.0,Stim8hr
DET1,1117,1264,-147,-0.2262,,0.91,0.0,0.716,-0.162,presente,2.0,Stim48hr
YPEL2,1243,1265,-22,-0.3535,-0.028,0.837,0.0,0.459,-0.1623,presente,2.0,Stim8hr
ASXL2,1366,1266,100,-0.4834,,,1.0,0.337,-0.1629,ausente (peso neutral),1.0,Rest
KLF10,1539,1267,272,-0.6369,0.022,-0.296,0.0,0.256,-0.163,presente,2.0,Stim8hr
TPR,1246,1268,-22,-0.3573,,0.218,0.0,0.457,-0.1633,presente,2.0,Rest
CHEK2,1285,1269,16,-0.4054,,0.345,0.5,0.403,-0.1634,presente,1.5,Rest
AASS,1272,1270,2,-0.3931,0.11,,0.0,0.416,-0.1635,ausente (peso neutral),2.0,Stim48hr
ASXL1,1207,1271,-64,-0.3195,0.155,0.773,0.0,0.512,-0.1636,presente,2.0,Rest
RWDD2B,1384,1272,112,-0.5006,0.011,0.293,0.0,0.327,-0.1637,presente,2.0,Stim8hr
CHD8,1579,1273,306,-0.6804,0.073,,1.0,0.241,-0.164,ausente (peso neutral),1.0,Stim48hr
CAMLG,1178,1274,-96,-0.294,,,0.0,0.562,-0.1652,ausente (peso neutral),2.0,Stim48hr
COMMD8,1229,1275,-46,-0.3393,0.097,0.776,0.0,0.487,-0.1652,presente,2.0,Stim48hr
MRTFB,1289,1276,13,-0.4119,0.078,,0.0,0.404,-0.1664,ausente (peso neutral),2.0,Stim8hr
SREBF1,1277,1277,0,-0.3959,,0.869,1.0,0.421,-0.1667,presente,1.0,Stim48hr
DPY19L3,1322,1278,44,-0.447,,0.659,1.0,0.373,-0.1667,presente,1.0,Stim48hr
ALOX5,1406,1279,127,-0.521,0.05,0.218,0.0,0.32,-0.1667,presente,2.0,Rest
STOM,1417,1280,137,-0.5294,-0.086,0.26,0.0,0.315,-0.1668,presente,2.0,Stim8hr
OCIAD2,1378,1281,97,-0.4958,,,1.0,0.337,-0.1671,ausente (peso neutral),1.0,Stim48hr
RCC1L,1198,1282,-84,-0.3114,0.17,0.849,0.0,0.541,-0.1685,presente,2.0,Stim48hr
NAB2,1196,1283,-87,-0.3093,0.157,0.885,0.0,0.545,-0.1686,presente,2.0,Stim8hr
GPR137,1241,1284,-43,-0.3498,0.095,0.764,0.0,0.483,-0.169,presente,2.0,Stim8hr
VPS37C,1304,1285,19,-0.4226,0.066,,0.0,0.4,-0.169,ausente (peso neutral),2.0,Stim48hr
DAXX,1261,1286,-25,-0.3795,0.074,0.661,0.0,0.446,-0.1693,presente,2.0,Stim8hr
GGA3,1206,1287,-81,-0.319,0.189,0.784,0.0,0.531,-0.1694,presente,2.0,Rest
C1orf21,1297,1288,9,-0.4167,-0.033,0.63,0.0,0.407,-0.1696,presente,2.0,Rest
TKFC,1391,1289,102,-0.5034,,,1.0,0.337,-0.1696,ausente (peso neutral),1.0,Rest
OGT,1286,1290,-4,-0.4072,0.065,0.57,0.0,0.418,-0.1702,presente,2.0,Stim8hr
DCAF11,1552,1291,261,-0.6504,-0.021,0.048,0.0,0.262,-0.1704,presente,2.0,Stim8hr
JUND,1532,1292,240,-0.625,0.097,-0.028,0.0,0.274,-0.1713,presente,2.0,Stim8hr
MTOR,1187,1293,-106,-0.3056,,,0.0,0.562,-0.1717,ausente (peso neutral),2.0,Stim48hr
DDX60L,1265,1294,-29,-0.3819,0.06,0.697,0.0,0.45,-0.1719,presente,2.0,Stim8hr
ENTR1,1235,1295,-60,-0.3468,0.13,0.755,0.0,0.496,-0.172,presente,2.0,Stim48hr
LAMTOR5,1163,1296,-133,-0.2807,,0.639,0.0,0.615,-0.1726,presente,2.0,Stim48hr
CTBP2,1667,1297,370,-0.7493,0.03,,1.0,0.232,-0.1738,ausente (peso neutral),1.0,Stim48hr
MED10,1400,1298,102,-0.5156,,,1.0,0.337,-0.1738,ausente (peso neutral),1.0,Stim8hr
PEX5,1224,1299,-75,-0.3371,0.134,0.827,0.0,0.518,-0.1746,presente,2.0,Stim48hr
SYNCRIP,1488,1300,188,-0.5882,0.101,0.798,1.0,0.297,-0.1747,presente,1.0,Stim48hr
TRIM39,1249,1301,-52,-0.3653,0.168,0.647,0.0,0.481,-0.1757,presente,2.0,Rest
PAQR7,1411,1302,109,-0.5247,,,1.0,0.337,-0.1768,ausente (peso neutral),1.0,Rest
COX6B1,1250,1303,-53,-0.3658,0.115,0.734,0.0,0.484,-0.177,presente,2.0,Stim8hr
WASL,1313,1304,9,-0.4319,0.03,0.593,0.0,0.41,-0.1771,presente,2.0,Stim8hr
NR4A1,1200,1305,-105,-0.3151,,,0.0,0.562,-0.1771,ausente (peso neutral),2.0,Rest
CKS1B,1990,1306,684,-1.0109,0.008,0.165,1.0,0.176,-0.1779,presente,1.0,Rest
ZMYND8,1195,1307,-112,-0.3077,0.201,0.931,0.0,0.58,-0.1785,presente,2.0,Stim8hr
ZFYVE26,1775,1308,467,-0.8425,0.051,0.342,1.0,0.212,-0.1786,presente,1.0,Stim8hr
NCOA6,1288,1309,-21,-0.4117,0.137,0.53,0.0,0.435,-0.1791,presente,2.0,Rest
RNF7,1175,1310,-135,-0.2923,,0.633,0.0,0.613,-0.1792,presente,2.0,Stim48hr
ZFX,1188,1311,-123,-0.3058,0.285,0.824,0.0,0.586,-0.1792,presente,2.0,Stim8hr
SKAP2,1354,1312,42,-0.4718,0.012,,0.0,0.38,-0.1793,ausente (peso neutral),2.0,Stim48hr
BRIP1,1162,1313,-151,-0.2792,,0.716,0.0,0.644,-0.1798,presente,2.0,Rest
MAN2A1,1612,1314,298,-0.7113,0.011,-0.365,0.0,0.253,-0.18,presente,2.0,Rest
LRP2BP,1345,1315,30,-0.4693,0.056,0.459,0.0,0.385,-0.1807,presente,2.0,Stim48hr
TYK2,1330,1316,14,-0.4535,,0.773,1.0,0.399,-0.1809,presente,1.0,Stim48hr
RCBTB1,1599,1317,282,-0.6943,0.049,-0.075,0.0,0.262,-0.1819,presente,2.0,Stim8hr
LYRM2,1376,1318,58,-0.4916,0.045,0.418,0.0,0.37,-0.1819,presente,2.0,Rest
MYO18A,1320,1319,1,-0.4439,,0.095,0.0,0.411,-0.1824,presente,,Stim8hr
FAM204A,1165,1320,-155,-0.284,,0.723,0.0,0.646,-0.1835,presente,2.0,Stim8hr
RTN4IP1,1248,1321,-73,-0.3635,0.255,0.609,0.0,0.505,-0.1836,presente,2.0,Stim48hr
DCAF16,1578,1322,256,-0.68,0.065,0.013,0.0,0.27,-0.1836,presente,2.0,Rest
CSGALNACT1,1292,1323,-31,-0.4128,0.189,,0.0,0.446,-0.1841,ausente (peso neutral),2.0,Rest
ZNF630,1367,1324,43,-0.4873,0.011,,0.0,0.379,-0.1847,ausente (peso neutral),2.0,Stim8hr
NATD1,1397,1325,72,-0.509,0.086,0.339,0.0,0.363,-0.1848,presente,2.0,Stim8hr
