factor,lambda_,cond_Rest,cond_Stim8hr,cond_Stim48hr,gating_shape,gated_ci,range_lo95,power_rho,power_confounded,degeneracy,max_cofactor_cosine,top_regulators,top_genes,program_label
1,934.9580776338786,0.5310230285474051,0.5239122995687654,0.6659808146732983,constitutive(flat),False,0.05429706859770672,-0.13094545061930432,False,0.680181294949267,0.7999668287190425,TADA2B;SGF29;TAF6L;SUPT20H;SUPT7L;SENP5;CCNC;CHD7,CD2;PHLDA1;ARL2;NFATC3;BTG2;CYTIP;PPP1R18;SMOX;BHLHE40;FMNL1,unlabeled
2,490.33510161713286,0.10581090209736078,0.21410666121995547,0.9710625060306808,gated(peak=Stim48hr),True,0.1563929022242266,-0.042668242733248804,False,0.10600723843254892,0.6180612314258543,BCL10;TAF6L;TADA2B;NUDCD1;CD28;SUPT20H;TFAM;MIPEP,DCUN1D5;HSPD1;TCP1;ITGB2;CYCS;CCT4;CCDC59;CCT6A;HSP90AB1;AKNA,unlabeled
3,457.6424445141908,0.08034206482386644,0.9801092307441064,0.18146913905684772,gated(peak=Stim8hr),True,0.5875922751154495,-0.0009038929535840695,False,0.10580302549795595,0.5917023049121543,TADA2B;SLC3A2;SENP5;TAF6L;SUPT20H;DOLPP1;APPL2;SUPT7L,CORO1A;TRPV2;MYO1F;SELPLG;CNN2;LIMD2;MYL12A;GPSM3;ARHGAP15;GSDMD,unlabeled
4,579.0865405366675,0.8847540264122492,0.42757153924524754,0.18545320588968722,gated(peak=Rest),True,0.6704381400278078,0.09867619561314056,False,0.13048636115231793,0.6180612314258543,UBXN1;NCKAP1L;AHR;ZMYM2;ARNT;ARHGAP30;WASF2;DOCK2,IRF9;CBX3;TCP1;ELAVL1;ADA2;HSPE1;HNRNPA2B1;SLFN5;HSPD1;ITM2B,unlabeled
5,660.2982814892653,0.725233566680293,0.5192484272394732,0.45212536377592727,constitutive(flat),False,0.0823020581834395,-0.14207933477085924,False,0.6108786882952107,0.763481535498299,CCNC;ATAD5;MYO9A;DOLPP1;CREBBP;MED15;DENR;MED19,TRAM1;ARFGAP3;SERTAD2;HSPA13;NHERF1;CSK;ERLEC1;MYDGF;TMEM39A;OSTC,unlabeled
6,1336.1308506076116,0.6818434058071677,0.6004502761423537,0.417790660304719,constitutive(flat),False,0.0965700011079448,0.15648840704736341,False,0.680181294949267,0.7999668287190425,TADA2B;TAF6L;SUPT20H;SGF29;SENP5;SUPT7L;ATAD5;CCNC,PHLDA1;SERINC1;SMOX;SERTAD2;SRGN;YPEL5;BTG2;CD2;CCPG1;IGFLR1,unlabeled
