gene,condition,row,source,regulator_class,regpower_eb_mean,n_downstream,cluster,program_label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
PLCG1,Stim8hr,21058,context-specific,condition-specific,0.8673,5032,2,TCR signaling,106.9864,-9.3479,-35.2342,12.6419,-2.7268,-10.948,4.2038,5.2326,2.0695,-6.1883
IL12RB2,Stim8hr,13398,context-specific,condition-specific,0.864,750,10,mixed,-5.1284,-3.5153,12.8708,1.397,-1.9925,-1.9484,1.838,-1.4369,3.9309,-1.044
MORC2,Stim8hr,16969,context-specific,condition-specific,0.8623,800,9,mixed,-17.1601,-4.7324,-5.6355,-7.8801,4.4875,-6.4425,-5.0722,4.4621,-4.6408,-2.1195
KHDRBS1,Stim8hr,14362,context-specific,condition-specific,0.8519,935,10,mixed,-15.5732,-6.9486,11.3439,4.3259,-2.638,-9.7036,0.7967,-0.2496,-1.0311,2.6581
CCDC117,Rest,4212,promoted,condition-specific,-3.161,0,9,mixed,-7.6047,-2.4302,-4.1718,-2.481,-2.0727,0.4501,-2.5343,-1.9583,-3.5678,2.0671
CRTC3,Stim8hr,6379,promoted,condition-specific,-2.9307,1,9,mixed,-14.7383,-2.5849,-7.9551,-0.8245,-0.5253,-1.2606,-3.4204,1.9047,-2.8052,0.3278
IL16,Rest,13411,promoted,condition-specific,-2.9307,1,9,mixed,-7.4593,-1.6169,-3.9197,-0.4207,-3.3645,-0.5641,-1.1783,0.1892,-1.2449,1.615
LEPROTL1,Stim8hr,15089,promoted,condition-specific,-3.161,0,9,mixed,-12.9441,-4.4622,0.822,0.3012,-1.781,-0.0251,-0.4164,-0.5185,-2.8867,0.0481
DYRK1A,Stim8hr,8096,promoted,condition-specific,-3.161,0,9,mixed,-12.638,-1.8927,-1.3074,-0.8002,0.9209,-0.2199,-2.4287,0.2327,-0.8839,0.2782
MTR,Stim8hr,17607,promoted,condition-specific,-2.9307,1,9,mixed,-13.0206,-2.4465,-3.9863,-0.7193,-3.0275,0.0873,-0.7169,-2.6168,-1.5959,2.4621
MBOAT7,Stim48hr,16229,promoted,condition-specific,-2.9307,1,9,mixed,-7.2246,-2.6337,-4.8686,-1.2891,-3.1198,0.0924,-1.8922,-0.6735,-2.4146,0.9247
HAVCR2,Rest,11950,promoted,condition-specific,-3.161,0,9,mixed,-10.5409,-3.2819,-6.6934,-4.6999,-0.6023,-0.4203,-3.6205,0.0183,-0.9734,2.6208
DUSP22,Stim48hr,8025,promoted,condition-specific,-2.9307,1,9,mixed,-16.917,1.8632,-8.8534,1.2964,-2.4805,-2.4052,-1.4217,0.0051,-2.1338,-1.2035
EFCAB14,Rest,8293,promoted,condition-specific,-2.9307,1,9,mixed,-11.7204,-1.8077,-3.5413,-1.9373,-0.2976,1.2863,-2.3699,1.1096,-1.0711,-0.4959
HROB,Stim8hr,3383,promoted,condition-specific,-3.161,0,9,mixed,-12.7894,-2.3024,-1.9681,-1.2044,1.134,-0.9207,0.1706,0.9011,0.5178,-0.0694
KPTN,Stim8hr,14787,promoted,condition-specific,-3.161,0,9,mixed,-7.0108,-2.9322,-1.0952,-2.8967,-0.0978,-3.1693,-5.4089,1.3886,-5.9252,-2.1155
SMAD2,Stim8hr,26157,promoted,condition-specific,-3.161,0,9,mixed,-14.3021,-0.0653,-4.5263,-0.7068,-0.635,2.4527,-5.6382,-0.602,-1.7209,1.5558
LRP8,Stim8hr,15466,promoted,condition-specific,-2.9307,1,9,mixed,-8.0177,0.0805,-1.1985,4.8162,-1.7539,-1.1013,-0.8802,-1.9366,-2.6069,2.4782
STARD3,Stim8hr,27201,promoted,condition-specific,-3.161,0,10,mixed,-18.5001,-3.8356,1.1479,-0.5522,-0.9121,-3.9029,1.4645,0.1049,-2.2935,1.0378
PDCD6,Stim8hr,20161,promoted,condition-specific,-3.161,0,9,mixed,-10.666,-2.974,-0.0199,-2.4267,-1.8715,-2.7661,-0.1758,0.1198,-2.4032,0.792
TMEM183A,Stim48hr,28937,promoted,condition-specific,-2.9307,1,9,mixed,-12.9678,0.1314,-5.7935,0.4999,-2.2451,0.3121,-3.168,-1.7935,-3.4733,1.6305
DDX19B,Stim8hr,7132,promoted,condition-specific,-3.161,0,9,mixed,-10.1458,-3.7651,-3.5346,-0.9853,-0.0418,-2.1944,-2.8428,0.7983,-5.0356,0.8153
NEU1,Stim48hr,18476,promoted,condition-specific,-3.161,0,9,mixed,-4.6193,-2.6937,-3.4715,-0.8904,-4.2795,0.2813,-2.8226,-2.025,-1.8122,3.7257
RILPL2,Stim48hr,23641,promoted,condition-specific,-2.9307,1,9,mixed,-6.6286,-2.018,-4.1855,0.5082,-4.089,0.7649,-1.6404,-0.4868,-2.3464,1.6961
SC5D,Stim8hr,24511,promoted,condition-specific,-3.161,0,9,mixed,-10.1408,-1.2099,-8.4052,1.288,-1.0759,-1.4205,-3.3838,0.9633,-3.4587,-0.1769
LSP1,Stim8hr,15630,promoted,condition-specific,-2.9307,1,10,mixed,-8.9317,-3.5675,0.4397,2.8019,0.3538,-1.7938,1.2376,1.4334,-1.7912,-1.3551
PIK3C2A,Stim48hr,20812,promoted,condition-specific,-2.8237,2,9,mixed,-16.4849,0.9109,-5.4036,0.9763,-0.7516,-0.6801,-0.6015,0.928,-2.1274,0.1625
CEP250,Stim8hr,5147,promoted,condition-specific,-3.161,0,9,mixed,-19.6504,3.57,-7.8161,1.1773,-0.9717,-0.0081,0.4096,0.3954,-2.0872,3.3706
ARFGEF2,Stim8hr,1652,promoted,condition-specific,-2.9307,1,9,mixed,-21.1711,-3.5186,-5.7548,-0.5399,1.0993,-3.7375,-4.8905,0.2477,-4.1007,1.7767
ITPR1,Stim48hr,13959,demoted,condition-specific,-1.7647,391,9,mixed,-27.9323,4.9185,-13.2745,3.0299,4.1135,-5.0939,-2.2103,1.2245,-0.7714,-2.7004
MOSPD1,Rest,16997,demoted,condition-specific,-1.9609,153,3,mixed,5.0584,-9.4153,0.6349,-4.3265,-3.4129,-3.5973,-4.5277,-0.2693,-2.3496,0.0874
BPNT1,Rest,3053,demoted,condition-specific,-2.0219,59,9,mixed,-23.7941,10.7383,-8.2156,10.38,-1.7044,-0.2699,2.012,2.5319,-0.8414,-0.0851
TMBIM4,Stim8hr,28696,demoted,condition-specific,-1.68,34,12,mixed,-0.1159,-5.0816,-5.9015,3.8911,-1.2855,-1.6368,-2.7327,1.226,-2.9406,2.9395
PKN3,Stim48hr,20974,demoted,condition-specific,-1.8533,85,2,mixed,6.1525,-7.7568,-5.081,-2.4188,-4.6601,0.9486,-0.193,2.4725,-3.0243,4.1634
CEP55,Stim48hr,5164,demoted,condition-specific,-1.9998,42,3,mixed,-2.5267,-5.6898,1.0037,-0.8943,-3.3626,2.2552,0.759,-0.4325,-2.4669,2.6524
SEC31A,Stim48hr,24757,demoted,condition-specific,-1.5215,59,9,mixed,-17.957,0.1797,-3.5273,3.9012,-0.4528,-2.2313,-1.2925,-2.2798,-3.5579,1.2105
APAF1,Rest,1437,demoted,condition-specific,-1.8293,89,9,mixed,-8.9892,-3.4897,-0.5107,-1.7396,5.9021,-3.9053,-2.155,-1.276,-1.3478,-2.5561
LARP4,Stim48hr,14966,demoted,condition-specific,-2.1362,66,9,mixed,-8.5136,-5.8692,-2.4416,-0.6825,-3.0763,-0.0958,-1.0826,1.8586,-2.3492,-0.6639
NIPSNAP3A,Stim8hr,18668,demoted,condition-specific,-2.1703,56,9,mixed,-10.3667,-5.2053,3.3314,-3.2308,-1.3947,-3.7251,-1.8815,-0.7734,-1.0364,-2.0172
TAOK2,Rest,27769,demoted,condition-specific,-1.7162,164,9,mixed,-25.0393,7.7581,-9.6343,4.9176,0.1015,-0.491,-1.1123,0.9239,-0.7727,-0.302
SOCS2,Stim48hr,26505,demoted,global,-2.1857,3,9,mixed,-16.6956,4.6078,-9.2096,0.189,-4.8263,-2.9408,-4.5181,-4.7242,-2.3389,-0.6898
RETREG2,Stim8hr,23396,demoted,global,-2.1836,5,9,mixed,-6.1219,-2.2141,-0.9836,-1.9925,-3.7119,-1.3862,-0.9761,-0.942,-2.9057,1.3914
HNRNPUL2,Stim48hr,12706,demoted,global,-2.1857,3,9,mixed,-14.7698,2.6847,-10.7289,-1.2812,-2.6717,-1.3017,-4.4484,-4.5974,-0.0885,1.1365
CYB5B,Stim48hr,6764,demoted,global,-2.1331,4,9,mixed,-7.5083,-2.6267,3.1896,-2.1872,5.28,0.7704,-0.5675,-1.2865,2.9677,3.9971
HDGF,Stim48hr,12046,demoted,global,-2.1857,3,9,mixed,-11.2448,-3.7831,-7.0884,-0.316,3.4414,0.0592,-2.8795,1.9589,-1.054,-0.0464
OSBPL2,Stim48hr,19543,demoted,condition-specific,-2.1706,3,9,mixed,-16.5884,0.7253,-4.1408,2.4187,-0.5593,-1.3166,-0.0689,0.6122,-0.4285,0.22
ZNF891,Stim8hr,33824,demoted,condition-specific,-2.1857,7,9,mixed,-6.5165,3.8713,-6.69,5.9893,-0.9149,3.2479,-0.2405,-3.1986,-1.765,5.163
FKBP15,Stim8hr,10091,demoted,condition-specific,-2.1706,3,9,mixed,-14.5711,-0.3374,-5.2962,1.5843,-3.2478,0.9106,1.7855,2.0277,-1.4687,1.5269
MAGI3,Stim48hr,15851,demoted,condition-specific,-2.1278,3,9,mixed,-14.4822,2.7034,-5.815,0.8572,0.6564,-2.8917,-0.8697,-0.056,0.4191,-2.2364
TBKBP1,Stim48hr,27932,demoted,condition-specific,-2.1706,3,9,mixed,-14.7687,-3.3723,-2.9141,0.4195,-1.6049,-0.7193,-2.4655,1.3986,-1.7886,0.0086
ARRDC1,Rest,1988,demoted,condition-specific,-2.2401,4,9,mixed,-23.7469,4.3487,-8.5155,2.5919,-0.4001,2.3277,-0.5459,-0.2486,-1.1959,1.1983
SCLY,Rest,24587,demoted,global,-2.1331,4,9,mixed,-9.4864,-2.2133,-4.7171,1.2243,-3.1165,-0.8375,-0.98,-0.293,-1.3029,1.9951
CD53,Stim8hr,4727,demoted,condition-specific,-2.1741,18,9,mixed,-8.1543,-9.3259,3.2013,-2.9918,-0.3975,-4.0738,-0.2363,0.1996,-2.7901,-2.5311
SMIM3,Rest,26284,demoted,condition-specific,-2.1631,6,9,mixed,-13.5759,0.9295,-10.0406,-2.4174,0.0127,-1.3485,-2.4723,-2.2814,-2.4852,4.8396
