community,gene,max_genetic_score,diseases_hit,score_SLE,score_RA,score_MS,score_Sjogren,score_T1D
1,SPRYD7,0.048,MS,0.0,0.0,0.048,0.0,0.0
1,DYNLT2,0.047,T1D,0.0,0.0,0.0,0.0,0.047
1,DGKE,0.045,MS,0.0,0.0,0.045,0.0,0.0
1,MIEN1,0.045,SLE,0.045,0.0,0.0,0.0,0.0
1,DELE1,0.044,RA,0.0,0.044,0.0,0.0,0.0
1,NRBF2,0.044,SLE;MS,0.041,0.0,0.044,0.0,0.0
1,CGAS,0.043,Sjogren,0.0,0.0,0.0,0.043,0.0
1,PPIP5K2,0.041,T1D,0.0,0.0,0.0,0.0,0.041
1,DNAJC13,0.04,T1D,0.0,0.0,0.0,0.0,0.04
1,CES4A,0.039,Sjogren,0.0,0.0,0.0,0.039,0.0
1,C6orf120,0.036,SLE,0.036,0.0,0.0,0.0,0.0
1,EVI2B,0.034,T1D,0.0,0.0,0.0,0.0,0.034
1,CCR7,0.033,T1D,0.0,0.0,0.0,0.0,0.033
1,ERMARD,0.032,T1D,0.0,0.0,0.0,0.0,0.032
2,UBASH3A,0.86,RA;T1D,0.0,0.86,0.0,0.0,0.755
2,GATA3,0.844,RA;MS;T1D,0.0,0.844,0.645,0.0,0.523
2,TNFSF14,0.773,SLE;MS,0.037,0.0,0.773,0.0,0.0
2,IL12RB2,0.755,SLE;RA;T1D,0.686,0.755,0.0,0.0,0.08
2,CD5,0.722,MS,0.0,0.0,0.722,0.0,0.0
2,RASGRP3,0.722,SLE;T1D,0.722,0.0,0.0,0.0,0.111
2,B3GNT2,0.717,RA,0.0,0.717,0.0,0.0,0.0
2,CBLB,0.649,RA;MS,0.0,0.351,0.649,0.0,0.0
2,TRAF3,0.642,SLE;MS,0.515,0.0,0.642,0.0,0.0
2,CD69,0.625,MS;T1D,0.0,0.0,0.235,0.0,0.625
2,SAT1,0.608,SLE,0.608,0.0,0.0,0.0,0.0
2,SLAMF7,0.57,MS,0.0,0.0,0.57,0.0,0.0
2,BAK1,0.568,RA;T1D,0.0,0.568,0.0,0.0,0.258
2,TESPA1,0.566,RA,0.0,0.566,0.0,0.0,0.0
2,ACAP1,0.558,SLE;T1D,0.502,0.0,0.0,0.0,0.558
2,STAG1,0.553,RA,0.0,0.553,0.0,0.0,0.0
2,MED13,0.547,SLE;RA,0.547,0.438,0.0,0.0,0.0
2,ICOS,0.541,SLE;RA;T1D,0.117,0.541,0.0,0.0,0.319
2,ARHGAP12,0.535,T1D,0.0,0.0,0.0,0.0,0.535
2,FADS2,0.503,RA;T1D,0.0,0.392,0.0,0.0,0.503
2,FAS,0.497,RA,0.0,0.497,0.0,0.0,0.0
2,MYB,0.493,MS,0.0,0.0,0.493,0.0,0.0
2,AGTPBP1,0.49,MS,0.0,0.0,0.49,0.0,0.0
2,CDK5RAP2,0.486,RA,0.0,0.486,0.0,0.0,0.0
2,NEMP2,0.482,SLE,0.482,0.0,0.0,0.0,0.0
2,PHF3,0.48,MS;Sjogren,0.0,0.0,0.032,0.48,0.0
2,SLC25A37,0.479,T1D,0.0,0.0,0.0,0.0,0.479
2,MAPK3,0.478,RA;MS,0.0,0.342,0.478,0.0,0.0
2,IRF1,0.475,SLE;RA;T1D,0.475,0.071,0.0,0.0,0.061
2,RREB1,0.472,SLE;MS,0.364,0.0,0.472,0.0,0.0
2,DPP4,0.46,RA,0.0,0.46,0.0,0.0,0.0
2,USP18,0.456,SLE,0.456,0.0,0.0,0.0,0.0
2,PRKD2,0.455,T1D,0.0,0.0,0.0,0.0,0.455
2,UBE2L3,0.448,SLE;RA,0.448,0.4,0.0,0.0,0.0
2,CCR5,0.43,SLE;RA;T1D,0.042,0.114,0.0,0.0,0.43
2,ACAD10,0.421,T1D,0.0,0.0,0.0,0.0,0.421
2,GORASP2,0.421,T1D,0.0,0.0,0.0,0.0,0.421
2,PPHLN1,0.421,SLE,0.421,0.0,0.0,0.0,0.0
2,TADA2B,0.421,MS,0.0,0.0,0.421,0.0,0.0
2,ATP23,0.419,MS;Sjogren,0.0,0.0,0.21,0.419,0.0
2,CCNC,0.419,Sjogren,0.0,0.0,0.0,0.419,0.0
2,G3BP2,0.419,T1D,0.0,0.0,0.0,0.0,0.419
2,SDF2L1,0.408,SLE;RA,0.075,0.408,0.0,0.0,0.0
2,AEN,0.406,SLE,0.406,0.0,0.0,0.0,0.0
2,PPP1R3B,0.399,SLE,0.399,0.0,0.0,0.0,0.0
2,SLAMF6,0.398,RA,0.0,0.398,0.0,0.0,0.0
2,AK4,0.397,MS,0.0,0.0,0.397,0.0,0.0
2,FADS1,0.393,RA;T1D,0.0,0.393,0.0,0.0,0.244
2,UBAC1,0.384,MS,0.0,0.0,0.384,0.0,0.0
2,NABP1,0.362,MS,0.0,0.0,0.362,0.0,0.0
2,AHR,0.357,RA,0.0,0.357,0.0,0.0,0.0
2,DENND1A,0.353,RA,0.0,0.353,0.0,0.0,0.0
2,UBE2E1,0.35,RA,0.0,0.35,0.0,0.0,0.0
2,KRAS,0.327,RA,0.0,0.327,0.0,0.0,0.0
2,C12orf43,0.306,T1D,0.0,0.0,0.0,0.0,0.306
2,SUPT20H,0.304,RA,0.0,0.304,0.0,0.0,0.0
2,CLINT1,0.302,T1D,0.0,0.0,0.0,0.0,0.302
2,UBE2E3,0.286,RA,0.0,0.286,0.0,0.0,0.0
2,VKORC1,0.285,Sjogren,0.0,0.0,0.0,0.285,0.0
2,RNFT1,0.275,RA;MS,0.0,0.275,0.109,0.0,0.0
2,TAF11,0.258,SLE;RA;T1D,0.258,0.143,0.0,0.0,0.227
2,RWDD3,0.257,T1D,0.0,0.0,0.0,0.0,0.257
2,COPRS,0.239,T1D,0.0,0.0,0.0,0.0,0.239
2,STK25,0.239,T1D,0.0,0.0,0.0,0.0,0.239
2,ICAM3,0.236,SLE;RA;T1D,0.051,0.236,0.0,0.0,0.034
2,TMEM167A,0.234,RA,0.0,0.234,0.0,0.0,0.0
2,TMEM50B,0.224,RA,0.0,0.224,0.0,0.0,0.0
2,PSMB9,0.222,RA;T1D,0.0,0.222,0.0,0.0,0.19
2,GAB3,0.177,T1D,0.0,0.0,0.0,0.0,0.177
2,SLC30A9,0.172,RA,0.0,0.172,0.0,0.0,0.0
2,CEP15,0.154,RA,0.0,0.154,0.0,0.0,0.0
2,IMMP2L,0.154,RA,0.0,0.154,0.0,0.0,0.0
2,PEX3,0.154,SLE;RA,0.154,0.141,0.0,0.0,0.0
2,SMIM29,0.141,RA,0.0,0.141,0.0,0.0,0.0
2,SLC35B2,0.113,RA,0.0,0.113,0.0,0.0,0.0
2,SGF29,0.107,SLE;RA;T1D,0.051,0.051,0.0,0.0,0.107
2,DEXI,0.1,SLE;RA;MS;T1D,0.1,0.039,0.096,0.0,0.099
2,DFFA,0.099,RA,0.0,0.099,0.0,0.0,0.0
2,NMRK1,0.081,RA,0.0,0.081,0.0,0.0,0.0
2,YARS2,0.078,SLE;RA,0.078,0.058,0.0,0.0,0.0
2,FAM3A,0.074,SLE,0.074,0.0,0.0,0.0,0.0
2,PRF1,0.073,RA,0.0,0.073,0.0,0.0,0.0
2,STAMBP,0.067,SLE;RA,0.065,0.067,0.0,0.0,0.0
2,TMEM128,0.065,T1D,0.0,0.0,0.0,0.0,0.065
2,EIF2AK2,0.064,SLE;MS,0.064,0.0,0.044,0.0,0.0
2,ARPC5,0.06,T1D,0.0,0.0,0.0,0.0,0.06
2,SP100,0.058,RA,0.0,0.058,0.0,0.0,0.0
2,RNF8,0.057,RA,0.0,0.057,0.0,0.0,0.0
2,AK3,0.056,T1D,0.0,0.0,0.0,0.0,0.056
2,GALNT6,0.053,RA,0.0,0.053,0.0,0.0,0.0
2,ARL6IP4,0.052,MS,0.0,0.0,0.052,0.0,0.0
2,KLHDC7B,0.049,MS,0.0,0.0,0.049,0.0,0.0
2,MAU2,0.049,RA,0.0,0.049,0.0,0.0,0.0
2,TEX30,0.048,RA,0.0,0.048,0.0,0.0,0.0
2,QSOX1,0.047,SLE,0.047,0.0,0.0,0.0,0.0
2,SMG8,0.046,T1D,0.0,0.0,0.0,0.0,0.046
2,TMEM175,0.046,SLE,0.046,0.0,0.0,0.0,0.0
2,CDK2,0.042,T1D,0.0,0.0,0.0,0.0,0.042
2,PTPN11,0.04,T1D,0.0,0.0,0.0,0.0,0.04
2,STIP1,0.04,RA,0.0,0.04,0.0,0.0,0.0
2,SCARB1,0.037,SLE,0.037,0.0,0.0,0.0,0.0
2,COIL,0.035,SLE,0.035,0.0,0.0,0.0,0.0
2,ATP2B4,0.033,T1D,0.0,0.0,0.0,0.0,0.033
2,GADD45B,0.032,Sjogren,0.0,0.0,0.0,0.032,0.0
3,CTSH,0.868,MS;T1D,0.0,0.0,0.473,0.0,0.868
3,CD58,0.862,SLE;MS,0.463,0.0,0.862,0.0,0.0
3,MGAT5,0.711,SLE,0.711,0.0,0.0,0.0,0.0
3,GPD2,0.605,SLE,0.605,0.0,0.0,0.0,0.0
3,CCDC91,0.602,RA,0.0,0.602,0.0,0.0,0.0
3,ANXA11,0.548,RA;MS,0.0,0.548,0.439,0.0,0.0
3,ATG2B,0.52,Sjogren,0.0,0.0,0.0,0.52,0.0
3,TXK,0.513,RA;MS,0.0,0.22,0.513,0.0,0.0
3,IGSF9B,0.509,RA,0.0,0.509,0.0,0.0,0.0
3,STK39,0.506,T1D,0.0,0.0,0.0,0.0,0.506
3,RANBP6,0.505,MS,0.0,0.0,0.505,0.0,0.0
3,CEMIP2,0.501,RA,0.0,0.501,0.0,0.0,0.0
3,WWOX,0.493,RA;MS;Sjogren;T1D,0.0,0.418,0.37,0.493,0.37
3,JAK2,0.492,SLE;RA,0.487,0.492,0.0,0.0,0.0
3,FBXO11,0.486,RA,0.0,0.486,0.0,0.0,0.0
3,KLF12,0.482,RA,0.0,0.482,0.0,0.0,0.0
3,MSH2,0.482,Sjogren,0.0,0.0,0.0,0.482,0.0
3,UBAP2,0.463,SLE,0.463,0.0,0.0,0.0,0.0
3,PKIA,0.458,SLE;MS,0.044,0.0,0.458,0.0,0.0
3,OASL,0.455,MS,0.0,0.0,0.455,0.0,0.0
3,GCFC2,0.43,RA;T1D,0.0,0.43,0.0,0.0,0.389
3,KSR1,0.429,RA,0.0,0.429,0.0,0.0,0.0
3,C1orf52,0.425,RA;MS,0.0,0.425,0.156,0.0,0.0
3,ADNP2,0.421,RA,0.0,0.421,0.0,0.0,0.0
3,ADCY3,0.412,RA;MS,0.0,0.412,0.165,0.0,0.0
3,SPPL3,0.385,SLE,0.385,0.0,0.0,0.0,0.0
3,KIAA0930,0.373,RA,0.0,0.373,0.0,0.0,0.0
3,SLC44A2,0.37,RA;MS,0.0,0.215,0.37,0.0,0.0
3,PEX13,0.364,SLE;MS,0.033,0.0,0.364,0.0,0.0
3,CELF2,0.354,RA;T1D,0.0,0.354,0.0,0.0,0.336
3,ARL4C,0.353,SLE,0.353,0.0,0.0,0.0,0.0
3,OS9,0.347,RA;MS,0.0,0.162,0.347,0.0,0.0
3,ARID1B,0.346,RA,0.0,0.346,0.0,0.0,0.0
3,METTL15,0.338,RA,0.0,0.338,0.0,0.0,0.0
3,HDAC4,0.332,RA;MS,0.0,0.332,0.255,0.0,0.0
3,CLYBL,0.315,MS,0.0,0.0,0.315,0.0,0.0
3,THUMPD2,0.298,SLE,0.298,0.0,0.0,0.0,0.0
3,KDM4C,0.292,SLE;RA,0.283,0.292,0.0,0.0,0.0
3,AIG1,0.282,RA,0.0,0.282,0.0,0.0,0.0
3,SDF4,0.281,SLE;RA,0.101,0.281,0.0,0.0,0.0
3,SMAD2,0.238,RA,0.0,0.238,0.0,0.0,0.0
3,BHLHE40,0.213,RA;Sjogren,0.0,0.117,0.0,0.213,0.0
3,STK17A,0.203,T1D,0.0,0.0,0.0,0.0,0.203
3,TMEM187,0.176,SLE;RA,0.176,0.088,0.0,0.0,0.0
3,PANK3,0.154,SLE;MS,0.035,0.0,0.154,0.0,0.0
3,GSKIP,0.135,Sjogren,0.0,0.0,0.0,0.135,0.0
3,BAD,0.122,RA,0.0,0.122,0.0,0.0,0.0
3,PERP,0.119,SLE;RA,0.038,0.119,0.0,0.0,0.0
3,FBXO48,0.115,MS,0.0,0.0,0.115,0.0,0.0
3,CLIP4,0.106,RA,0.0,0.106,0.0,0.0,0.0
3,FBXO43,0.106,RA,0.0,0.106,0.0,0.0,0.0
3,TET2,0.097,MS,0.0,0.0,0.097,0.0,0.0
3,DCAF17,0.096,MS,0.0,0.0,0.096,0.0,0.0
3,GPR18,0.091,SLE;RA,0.07,0.091,0.0,0.0,0.0
3,TPD52L2,0.076,RA,0.0,0.076,0.0,0.0,0.0
3,HMMR,0.071,MS,0.0,0.0,0.071,0.0,0.0
3,LIMK1,0.069,SLE;RA,0.069,0.069,0.0,0.0,0.0
3,WDR27,0.063,SLE;T1D,0.063,0.0,0.0,0.0,0.034
3,MPC1,0.055,RA,0.0,0.055,0.0,0.0,0.0
3,PLCB3,0.054,MS,0.0,0.0,0.054,0.0,0.0
3,PXYLP1,0.05,MS,0.0,0.0,0.05,0.0,0.0
3,SLAIN2,0.049,RA,0.0,0.049,0.0,0.0,0.0
3,DDIAS,0.045,RA,0.0,0.045,0.0,0.0,0.0
3,NCK1,0.045,SLE;RA,0.036,0.045,0.0,0.0,0.0
3,OSTC,0.044,RA,0.0,0.044,0.0,0.0,0.0
3,RBM43,0.043,MS,0.0,0.0,0.043,0.0,0.0
3,IL1RAP,0.042,SLE,0.042,0.0,0.0,0.0,0.0
3,VPS13A,0.042,SLE,0.042,0.0,0.0,0.0,0.0
3,ZMAT3,0.042,RA,0.0,0.042,0.0,0.0,0.0
3,TRMT1L,0.041,SLE,0.041,0.0,0.0,0.0,0.0
3,RBM12B,0.04,T1D,0.0,0.0,0.0,0.0,0.04
3,GMDS,0.038,RA,0.0,0.038,0.0,0.0,0.0
3,MYO19,0.037,MS,0.0,0.0,0.037,0.0,0.0
3,BZW2,0.034,RA,0.0,0.034,0.0,0.0,0.0
3,ATAD1,0.032,T1D,0.0,0.0,0.0,0.0,0.032
3,TYW1,0.032,SLE,0.032,0.0,0.0,0.0,0.0
4,PLCL2,0.772,RA;Sjogren,0.0,0.772,0.0,0.039,0.0
4,ZFP36L1,0.692,RA;MS;T1D,0.0,0.473,0.634,0.0,0.692
4,CD44,0.678,SLE;T1D,0.678,0.0,0.0,0.0,0.244
4,PHGDH,0.656,MS,0.0,0.0,0.656,0.0,0.0
4,PLEC,0.65,MS,0.0,0.0,0.65,0.0,0.0
4,TRPS1,0.619,T1D,0.0,0.0,0.0,0.0,0.619
4,PSTPIP1,0.598,RA,0.0,0.598,0.0,0.0,0.0
4,GALC,0.561,SLE;RA;MS,0.25,0.37,0.561,0.0,0.0
4,CLEC16A,0.55,SLE;RA;MS;T1D,0.55,0.313,0.511,0.0,0.512
4,CAMTA1,0.549,RA,0.0,0.549,0.0,0.0,0.0
4,XKR6,0.499,SLE;RA,0.499,0.399,0.0,0.0,0.0
4,NLRC5,0.497,MS,0.0,0.0,0.497,0.0,0.0
4,USP44,0.48,RA,0.0,0.48,0.0,0.0,0.0
