target_contrast,target_contrast_gene_name,culture_condition,single_guide_estimate,n_guides,guide_correlation_all,guide_correlation_signif,guide_n_signif_ontarget,donor_correlation_all_mean,donor_correlation_hits_mean,donor_correlation_hits_min
ENSG00000120889,TNFRSF10B,Stim8hr,False,2.0,0.0692087297070441,0.5028334395786258,2.0,,,
ENSG00000173530,TNFRSF10D,Rest,False,2.0,0.0454826291122082,,2.0,,,
ENSG00000173530,TNFRSF10D,Stim48hr,False,2.0,0.0596746905698657,0.9375948223441416,2.0,,,
ENSG00000173530,TNFRSF10D,Stim8hr,False,2.0,0.0279632729180342,,1.0,,,
ENSG00000141655,TNFRSF11A,Rest,True,1.0,,,,,,
ENSG00000141655,TNFRSF11A,Stim48hr,False,2.0,,,,,,
ENSG00000141655,TNFRSF11A,Stim8hr,False,2.0,,,,,,
ENSG00000006327,TNFRSF12A,Rest,False,2.0,0.0778756091452296,1.0,2.0,,,
ENSG00000006327,TNFRSF12A,Stim48hr,False,2.0,0.0255222887591437,-1.0,2.0,,,
ENSG00000006327,TNFRSF12A,Stim8hr,False,2.0,0.0030649510368154,1.0,2.0,,,
ENSG00000240505,TNFRSF13B,Rest,False,2.0,0.1090580788153352,0.0562082678204773,0.0,,,
ENSG00000240505,TNFRSF13B,Stim48hr,False,2.0,-0.0076810378348356,-1.0,0.0,,,
ENSG00000240505,TNFRSF13B,Stim8hr,False,2.0,0.0596262463589008,,0.0,,,
ENSG00000159958,TNFRSF13C,Rest,True,1.0,,,,,,
ENSG00000159958,TNFRSF13C,Stim48hr,True,1.0,,,,,,
ENSG00000159958,TNFRSF13C,Stim8hr,True,1.0,,,,,,
ENSG00000157873,TNFRSF14,Rest,False,2.0,,,,,,
ENSG00000157873,TNFRSF14,Stim48hr,False,2.0,,,,,,
ENSG00000157873,TNFRSF14,Stim8hr,False,2.0,,,,,,
ENSG00000186891,TNFRSF18,Rest,False,2.0,0.1137417278928868,,2.0,,,
ENSG00000186891,TNFRSF18,Stim48hr,False,2.0,0.0252285118627772,1.0,2.0,,,
ENSG00000186891,TNFRSF18,Stim8hr,False,2.0,0.1324708110077006,0.6432490544344898,2.0,,,
ENSG00000067182,TNFRSF1A,Rest,False,2.0,0.1632562959848586,0.9332412275750992,2.0,0.0949928376591026,0.9069523054861004,0.8869726910659345
ENSG00000067182,TNFRSF1A,Stim48hr,False,2.0,0.0933733020978142,,2.0,,,
ENSG00000067182,TNFRSF1A,Stim8hr,False,2.0,0.052269928039208,1.0,2.0,,,
ENSG00000028137,TNFRSF1B,Rest,False,2.0,,,,,,
ENSG00000028137,TNFRSF1B,Stim48hr,False,2.0,,,,,,
ENSG00000028137,TNFRSF1B,Stim8hr,False,2.0,,,,,,
ENSG00000146072,TNFRSF21,Rest,False,2.0,0.1153773537155326,,0.0,,,
ENSG00000146072,TNFRSF21,Stim48hr,False,2.0,0.0855672753977955,,2.0,,,
ENSG00000146072,TNFRSF21,Stim8hr,False,2.0,0.0120099467463382,-0.0010778930665804,2.0,,,
ENSG00000215788,TNFRSF25,Rest,False,2.0,0.0519861402353667,,2.0,,,
ENSG00000215788,TNFRSF25,Stim48hr,False,2.0,0.0363515222887479,1.0,2.0,,,
ENSG00000215788,TNFRSF25,Stim8hr,False,2.0,0.1044048576995969,,2.0,,,
ENSG00000186827,TNFRSF4,Rest,False,2.0,-0.0213609591833261,-0.1168515263003579,2.0,,,
ENSG00000186827,TNFRSF4,Stim48hr,False,2.0,0.0487518443975942,1.0,2.0,,,
ENSG00000186827,TNFRSF4,Stim8hr,False,2.0,-0.0162259253247096,1.0,2.0,,,
ENSG00000120949,TNFRSF8,Rest,False,2.0,0.0667678911609934,,2.0,,,
ENSG00000120949,TNFRSF8,Stim48hr,False,2.0,0.0783413774887283,,2.0,,,
ENSG00000120949,TNFRSF8,Stim8hr,False,2.0,0.0800645393489935,1.0,2.0,,,
