ensembl,symbol,pearson_z,empirical_p,n_co_measured,class,kd_cd4_abs,kd_rpe1_ontarget_abs,min_kd_rank,well_powered,rpe1_cells,donor_robust,program
ENSG00000126524,SBDS,0.0471,0.0267,7036,intermediate,5.453,1.058,0.2713,False,87,True,
ENSG00000071994,PDCD2,0.0465,0.1633,7036,intermediate,1.346,0.897,0.0125,False,32,False,
ENSG00000100804,PSMB5,0.0459,0.3733,7036,intermediate,14.201,1.82,0.841,True,147,False,
ENSG00000111596,CNOT2,0.0457,0.0133,7036,intermediate,4.207,0.588,0.1299,False,67,False,
ENSG00000126012,KDM5C,0.0455,0.0067,7036,intermediate,23.19,0.403,0.2023,False,104,True,
ENSG00000160803,UBQLN4,0.0453,0.3233,7036,intermediate,6.217,0.328,0.0938,False,48,False,
ENSG00000141552,ANAPC11,0.0452,0.1267,7036,intermediate,6.235,1.103,0.368,False,84,False,
ENSG00000159131,GART,0.0452,0.38,7036,intermediate,5.597,0.766,0.2931,False,49,False,
ENSG00000166263,STXBP4,0.0451,0.1433,7036,intermediate,4.11,0.269,0.0339,False,143,True,
ENSG00000107833,NPM3,0.0448,0.01,7036,intermediate,8.376,0.835,0.5738,True,57,False,
ENSG00000065526,SPEN,0.0447,0.0167,7036,intermediate,9.131,0.793,0.6289,True,111,False,
ENSG00000205981,DNAJC19,0.0445,0.01,7036,intermediate,11.518,0.842,0.6915,True,127,False,
ENSG00000128272,ATF4,0.0445,0.5933,7036,intermediate,10.248,0.827,0.6836,True,49,True,
ENSG00000155666,KDM8,0.0441,0.1567,7036,intermediate,1.526,,0.0135,False,81,True,
ENSG00000021355,SERPINB1,0.0441,0.03,7036,intermediate,18.221,,0.9179,False,87,False,
ENSG00000090006,LTBP4,0.0441,0.56,7036,intermediate,4.524,0.296,0.0633,False,117,True,
ENSG00000123297,TSFM,0.0434,0.5167,7036,intermediate,13.018,0.772,0.6418,True,101,True,
ENSG00000116670,MAD2L2,0.0433,0.05,7036,intermediate,3.994,0.623,0.1133,False,234,False,
ENSG00000171793,CTPS1,0.0433,0.4067,7036,intermediate,3.289,0.792,0.053,False,26,True,
ENSG00000156162,DPY19L4,0.0432,0.0367,7036,intermediate,10.254,0.401,0.1989,False,188,False,
ENSG00000189043,NDUFA4,0.0432,0.01,7036,intermediate,38.241,1.843,0.9582,True,115,False,
ENSG00000127184,COX7C,0.0429,0.1933,7036,intermediate,8.866,2.004,0.6091,True,176,True,
ENSG00000140990,NDUFB10,0.0428,0.0233,7036,intermediate,10.993,1.83,0.737,True,97,True,
ENSG00000167522,ANKRD11,0.0428,0.02,7036,intermediate,17.034,1.469,0.8929,True,165,True,
ENSG00000138495,COX17,0.0426,0.33,7036,intermediate,12.852,0.893,0.7096,True,80,False,
ENSG00000175029,CTBP2,0.0425,0.27,7036,intermediate,0.461,0.65,0.001,False,97,False,
ENSG00000137845,ADAM10,0.0424,0.02,7036,intermediate,3.774,0.733,0.0915,False,384,False,
ENSG00000225921,NOL7,0.0423,0.18,7036,intermediate,3.262,1.243,0.052,False,60,False,
ENSG00000152601,MBNL1,0.0422,0.1833,7036,intermediate,5.582,0.703,0.2921,False,70,False,
ENSG00000137513,NARS2,0.0422,0.3,7036,intermediate,6.966,0.351,0.122,False,224,True,
ENSG00000055483,USP36,0.0421,0.27,7036,intermediate,3.402,0.484,0.0665,False,9,True,
ENSG00000028203,VEZT,0.0421,0.7033,7036,intermediate,4.155,0.64,0.1227,False,111,True,
ENSG00000142252,GEMIN7,0.0419,0.5433,7036,intermediate,5.937,0.541,0.3306,False,12,False,
ENSG00000182149,IST1,0.0419,0.5133,7036,intermediate,16.751,0.48,0.3254,False,187,True,
ENSG00000150907,FOXO1,0.0417,0.1567,7036,intermediate,6.398,,0.3857,False,65,True,
ENSG00000167118,URM1,0.0415,0.0767,7036,intermediate,7.917,0.684,0.5364,True,69,True,
ENSG00000145050,MANF,0.0414,0.2833,7036,intermediate,17.727,1.073,0.8045,True,178,True,
ENSG00000185122,HSF1,0.0414,0.0033,7036,intermediate,5.33,0.472,0.2599,False,22,False,
ENSG00000100201,DDX17,0.0413,0.6433,7036,intermediate,27.372,1.294,0.8734,True,179,True,
ENSG00000099783,HNRNPM,0.0411,0.0033,7036,intermediate,5.814,0.827,0.3191,False,108,False,
ENSG00000139168,ZCRB1,0.041,0.0067,7036,intermediate,4.834,1.152,0.2069,False,81,True,
ENSG00000168653,NDUFS5,0.041,0.51,7036,intermediate,11.676,1.83,0.763,True,109,True,
ENSG00000187778,MCRS1,0.0409,0.5833,7036,intermediate,4.752,0.284,0.0531,False,13,False,
ENSG00000163832,ELP6,0.0404,0.0033,7036,intermediate,6.124,0.576,0.3565,False,84,True,
ENSG00000136504,KAT7,0.0403,0.0033,7036,intermediate,6.607,0.491,0.3424,False,69,False,
ENSG00000104221,BRF2,0.0403,0.0,7036,intermediate,6.118,,0.3545,False,94,False,
ENSG00000214517,PPME1,0.0403,0.53,7036,intermediate,8.763,0.706,0.5831,True,169,False,
ENSG00000196950,SLC39A10,0.0399,0.0667,7036,intermediate,10.372,0.765,0.6316,True,142,False,
ENSG00000167985,SDHAF2,0.0398,0.6433,7036,intermediate,16.713,0.584,0.4599,False,193,False,
ENSG00000115446,UNC50,0.0398,0.2233,7036,intermediate,4.974,0.629,0.2277,False,32,False,
ENSG00000060339,CCAR1,0.0398,0.6867,7036,intermediate,2.355,1.14,0.026,False,119,True,
ENSG00000126953,TIMM8A,0.0395,0.0033,7036,intermediate,9.043,0.672,0.5525,True,150,False,
ENSG00000077312,SNRPA,0.0392,0.0033,7036,intermediate,4.694,0.919,0.1788,False,36,False,
ENSG00000134684,YARS1,0.0391,0.0333,7035,intermediate,7.46,0.757,0.4927,False,98,False,
ENSG00000151332,MBIP,0.039,0.1733,7036,intermediate,6.628,0.448,0.2791,False,34,True,
ENSG00000167553,TUBA1C,0.039,0.0667,7036,intermediate,17.607,1.626,0.9054,True,78,False,
ENSG00000171314,PGAM1,0.0386,0.02,7036,intermediate,4.654,2.221,0.1757,False,120,True,
ENSG00000135040,NAA35,0.0386,0.0167,7036,intermediate,6.635,0.565,0.4168,False,316,False,
ENSG00000141428,C18orf21,0.0386,0.36,7036,intermediate,5.87,0.417,0.235,False,8,False,
ENSG00000143771,CNIH4,0.0384,0.01,7036,intermediate,9.663,1.066,0.659,True,104,False,
ENSG00000155463,OXA1L,0.0381,0.25,7036,intermediate,20.697,0.718,0.5977,True,41,True,
ENSG00000068120,COASY,0.0379,0.47,7036,intermediate,3.187,0.496,0.0489,False,63,False,
ENSG00000170545,SMAGP,0.0379,0.0267,7036,intermediate,5.884,0.682,0.3274,False,176,False,
ENSG00000044090,CUL7,0.0379,0.0567,7036,intermediate,4.935,,0.2193,False,36,False,
ENSG00000167113,COQ4,0.0379,0.26,7036,intermediate,6.438,0.755,0.3898,False,41,True,
ENSG00000188994,ZNF292,0.0378,0.3067,7036,intermediate,9.107,0.812,0.6247,True,133,False,
ENSG00000143093,STRIP1,0.0378,0.0067,7036,intermediate,16.813,0.285,0.0554,False,128,False,
