rank,r2_model,r2_persistence,beats_persistence,r2_model_novel,r2_persistence_novel,beats_persistence_novel,n_test,n_test_novel
1,0.006043854401633686,-0.3045877453910162,True,0.006043854401633686,-0.3045877453910162,True,621,621
2,0.040434100652052885,-0.3045877453910162,True,0.040434100652052885,-0.3045877453910162,True,621,621
3,0.03207978122995114,-0.3045877453910162,True,0.03207978122995114,-0.3045877453910162,True,621,621
4,0.046360851500153344,-0.3045877453910162,True,0.046360851500153344,-0.3045877453910162,True,621,621
5,0.04727197949939155,-0.3045877453910162,True,0.04727197949939155,-0.3045877453910162,True,621,621
6,0.06056110016750427,-0.3045877453910162,True,0.06056110016750427,-0.3045877453910162,True,621,621
7,0.07400312652030738,-0.3045877453910162,True,0.07400312652030738,-0.3045877453910162,True,621,621
8,0.0568759998964542,-0.3045877453910162,True,0.0568759998964542,-0.3045877453910162,True,621,621
9,0.04803459156714973,-0.3045877453910162,True,0.04803459156714973,-0.3045877453910162,True,621,621
10,0.05125897259332224,-0.3045877453910162,True,0.05125897259332224,-0.3045877453910162,True,621,621
11,0.03694988244493713,-0.3045877453910162,True,0.03694988244493713,-0.3045877453910162,True,621,621
12,0.03084104607287952,-0.3045877453910162,True,0.03084104607287952,-0.3045877453910162,True,621,621
13,0.021122247371063385,-0.3045877453910162,True,0.021122247371063385,-0.3045877453910162,True,621,621
14,0.060710599303097634,-0.3045877453910162,True,0.060710599303097634,-0.3045877453910162,True,621,621
15,0.060750216487467035,-0.3045877453910162,True,0.060750216487467035,-0.3045877453910162,True,621,621
16,0.058013918407212595,-0.3045877453910162,True,0.058013918407212595,-0.3045877453910162,True,621,621
17,0.05457769561796855,-0.3045877453910162,True,0.05457769561796855,-0.3045877453910162,True,621,621
18,0.049722427996509055,-0.3045877453910162,True,0.049722427996509055,-0.3045877453910162,True,621,621
19,0.041366976884834816,-0.3045877453910162,True,0.041366976884834816,-0.3045877453910162,True,621,621
20,0.03691241878957663,-0.3045877453910162,True,0.03691241878957663,-0.3045877453910162,True,621,621
21,0.03178913832812025,-0.3045877453910162,True,0.03178913832812025,-0.3045877453910162,True,621,621
22,0.014809136301555559,-0.3045877453910162,True,0.014809136301555559,-0.3045877453910162,True,621,621
23,0.018931910213417114,-0.3045877453910162,True,0.018931910213417114,-0.3045877453910162,True,621,621
24,0.02610921178368175,-0.3045877453910162,True,0.02610921178368175,-0.3045877453910162,True,621,621
25,0.021256332423440272,-0.3045877453910162,True,0.021256332423440272,-0.3045877453910162,True,621,621
26,0.017084132662949503,-0.3045877453910162,True,0.017084132662949503,-0.3045877453910162,True,621,621
27,0.025609741767285144,-0.3045877453910162,True,0.025609741767285144,-0.3045877453910162,True,621,621
28,0.005962484962959036,-0.3045877453910162,True,0.005962484962959036,-0.3045877453910162,True,621,621
29,0.017603578532941477,-0.3045877453910162,True,0.017603578532941477,-0.3045877453910162,True,621,621
30,0.012139135969887582,-0.3045877453910162,True,0.012139135969887582,-0.3045877453910162,True,621,621
31,0.017166025805759655,-0.3045877453910162,True,0.017166025805759655,-0.3045877453910162,True,621,621
32,0.018596952216541007,-0.3045877453910162,True,0.018596952216541007,-0.3045877453910162,True,621,621
33,0.0249801833940817,-0.3045877453910162,True,0.0249801833940817,-0.3045877453910162,True,621,621
34,0.02363182467694691,-0.3045877453910162,True,0.02363182467694691,-0.3045877453910162,True,621,621
35,0.01775714273967488,-0.3045877453910162,True,0.01775714273967488,-0.3045877453910162,True,621,621
36,0.013486487943439984,-0.3045877453910162,True,0.013486487943439984,-0.3045877453910162,True,621,621
37,0.019613228929922344,-0.3045877453910162,True,0.019613228929922344,-0.3045877453910162,True,621,621
38,0.04221180996175178,-0.3045877453910162,True,0.04221180996175178,-0.3045877453910162,True,621,621
39,0.03241213453821079,-0.3045877453910162,True,0.03241213453821079,-0.3045877453910162,True,621,621
40,0.031754406906015165,-0.3045877453910162,True,0.031754406906015165,-0.3045877453910162,True,621,621
41,0.036218939652997606,-0.3045877453910162,True,0.036218939652997606,-0.3045877453910162,True,621,621
42,0.02145038345449113,-0.3045877453910162,True,0.02145038345449113,-0.3045877453910162,True,621,621
43,0.019536596634518566,-0.3045877453910162,True,0.019536596634518566,-0.3045877453910162,True,621,621
44,0.007054026833012927,-0.3045877453910162,True,0.007054026833012927,-0.3045877453910162,True,621,621
45,0.009658315686721819,-0.3045877453910162,True,0.009658315686721819,-0.3045877453910162,True,621,621
46,0.008112296226475024,-0.3045877453910162,True,0.008112296226475024,-0.3045877453910162,True,621,621
47,-0.0020645880270317996,-0.3045877453910162,True,-0.0020645880270317996,-0.3045877453910162,True,621,621
48,0.027826112729117725,-0.3045877453910162,True,0.027826112729117725,-0.3045877453910162,True,621,621
49,0.03218223923997676,-0.3045877453910162,True,0.03218223923997676,-0.3045877453910162,True,621,621
50,0.007183674703952203,-0.3045877453910162,True,0.007183674703952203,-0.3045877453910162,True,621,621
