gene,regulator_class,condition_specificity,n_signif_conditions,peak_condition
AAAS,condition-specific,,2,Stim8hr
AACS,global,0.571,3,Stim48hr
AAGAB,condition-specific,0.943,3,Stim8hr
AAK1,global,0.545,3,Stim8hr
AAMDC,condition-specific,1.0,1,Rest
AAR2,condition-specific,1.0,1,Rest
AASDH,condition-specific,0.6,3,Rest
AASDHPPT,condition-specific,0.857,3,Rest
AASS,condition-specific,1.0,1,Stim48hr
ABCA2,condition-specific,1.0,2,Stim8hr
ABCA3,condition-specific,1.0,1,Stim48hr
ABCA5,global,0.493,3,Stim48hr
ABCA7,condition-specific,1.0,2,Stim48hr
ABCB6,condition-specific,1.0,3,Rest
ABCB8,condition-specific,0.6,3,Stim48hr
ABCC1,global,0.494,3,Rest
ABCC4,condition-specific,1.0,3,Stim48hr
ABCC5,condition-specific,,3,Rest
ABCD2,condition-specific,0.737,2,Stim48hr
ABCD3,condition-specific,0.833,3,Rest
ABCD4,condition-specific,,2,Rest
ABCE1,condition-specific,1.0,1,Stim8hr
ABCF2,condition-specific,1.0,3,Stim48hr
ABHD10,global,0.5,3,Stim48hr
ABHD12,condition-specific,0.996,3,Rest
ABHD13,global,0.448,3,Rest
ABHD14A,condition-specific,0.935,3,Rest
ABHD14B,global,0.5,3,Rest
ABHD16A,global,0.571,3,Rest
ABHD17B,global,0.5,3,Stim8hr
ABHD18,global,0.333,3,Rest
ABHD2,condition-specific,0.842,3,Rest
ABHD3,condition-specific,1.0,3,Stim48hr
ABHD4,condition-specific,0.667,3,Stim8hr
ABHD5,condition-specific,0.75,3,Rest
ABHD6,condition-specific,0.87,3,Rest
ABHD8,condition-specific,1.0,2,Rest
ABI1,condition-specific,1.0,3,Stim48hr
ABI2,condition-specific,1.0,1,Stim48hr
ABI3,condition-specific,0.889,3,Rest
ABL2,condition-specific,0.9,3,Stim48hr
ABRACL,condition-specific,,3,Stim48hr
ABRAXAS1,global,0.556,3,Stim8hr
ABRAXAS2,condition-specific,1.0,3,Rest
ABTB1,global,0.571,3,Stim8hr
ABTB2,condition-specific,,1,Stim8hr
ABTB3,global,0.5,3,Stim8hr
ACAA1,global,0.5,3,Stim48hr
ACAA2,global,0.417,3,Stim8hr
ACACA,condition-specific,0.993,3,Stim48hr
ACAD10,global,0.533,3,Rest
ACAD11,global,0.513,3,Rest
ACAD8,global,0.5,3,Stim8hr
ACAD9,condition-specific,0.993,3,Stim48hr
ACADM,global,0.5,3,Stim8hr
ACADS,condition-specific,0.853,3,Stim48hr
ACADSB,global,0.5,3,Stim8hr
ACADVL,global,0.4,3,Stim8hr
ACAP1,condition-specific,0.667,3,Stim8hr
ACAP2,condition-specific,1.0,3,Stim8hr
ACAP3,condition-specific,0.8,3,Rest
ACAT1,condition-specific,1.0,3,Rest
ACAT2,global,0.385,3,Stim48hr
ACBD3,global,0.5,3,Stim8hr
ACBD5,global,0.417,3,Rest
ACBD6,global,0.429,3,Stim48hr
ACCS,condition-specific,1.0,2,Stim48hr
ACER3,condition-specific,0.6,3,Rest
ACLY,condition-specific,0.646,3,Stim48hr
ACO1,condition-specific,,3,Rest
ACOT13,global,0.333,3,Stim8hr
ACOT4,condition-specific,,1,Stim8hr
ACOT7,condition-specific,0.994,3,Stim48hr
ACOT8,global,0.5,3,Stim48hr
ACOT9,global,0.545,3,Stim48hr
ACOX1,global,0.368,3,Stim8hr
ACOX3,condition-specific,1.0,2,Stim48hr
ACP1,global,0.571,3,Stim48hr
ACP2,global,0.5,3,Stim48hr
ACP5,condition-specific,0.6,2,Rest
ACP6,global,0.438,3,Rest
ACSF2,condition-specific,,2,Rest
ACSF3,global,0.5,3,Stim48hr
ACSL1,condition-specific,0.845,3,Stim48hr
ACSL3,condition-specific,0.736,3,Stim48hr
ACSL4,global,0.5,3,Rest
ACSL5,condition-specific,0.667,3,Rest
ACSL6,condition-specific,1.0,1,Rest
ACSM3,condition-specific,1.0,1,Stim48hr
ACSS1,condition-specific,0.981,3,Rest
ACSS2,global,0.579,3,Stim8hr
ACTG1,condition-specific,0.667,3,Stim48hr
ACTMAP,condition-specific,1.0,1,Rest
ACTN1,condition-specific,1.0,2,Stim8hr
ACTN4,global,0.429,3,Rest
ACTR1A,condition-specific,1.0,3,Stim48hr
ACTR1B,global,0.333,3,Stim8hr
ACTR2,condition-specific,0.614,3,Stim48hr
ACTR3,global,0.586,3,Stim8hr
ACTR5,global,0.453,3,Stim8hr
ACTR8,global,0.382,3,Rest
ACVR1,global,0.5,3,Stim48hr
ACVR1B,condition-specific,,1,Stim8hr
ACVR1C,condition-specific,1.0,1,Stim48hr
ACVR2A,condition-specific,0.759,3,Stim8hr
ACVR2B,condition-specific,1.0,3,Stim48hr
ACY1,condition-specific,,3,Rest
ACYP1,global,0.375,3,Stim48hr
ACYP2,condition-specific,0.941,3,Stim48hr
ADA,condition-specific,,3,Stim8hr
ADA2,condition-specific,0.667,3,Rest
ADAM10,condition-specific,1.0,1,Stim8hr
ADAM15,condition-specific,0.833,3,Stim48hr
ADAM17,global,0.5,3,Stim8hr
ADAM19,global,0.411,3,Stim48hr
ADAM8,condition-specific,0.667,3,Rest
ADAM9,condition-specific,0.897,3,Rest
ADAMTS10,condition-specific,1.0,1,Rest
ADAMTS6,condition-specific,0.611,2,Stim48hr
ADAP1,condition-specific,,2,Stim48hr
ADAR,condition-specific,0.6,2,Stim8hr
ADARB1,global,0.5,3,Stim48hr
ADAT1,global,0.5,3,Stim8hr
ADAT2,global,0.571,3,Stim8hr
ADCK2,condition-specific,1.0,3,Rest
ADCK5,global,0.5,3,Stim48hr
ADCY1,condition-specific,1.0,1,Stim48hr
ADCY3,condition-specific,0.667,3,Rest
ADCY4,global,0.553,2,Rest
ADCY7,condition-specific,1.0,3,Stim8hr
ADCY9,condition-specific,1.0,3,Stim8hr
ADD1,condition-specific,0.6,3,Stim8hr
ADD2,condition-specific,1.0,1,Stim48hr
ADD3,condition-specific,1.0,1,Stim48hr
ADGRA3,condition-specific,1.0,2,Stim8hr
ADGRE5,condition-specific,1.0,3,Stim8hr
ADGRG1,global,0.474,3,Stim8hr
ADGRG5,global,0.422,3,Stim8hr
ADH5,condition-specific,1.0,3,Stim8hr
ADHFE1,condition-specific,1.0,1,Stim48hr
ADI1,global,0.5,3,Stim8hr
ADIPOR1,condition-specific,0.667,3,Stim48hr
ADIPOR2,global,0.5,3,Stim48hr
ADISSP,condition-specific,,2,Stim48hr
ADK,condition-specific,1.0,3,Rest
ADM5,condition-specific,1.0,1,Stim8hr
ADNP,global,0.43,3,Stim8hr
ADNP2,global,0.393,3,Stim48hr
ADO,condition-specific,0.932,2,Rest
ADORA2A,condition-specific,0.7,2,Stim8hr
ADPGK,condition-specific,1.0,3,Rest
ADPRH,condition-specific,0.889,3,Rest
ADPRM,condition-specific,0.975,3,Stim48hr
ADPRS,global,0.52,3,Rest
ADRB2,condition-specific,1.0,1,Rest
ADRM1,global,0.5,3,Stim8hr
ADSS2,condition-specific,0.853,2,Rest
AEBP2,condition-specific,0.887,3,Stim48hr
AEN,condition-specific,0.667,3,Rest
AFAP1,condition-specific,1.0,1,Stim8hr
AFDN,global,0.4,3,Rest
AFF4,condition-specific,0.75,3,Rest
AFTPH,condition-specific,0.667,3,Stim8hr
AGA,condition-specific,1.0,3,Stim8hr
AGAP2,global,0.417,3,Stim8hr
AGAP3,global,0.5,3,Rest
AGBL5,condition-specific,0.889,2,Rest
AGFG2,condition-specific,1.0,3,Stim48hr
AGGF1,global,0.476,3,Stim48hr
AGK,global,0.474,3,Stim8hr
AGL,condition-specific,,3,Rest
AGMAT,condition-specific,1.0,3,Stim48hr
AGO1,global,0.5,3,Stim48hr
AGO2,condition-specific,,1,Stim48hr
AGO3,condition-specific,0.75,3,Stim8hr
AGPAT1,condition-specific,0.902,3,Rest
AGPAT2,condition-specific,1.0,2,Stim48hr
AGPAT3,global,0.4,3,Stim8hr
AGPAT4,condition-specific,1.0,2,Rest
AGPAT5,condition-specific,1.0,3,Stim48hr
AGPS,global,0.5,3,Stim48hr
AGRN,global,0.556,2,Stim8hr
AGTPBP1,global,0.444,3,Rest
AGTRAP,condition-specific,1.0,3,Stim48hr
AHCYL1,global,0.545,3,Stim48hr
AHDC1,global,0.533,3,Rest
AHI1,condition-specific,1.0,3,Stim8hr
AHNAK,condition-specific,0.808,3,Rest
AHR,global,0.437,3,Rest
AHRR,global,0.5,2,Stim8hr
AHSA1,condition-specific,0.756,3,Rest
AIDA,global,0.5,3,Rest
AIF1,condition-specific,,3,Rest
AIFM1,condition-specific,0.914,3,Stim48hr
AIFM2,condition-specific,,3,Stim8hr
AIG1,condition-specific,,3,Rest
AIM2,condition-specific,1.0,3,Rest
AIMP1,global,0.533,3,Stim8hr
AIMP2,global,0.5,3,Rest
AIP,global,0.462,3,Stim8hr
AK3,global,0.546,3,Rest
AK4,global,0.5,3,Stim8hr
AK9,condition-specific,0.7,2,Stim48hr
AKAP1,global,0.467,3,Stim48hr
AKAP10,global,0.561,3,Stim8hr
AKAP11,condition-specific,0.926,3,Stim8hr
AKAP13,global,0.556,2,Stim8hr
AKAP17A,global,0.464,3,Stim48hr
AKAP5,condition-specific,,1,Stim48hr
AKAP8,condition-specific,,1,Stim8hr
AKAP8L,global,0.4,3,Rest
AKAP9,condition-specific,0.75,3,Rest
AKIP1,condition-specific,1.0,3,Stim8hr
AKIRIN1,global,0.486,3,Rest
AKIRIN2,global,0.468,3,Stim8hr
AKNA,condition-specific,,2,Rest
AKR1A1,condition-specific,0.98,3,Stim8hr
AKR1B1,global,0.5,3,Rest
AKR1C3,condition-specific,0.864,2,Rest
AKR7A2,condition-specific,0.6,3,Rest
AKT1,global,0.429,3,Stim8hr
AKT1S1,global,0.5,3,Stim8hr
AKT2,condition-specific,0.647,3,Rest
AKT3,global,0.333,3,Rest
AKTIP,condition-specific,0.85,3,Stim8hr
ALAD,condition-specific,1.0,1,Stim48hr
ALAS1,condition-specific,0.833,2,Stim8hr
ALCAM,condition-specific,,3,Rest
ALDH16A1,condition-specific,1.0,3,Stim48hr
ALDH18A1,global,0.567,3,Stim8hr
ALDH1B1,global,0.526,3,Stim48hr
ALDH3A2,condition-specific,1.0,3,Stim48hr
ALDH5A1,global,0.5,2,Stim48hr
ALDH9A1,global,0.5,3,Rest
ALDOC,condition-specific,,3,Stim8hr
ALG1,condition-specific,1.0,1,Stim8hr
ALG12,global,0.411,3,Stim8hr
ALG13,condition-specific,0.833,3,Stim8hr
ALG2,global,0.57,3,Stim8hr
ALG3,condition-specific,0.883,3,Stim8hr
ALG5,global,0.381,3,Rest
ALG6,global,0.454,3,Stim48hr
ALG8,global,0.561,3,Stim48hr
ALG9,condition-specific,0.923,3,Rest
ALKBH1,global,0.429,3,Stim8hr
ALKBH2,condition-specific,0.643,3,Rest
ALKBH3,condition-specific,1.0,3,Rest
ALKBH4,condition-specific,0.6,3,Rest
ALKBH5,global,0.438,3,Stim8hr
ALKBH7,global,0.5,3,Stim8hr
ALKBH8,global,0.429,3,Rest
ALMS1,global,0.467,3,Stim8hr
ALOX5,condition-specific,0.738,2,Rest
ALOX5AP,condition-specific,,3,Rest
ALPK1,condition-specific,1.0,1,Stim48hr
ALS2,condition-specific,0.953,3,Rest
AMBRA1,condition-specific,0.968,3,Stim48hr
AMD1,condition-specific,0.672,3,Stim48hr
AMDHD2,condition-specific,1.0,3,Stim48hr
AMER1,condition-specific,0.996,3,Rest
AMFR,global,0.333,3,Rest
AMIGO2,condition-specific,0.615,3,Stim8hr
AMMECR1,global,0.429,3,Stim8hr
AMN1,condition-specific,,3,Rest
AMPD2,global,0.5,3,Rest
AMPD3,condition-specific,0.667,3,Rest
AMZ2,condition-specific,1.0,3,Stim8hr
ANAPC10,condition-specific,1.0,1,Stim8hr
ANAPC11,condition-specific,0.892,2,Stim48hr
ANAPC15,global,0.571,3,Rest
ANAPC16,global,0.417,3,Rest
ANAPC5,condition-specific,0.667,2,Stim8hr
ANAPC7,global,0.429,3,Stim8hr
ANGEL1,condition-specific,1.0,3,Stim8hr
ANGEL2,condition-specific,1.0,3,Stim8hr
ANGPTL6,condition-specific,,1,Stim48hr
ANKAR,condition-specific,0.683,2,Rest
ANKEF1,global,0.5,3,Rest
ANKFY1,global,0.526,3,Rest
ANKH,condition-specific,0.857,3,Stim48hr
ANKLE1,condition-specific,0.75,2,Stim8hr
ANKMY1,global,0.5,3,Stim48hr
ANKMY2,global,0.423,3,Stim8hr
ANKRD10,condition-specific,0.892,3,Stim8hr
ANKRD11,condition-specific,0.68,3,Stim8hr
ANKRD12,condition-specific,1.0,3,Stim48hr
ANKRD13A,condition-specific,1.0,3,Stim8hr
ANKRD13B,condition-specific,0.75,3,Stim8hr
ANKRD13C,condition-specific,0.667,3,Stim48hr
ANKRD13C-DT,global,0.5,3,Rest
ANKRD16,condition-specific,0.636,2,Stim8hr
ANKRD17,condition-specific,0.833,3,Stim8hr
ANKRD26,global,0.5,3,Stim48hr
ANKRD27,condition-specific,0.6,3,Rest
ANKRD28,global,0.5,3,Rest
ANKRD33B,condition-specific,1.0,2,Stim48hr
ANKRD36,condition-specific,,3,Rest
ANKRD37,condition-specific,1.0,2,Stim48hr
ANKRD40,global,0.584,3,Rest
ANKRD46,global,0.571,3,Stim8hr
ANKRD49,global,0.574,3,Rest
ANKRD52,condition-specific,0.857,2,Stim8hr
ANKRD54,condition-specific,0.909,3,Stim48hr
ANKRD61,condition-specific,0.936,2,Stim48hr
ANKRD9,condition-specific,0.8,2,Stim8hr
ANKS3,condition-specific,1.0,1,Stim8hr
ANKZF1,condition-specific,0.765,3,Rest
ANO10,condition-specific,,3,Rest
ANO6,global,0.333,3,Stim48hr
ANO8,global,0.333,3,Rest
ANP32A,global,0.5,3,Stim48hr
ANP32B,condition-specific,0.691,3,Stim8hr
ANP32E,condition-specific,1.0,3,Stim48hr
ANTKMT,condition-specific,0.706,3,Stim48hr
ANTXR2,global,0.333,3,Rest
ANXA1,condition-specific,1.0,3,Stim48hr
ANXA11,condition-specific,,3,Rest
ANXA2,condition-specific,1.0,3,Stim48hr
ANXA2R,condition-specific,1.0,2,Rest
ANXA4,condition-specific,1.0,3,Stim48hr
ANXA5,condition-specific,1.0,3,Stim48hr
ANXA6,condition-specific,0.96,3,Stim48hr
ANXA7,global,0.455,3,Rest
AOAH,condition-specific,1.0,1,Stim48hr
AP1AR,condition-specific,,2,Rest
AP1B1,global,0.375,3,Stim48hr
AP1G1,condition-specific,,3,Rest
AP1G2,global,0.5,3,Stim8hr
AP1M1,global,0.483,3,Rest
AP1S1,condition-specific,0.75,3,Rest
AP1S2,global,0.598,3,Rest
AP1S3,condition-specific,0.667,3,Stim48hr
AP2A1,condition-specific,0.915,3,Stim48hr
AP2A2,condition-specific,1.0,3,Rest
AP2B1,global,0.407,3,Stim48hr
AP2S1,condition-specific,0.711,2,Stim48hr
AP3B1,condition-specific,0.75,3,Rest
AP3D1,condition-specific,0.986,3,Rest
AP3M1,condition-specific,0.667,3,Stim48hr
AP3M2,global,0.5,3,Stim48hr
AP3S1,condition-specific,0.829,3,Rest
AP3S2,condition-specific,1.0,3,Stim48hr
AP4B1,condition-specific,1.0,3,Rest
AP4E1,condition-specific,1.0,3,Stim8hr
AP4M1,condition-specific,1.0,1,Stim8hr
AP4S1,global,0.333,3,Rest
AP5M1,global,0.5,3,Stim8hr
AP5S1,condition-specific,1.0,3,Stim48hr
AP5Z1,condition-specific,,3,Rest
APAF1,condition-specific,0.967,3,Rest
APBB1,condition-specific,1.0,1,Rest
APBB1IP,global,0.441,3,Rest
APBB3,global,0.5,3,Stim8hr
APC,global,0.579,2,Rest
APEH,condition-specific,1.0,3,Stim8hr
APEX1,global,0.529,3,Stim8hr
APEX2,global,0.559,3,Stim8hr
APH1A,global,0.429,3,Stim8hr
APH1B,condition-specific,,2,Stim48hr
API5,condition-specific,0.8,3,Stim8hr
APIP,global,0.571,3,Rest
APLP2,condition-specific,1.0,3,Rest
APMAP,global,0.513,3,Stim8hr
APOBEC3B,global,0.538,3,Stim8hr
APOBEC3C,condition-specific,1.0,3,Stim48hr
APOBEC3F,condition-specific,,3,Rest
APOBEC3G,condition-specific,0.99,3,Rest
APOBEC3H,global,0.5,3,Rest
APOBR,condition-specific,1.0,3,Rest
APOL1,condition-specific,,3,Stim48hr
APOL2,condition-specific,0.625,3,Stim8hr
APOL3,condition-specific,,3,Rest
APOL6,condition-specific,0.6,3,Stim8hr
APOO,condition-specific,,3,Rest
APOOL,global,0.5,3,Stim48hr
APP,global,0.5,3,Stim48hr
APPBP2,global,0.395,3,Rest
APPL2,condition-specific,0.981,3,Stim8hr
APRT,condition-specific,1.0,3,Stim48hr
APTX,condition-specific,,3,Rest
AQP3,condition-specific,1.0,2,Rest
ARAF,condition-specific,0.8,3,Stim8hr
ARAP1,condition-specific,0.667,3,Rest
ARAP3,condition-specific,,1,Stim48hr
ARB2A,condition-specific,1.0,3,Stim48hr
AREL1,global,0.444,3,Stim48hr
ARF1,condition-specific,0.965,3,Rest
ARF3,global,0.5,3,Rest
ARF4,condition-specific,0.9,3,Stim8hr
ARF5,global,0.5,3,Rest
ARF6,condition-specific,0.625,3,Stim8hr
ARFGAP1,global,0.538,3,Stim48hr
ARFGAP2,global,0.5,3,Stim8hr
ARFGAP3,global,0.5,3,Rest
ARFGEF1,condition-specific,0.711,3,Stim8hr
ARFGEF2,condition-specific,1.0,3,Stim8hr
ARFIP1,condition-specific,0.667,3,Rest
ARFIP2,global,0.458,3,Stim8hr
ARFRP1,condition-specific,1.0,1,Stim8hr
ARG2,condition-specific,,1,Stim48hr
ARGLU1,global,0.56,3,Stim8hr
ARHGAP1,global,0.429,3,Stim8hr
ARHGAP10,global,0.5,3,Rest
ARHGAP11A,global,0.385,3,Rest
ARHGAP11B,global,0.5,3,Rest
ARHGAP12,condition-specific,0.6,3,Rest
ARHGAP15,condition-specific,1.0,3,Stim8hr
ARHGAP17,condition-specific,1.0,3,Rest
ARHGAP18,global,0.5,3,Rest
ARHGAP19,condition-specific,0.667,3,Stim48hr
ARHGAP21,global,0.5,3,Stim48hr
ARHGAP25,condition-specific,,1,Stim8hr
ARHGAP26,condition-specific,0.714,3,Stim48hr
ARHGAP27,condition-specific,0.918,3,Stim8hr
ARHGAP30,global,0.508,3,Rest
ARHGAP31,condition-specific,1.0,1,Stim8hr
ARHGAP33,condition-specific,0.8,2,Rest
ARHGAP45,global,0.598,3,Stim8hr
ARHGAP5,condition-specific,1.0,3,Stim48hr
ARHGAP9,condition-specific,,3,Rest
ARHGDIA,condition-specific,,3,Rest
ARHGDIB,global,0.429,3,Stim48hr
ARHGEF1,condition-specific,,3,Rest
ARHGEF12,condition-specific,,3,Stim8hr
ARHGEF18,condition-specific,0.769,2,Stim8hr
ARHGEF19,condition-specific,,1,Stim8hr
ARHGEF2,global,0.4,3,Stim8hr
ARHGEF39,condition-specific,1.0,3,Rest
ARHGEF5,condition-specific,0.881,2,Stim8hr
ARHGEF6,global,0.5,3,Stim48hr
ARHGEF9,condition-specific,1.0,3,Rest
ARID1A,global,0.382,3,Rest
ARID1B,condition-specific,,3,Rest
ARID2,global,0.38,3,Rest
ARID3A,global,0.583,3,Stim48hr
ARID3B,condition-specific,0.846,3,Stim48hr
ARID4A,condition-specific,0.9,3,Stim48hr
ARID4B,condition-specific,0.909,3,Stim8hr
ARID5A,global,0.5,3,Rest
ARIH1,global,0.457,3,Stim48hr
ARIH2,condition-specific,0.822,3,Stim48hr
ARK2N,global,0.531,3,Rest
ARL1,condition-specific,0.938,3,Stim48hr
ARL10,condition-specific,1.0,2,Stim48hr
ARL13B,global,0.5,3,Rest
ARL14EP,condition-specific,0.612,3,Stim48hr
ARL15,condition-specific,0.75,3,Stim48hr
ARL16,condition-specific,1.0,1,Stim8hr
ARL2BP,condition-specific,1.0,3,Stim48hr
ARL3,global,0.333,3,Rest
ARL4A,condition-specific,0.6,3,Stim48hr
ARL4C,global,0.5,3,Stim48hr
ARL5A,condition-specific,1.0,3,Stim48hr
ARL5B,global,0.382,3,Stim48hr
ARL6IP1,condition-specific,1.0,3,Stim48hr
ARL6IP4,condition-specific,,3,Rest
ARL6IP5,global,0.5,3,Stim48hr
ARL6IP6,global,0.417,3,Rest
ARL8A,condition-specific,1.0,3,Stim48hr
ARL8B,global,0.418,3,Stim48hr
ARMC1,condition-specific,1.0,3,Rest
ARMC10,global,0.5,3,Stim8hr
ARMC6,global,0.375,3,Stim8hr
ARMC7,condition-specific,1.0,1,Stim48hr
ARMC8,global,0.462,3,Stim8hr
ARMCX3,global,0.474,3,Stim8hr
ARMCX5,condition-specific,0.667,3,Stim48hr
ARMCX6,condition-specific,0.786,3,Stim8hr
ARMH3,condition-specific,0.865,3,Rest
ARMT1,global,0.5,3,Rest
ARNT,global,0.373,3,Stim48hr
ARPC1A,condition-specific,1.0,3,Stim48hr
ARPC1B,global,0.582,3,Stim48hr
ARPC2,global,0.492,3,Stim8hr
ARPC3,global,0.511,3,Stim8hr
ARPC5,global,0.5,3,Stim8hr
ARPC5L,global,0.438,3,Stim8hr
ARRB1,condition-specific,0.875,3,Stim48hr
ARRB2,global,0.583,2,Rest
ARRDC1,condition-specific,0.667,3,Rest
ARRDC3,condition-specific,0.75,3,Rest
ARSA,condition-specific,0.667,3,Rest
ARSB,global,0.5,3,Stim8hr
ARSK,global,0.5,2,Rest
ARV1,global,0.462,3,Rest
ASAH1,global,0.5,3,Stim8hr
ASAP2,condition-specific,1.0,1,Stim48hr
ASB1,global,0.364,3,Stim48hr
ASB2,condition-specific,1.0,1,Stim48hr
ASB8,global,0.5,3,Stim8hr
ASCC1,global,0.455,3,Stim48hr
ASCC2,condition-specific,0.7,3,Rest
ASF1A,condition-specific,0.727,3,Rest
ASH1L,global,0.474,3,Rest
ASIC1,condition-specific,,1,Stim48hr
ASL,condition-specific,0.667,3,Rest
ASMTL,global,0.5,3,Stim48hr
ASNSD1,condition-specific,1.0,3,Rest
ASPH,condition-specific,,3,Rest
ASPHD2,global,0.5,3,Stim48hr
ASPM,condition-specific,1.0,3,Stim48hr
ASPSCR1,condition-specific,,3,Rest
ASTE1,condition-specific,1.0,3,Stim8hr
ASXL1,condition-specific,0.848,3,Rest
ASXL2,condition-specific,1.0,1,Rest
ATAD1,condition-specific,1.0,3,Stim48hr
ATAD2,condition-specific,,3,Stim48hr
ATAD2B,global,0.471,3,Stim8hr
ATAD3A,condition-specific,0.99,3,Stim48hr
ATAD3B,condition-specific,,3,Stim8hr
ATAD5,global,0.349,3,Rest
ATAT1,condition-specific,0.6,3,Stim48hr
ATE1,condition-specific,,3,Stim48hr
ATF1,condition-specific,0.667,3,Stim48hr
ATF2,condition-specific,1.0,3,Rest
ATF3,condition-specific,1.0,2,Stim48hr
ATF4,condition-specific,0.69,3,Stim8hr
ATF6,global,0.5,3,Stim8hr
ATF6B,condition-specific,0.725,3,Stim48hr
ATF7,global,0.4,3,Rest
ATF7IP,condition-specific,0.859,3,Stim48hr
ATF7IP2,global,0.55,3,Stim8hr
ATG10,condition-specific,0.667,3,Rest
ATG101,condition-specific,0.939,3,Stim48hr
ATG12,condition-specific,0.736,3,Rest
ATG13,condition-specific,1.0,2,Rest
ATG14,condition-specific,0.92,3,Stim48hr
ATG16L1,condition-specific,1.0,2,Stim8hr
ATG16L2,condition-specific,0.75,3,Stim8hr
ATG2A,condition-specific,0.8,3,Stim48hr
ATG2B,global,0.5,3,Rest
ATG3,global,0.515,3,Stim48hr
ATG4A,global,0.375,3,Stim8hr
ATG4B,global,0.5,3,Rest
ATG4C,condition-specific,0.667,3,Stim48hr
ATG4D,condition-specific,0.667,3,Stim8hr
ATG5,global,0.571,3,Rest
ATG7,condition-specific,,3,Rest
ATG9A,global,0.52,3,Stim48hr
ATIC,condition-specific,0.744,2,Stim8hr
ATL2,condition-specific,0.615,3,Stim8hr
ATL3,global,0.455,3,Stim48hr
ATM,global,0.461,3,Stim48hr
ATMIN,global,0.429,3,Stim8hr
ATN1,global,0.429,3,Stim48hr
ATOSA,condition-specific,1.0,3,Stim48hr
ATOSB,condition-specific,,2,Rest
ATOX1,condition-specific,0.917,3,Stim48hr
ATP10A,global,0.4,3,Stim8hr
ATP10D,condition-specific,1.0,2,Rest
ATP11A,condition-specific,,3,Stim8hr
ATP11B,condition-specific,0.82,2,Rest
ATP13A1,global,0.4,3,Stim48hr
ATP13A2,condition-specific,1.0,3,Stim48hr
ATP13A3,condition-specific,0.692,3,Stim48hr
ATP1B1,condition-specific,0.667,3,Rest
ATP1B3,global,0.466,3,Rest
ATP23,global,0.447,3,Stim48hr
ATP2A2,global,0.422,3,Rest
ATP2A3,condition-specific,0.878,3,Stim8hr
ATP2B1,global,0.506,2,Stim8hr
ATP2B4,condition-specific,0.75,3,Rest
ATP2C1,condition-specific,1.0,3,Rest
ATP5F1A,condition-specific,0.83,3,Stim48hr
ATP5F1B,condition-specific,0.854,3,Rest
ATP5F1D,condition-specific,0.784,3,Rest
ATP5F1E,condition-specific,0.942,3,Stim48hr
ATP5IF1,condition-specific,,3,Rest
ATP5MC1,condition-specific,0.814,3,Stim8hr
ATP5MC2,condition-specific,,3,Stim8hr
ATP5MC3,global,0.522,3,Rest
ATP5ME,condition-specific,0.612,3,Stim48hr
ATP5MF,condition-specific,0.866,3,Stim48hr
ATP5MG,condition-specific,0.75,3,Rest
ATP5PD,condition-specific,0.707,3,Rest
ATP5PO,condition-specific,0.692,3,Stim48hr
ATP6AP2,condition-specific,1.0,1,Stim48hr
ATP6V0A1,global,0.5,3,Rest
ATP6V0A2,condition-specific,0.867,2,Stim8hr
ATP6V0E1,condition-specific,0.833,3,Stim8hr
ATP6V0E2,condition-specific,1.0,3,Stim8hr
ATP6V1E1,condition-specific,0.893,3,Rest
ATP6V1E2,global,0.395,3,Rest
ATP7A,condition-specific,0.833,3,Stim48hr
ATP8A1,global,0.5,3,Rest
ATP8B2,global,0.421,3,Stim48hr
ATP8B3,condition-specific,0.6,2,Stim48hr
ATP8B4,global,0.5,3,Stim48hr
ATP9B,global,0.545,3,Stim8hr
ATPAF1,global,0.556,3,Rest
ATRAID,global,0.4,3,Rest
ATRN,global,0.5,3,Stim8hr
ATRX,global,0.598,3,Stim8hr
ATXN10,global,0.513,2,Rest
ATXN1L,condition-specific,0.97,2,Rest
ATXN2,condition-specific,,3,Stim8hr
ATXN2L,global,0.371,3,Stim8hr
ATXN3,global,0.417,3,Rest
ATXN7L2,condition-specific,1.0,1,Stim8hr
ATXN7L3,condition-specific,0.65,3,Stim8hr
ATXN7L3B,condition-specific,1.0,3,Stim8hr
AUH,global,0.5,3,Stim8hr
AUNIP,condition-specific,1.0,2,Stim48hr
AUP1,condition-specific,0.638,3,Stim48hr
AURKAIP1,condition-specific,0.667,3,Stim48hr
AUTS2,condition-specific,1.0,1,Rest
AVEN,condition-specific,0.987,3,Stim8hr
AVL9,condition-specific,0.655,3,Stim48hr
AXIN2,condition-specific,0.7,2,Stim8hr
AZI2,condition-specific,1.0,3,Rest
AZIN1,condition-specific,0.778,3,Stim48hr
B3GALNT2,global,0.5,3,Stim48hr
B3GALT2,condition-specific,,1,Rest
B3GALT4,condition-specific,,2,Stim48hr
B3GALT6,condition-specific,1.0,1,Stim8hr
B3GAT1,condition-specific,1.0,1,Rest
B3GAT3,condition-specific,,3,Rest
B3GLCT,condition-specific,1.0,3,Stim8hr
B3GNT2,condition-specific,0.8,3,Rest
B3GNT5,condition-specific,,1,Stim8hr
B3GNT9,condition-specific,0.6,2,Stim48hr
B3GNTL1,condition-specific,1.0,2,Stim8hr
B4GALNT3,condition-specific,0.837,2,Rest
B4GALT1,global,0.565,3,Stim8hr
B4GALT2,condition-specific,1.0,3,Stim8hr
