pc,power_rho,power_confounded
1,-0.015554394987876044,False
2,0.04877092452802597,False
3,-0.0030669366968560235,False
4,-0.03734340929933383,False
5,-0.030895587563836268,False
6,-0.02760550981285473,False
7,-0.029841230938948624,False
8,-0.026614614245434983,False
9,-0.002668099581764986,False
10,-0.032663048365869043,False
