rotation,pc,tail,set_name,n_overlap,set_size,n_drawn,background_size,pvalue,overlap_genes,fdr
raw,10,top,IFN_ISG,0,14,40,2000,1.0,,1.0
raw,10,top,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
raw,10,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,10,top,MEDIATOR,0,3,40,2000,1.0,,1.0
raw,10,bottom,TCR_PROXIMAL,1,7,40,2000,0.13206088180611533,CD3G,0.5282435272244613
raw,10,bottom,IFN_ISG,0,14,40,2000,1.0,,1.0
raw,10,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,10,bottom,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,1,top,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,1,top,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,1,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,1,top,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,1,bottom,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,1,bottom,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,1,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,1,bottom,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,2,top,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,2,top,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,2,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,2,top,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,2,bottom,TCR_PROXIMAL,1,7,40,2000,0.13206088180611533,ITK,0.5282435272244613
varimax,2,bottom,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,2,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,2,bottom,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,3,top,IFN_ISG,6,14,40,2000,1.161287636766296e-07,"IFI44L,MX1,OAS1,OAS2,OAS3,USP18",4.645150547065184e-07
varimax,3,top,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,3,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,3,top,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,3,bottom,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,3,bottom,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,3,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,3,bottom,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,4,top,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,4,top,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,4,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,4,top,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,4,bottom,MEDIATOR,1,3,40,2000,0.05883683583533509,CCNC,0.23534734334134036
varimax,4,bottom,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,4,bottom,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,4,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,5,top,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,5,top,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,5,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,5,top,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,5,bottom,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,5,bottom,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,5,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,5,bottom,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,6,top,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,6,top,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,6,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,6,top,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,6,bottom,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,6,bottom,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,6,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,6,bottom,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,7,top,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,7,top,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,7,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,7,top,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,7,bottom,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,7,bottom,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,7,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,7,bottom,MEDIATOR,0,3,40,2000,1.0,,1.0
