perturbed_gene,condition,reg_class,measured_gene,log_fc,lfcSE,theta_post_mean,theta_post_sd,p_effect_positive,p_abs_effect_gt_1p5x
SGF29,Stim48hr,SAGA/chromatin,CD38,-1.167,0.202,-1.03,0.19,0.0,0.99
SGF29,Stim48hr,SAGA/chromatin,ACSM3,1.211,0.199,1.072,0.187,1.0,0.995
SGF29,Stim48hr,SAGA/chromatin,PRKAR2B,1.751,0.357,1.237,0.3,1.0,0.985
SGF29,Stim48hr,SAGA/chromatin,ITGA3,0.853,0.155,0.791,0.15,1.0,0.916
SGF29,Stim48hr,SAGA/chromatin,TMEM98,1.782,0.534,0.922,0.384,0.992,0.81
SGF29,Stim48hr,SAGA/chromatin,SPATA20,0.735,0.099,0.712,0.097,1.0,0.904
SGF29,Stim48hr,SAGA/chromatin,CYTH3,1.26,0.327,0.934,0.282,1.0,0.892
SGF29,Stim48hr,SAGA/chromatin,ADAM22,2.117,0.267,1.718,0.24,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,MMP25,-1.41,0.289,-1.108,0.256,0.0,0.979
SGF29,Stim48hr,SAGA/chromatin,IL32,-0.764,0.11,-0.735,0.107,0.0,0.919
SGF29,Stim48hr,SAGA/chromatin,ZBTB32,-1.382,0.111,-1.328,0.109,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,CHDH,-1.745,0.431,-1.087,0.34,0.001,0.93
SGF29,Stim48hr,SAGA/chromatin,PHLDB1,2.707,0.313,2.05,0.273,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,BIRC3,-0.815,0.112,-0.782,0.11,0.0,0.963
SGF29,Stim48hr,SAGA/chromatin,SH2D2A,-0.678,0.077,-0.665,0.076,0.0,0.854
SGF29,Stim48hr,SAGA/chromatin,SH3YL1,0.745,0.093,0.724,0.091,1.0,0.936
SGF29,Stim48hr,SAGA/chromatin,RIPOR1,0.764,0.098,0.741,0.096,1.0,0.948
SGF29,Stim48hr,SAGA/chromatin,TG,2.004,0.475,1.153,0.361,0.999,0.942
SGF29,Stim48hr,SAGA/chromatin,COL9A2,1.288,0.351,0.919,0.296,0.999,0.87
SGF29,Stim48hr,SAGA/chromatin,H6PD,0.868,0.107,0.836,0.105,1.0,0.991
SGF29,Stim48hr,SAGA/chromatin,ARHGEF5,0.936,0.147,0.874,0.142,1.0,0.979
SGF29,Stim48hr,SAGA/chromatin,FNIP2,1.085,0.094,1.055,0.093,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,LY75,1.106,0.09,1.077,0.088,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,HHAT,1.331,0.361,0.934,0.302,0.999,0.876
SGF29,Stim48hr,SAGA/chromatin,IL17RB,-2.35,0.556,-1.169,0.392,0.001,0.932
SGF29,Stim48hr,SAGA/chromatin,USP13,0.685,0.092,0.667,0.091,1.0,0.815
SGF29,Stim48hr,SAGA/chromatin,SLC2A3,-0.774,0.117,-0.741,0.115,0.0,0.913
SGF29,Stim48hr,SAGA/chromatin,BCAT1,0.94,0.201,0.831,0.189,1.0,0.904
SGF29,Stim48hr,SAGA/chromatin,NCKAP1,1.184,0.122,1.129,0.119,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,DGAT2,1.614,0.226,1.384,0.209,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,NHERF2,1.331,0.316,1.003,0.275,1.0,0.936
SGF29,Stim48hr,SAGA/chromatin,TRAM2,0.822,0.183,0.741,0.173,1.0,0.816
SGF29,Stim48hr,SAGA/chromatin,PLPP1,-0.761,0.148,-0.71,0.143,0.0,0.81
SGF29,Stim48hr,SAGA/chromatin,PFN2,1.292,0.197,1.146,0.186,1.0,0.999
SGF29,Stim48hr,SAGA/chromatin,NDST1,1.057,0.29,0.83,0.257,0.999,0.83
SGF29,Stim48hr,SAGA/chromatin,ARHGAP10,0.928,0.169,0.849,0.162,1.0,0.949
SGF29,Stim48hr,SAGA/chromatin,NFATC3,-0.695,0.072,-0.684,0.071,0.0,0.918
SGF29,Stim48hr,SAGA/chromatin,ALPK1,1.766,0.231,1.503,0.213,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,ADD2,1.029,0.239,0.868,0.219,1.0,0.901
SGF29,Stim48hr,SAGA/chromatin,FSCN1,1.613,0.192,1.44,0.181,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,MCAM,1.617,0.397,1.068,0.322,1.0,0.933
SGF29,Stim48hr,SAGA/chromatin,FGFR1,-1.149,0.232,-0.977,0.214,0.0,0.967
SGF29,Stim48hr,SAGA/chromatin,CST7,-0.971,0.098,-0.942,0.097,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,LAMP3,1.503,0.219,1.299,0.204,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,OSBPL6,-1.044,0.276,-0.836,0.247,0.0,0.845
SGF29,Stim48hr,SAGA/chromatin,PAFAH1B3,0.724,0.072,0.712,0.071,1.0,0.963
SGF29,Stim48hr,SAGA/chromatin,STK17B,-0.967,0.068,-0.953,0.067,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,ABCB1,1.828,0.332,1.346,0.284,1.0,0.996
SGF29,Stim48hr,SAGA/chromatin,CTTN,1.486,0.214,1.294,0.199,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,SMOX,-1.557,0.139,-1.465,0.135,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,SIRPG,-0.982,0.232,-0.836,0.214,0.0,0.88
SGF29,Stim48hr,SAGA/chromatin,KCNH4,1.548,0.451,0.93,0.35,0.996,0.838
SGF29,Stim48hr,SAGA/chromatin,LAG3,-1.279,0.194,-1.139,0.183,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,RGS1,1.498,0.333,1.1,0.285,1.0,0.964
SGF29,Stim48hr,SAGA/chromatin,PITPNM2,-0.931,0.141,-0.875,0.136,0.0,0.983
SGF29,Stim48hr,SAGA/chromatin,SYDE2,1.536,0.211,1.342,0.197,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,NRP1,-1.935,0.478,-1.107,0.362,0.001,0.925
SGF29,Stim48hr,SAGA/chromatin,HSD3B7,1.258,0.242,1.057,0.221,1.0,0.983
SGF29,Stim48hr,SAGA/chromatin,OSM,-1.101,0.203,-0.97,0.191,0.0,0.978
SGF29,Stim48hr,SAGA/chromatin,GRK3,-0.778,0.077,-0.763,0.076,0.0,0.99
SGF29,Stim48hr,SAGA/chromatin,TTC28,1.48,0.33,1.091,0.284,1.0,0.963
SGF29,Stim48hr,SAGA/chromatin,FOXRED2,0.904,0.088,0.882,0.087,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,RIN3,-1.03,0.183,-0.929,0.174,0.0,0.976
SGF29,Stim48hr,SAGA/chromatin,PLTP,1.146,0.161,1.057,0.154,1.0,0.999
SGF29,Stim48hr,SAGA/chromatin,CD40,1.515,0.45,0.911,0.349,0.995,0.825
SGF29,Stim48hr,SAGA/chromatin,DOK5,-1.416,0.36,-0.996,0.302,0.0,0.914
SGF29,Stim48hr,SAGA/chromatin,TRIB3,-0.871,0.169,-0.796,0.162,0.0,0.904
SGF29,Stim48hr,SAGA/chromatin,POLI,0.822,0.084,0.803,0.083,1.0,0.996
SGF29,Stim48hr,SAGA/chromatin,SCML2,1.039,0.225,0.891,0.209,1.0,0.929
SGF29,Stim48hr,SAGA/chromatin,PCSK1N,1.34,0.41,0.865,0.329,0.996,0.803
SGF29,Stim48hr,SAGA/chromatin,PHEX,-1.566,0.414,-1.005,0.331,0.001,0.897
SGF29,Stim48hr,SAGA/chromatin,USP11,1.091,0.126,1.037,0.123,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,CD40LG,-1.331,0.121,-1.27,0.118,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,DHRS12,1.179,0.109,1.135,0.107,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,NME4,0.868,0.121,0.828,0.119,1.0,0.98
SGF29,Stim48hr,SAGA/chromatin,ANTKMT,0.775,0.099,0.751,0.098,1.0,0.955
SGF29,Stim48hr,SAGA/chromatin,CLUAP1,0.737,0.094,0.716,0.093,1.0,0.921
SGF29,Stim48hr,SAGA/chromatin,HOMER2,0.977,0.197,0.867,0.186,1.0,0.935
SGF29,Stim48hr,SAGA/chromatin,CA2,2.952,0.491,1.651,0.367,1.0,0.998
SGF29,Stim48hr,SAGA/chromatin,NIPAL2,2.262,0.459,1.34,0.353,1.0,0.984
SGF29,Stim48hr,SAGA/chromatin,STK3,0.974,0.098,0.944,0.096,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,IL7,1.591,0.411,1.026,0.33,0.999,0.909
SGF29,Stim48hr,SAGA/chromatin,SPAG1,1.086,0.131,1.028,0.128,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,FCGRT,1.102,0.191,0.985,0.18,1.0,0.987
SGF29,Stim48hr,SAGA/chromatin,IL4I1,1.023,0.215,0.889,0.2,1.0,0.936
SGF29,Stim48hr,SAGA/chromatin,DYRK1B,0.728,0.119,0.696,0.116,1.0,0.83
SGF29,Stim48hr,SAGA/chromatin,EBI3,1.781,0.18,1.611,0.171,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,APLP1,1.951,0.25,1.62,0.228,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,NKG7,-1.148,0.143,-1.076,0.139,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,ISYNA1,0.881,0.147,0.822,0.142,1.0,0.952
SGF29,Stim48hr,SAGA/chromatin,NAMPT,-0.803,0.139,-0.755,0.135,0.0,0.896
SGF29,Stim48hr,SAGA/chromatin,PON2,1.457,0.23,1.242,0.212,1.0,0.999
SGF29,Stim48hr,SAGA/chromatin,ZC3HAV1,-0.827,0.159,-0.764,0.152,0.0,0.88
SGF29,Stim48hr,SAGA/chromatin,MET,1.372,0.395,0.909,0.321,0.998,0.844
SGF29,Stim48hr,SAGA/chromatin,LFNG,-1.052,0.138,-0.99,0.134,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,CPED1,2.602,0.492,1.452,0.368,1.0,0.991
SGF29,Stim48hr,SAGA/chromatin,AK1,-1.131,0.245,-0.946,0.224,0.0,0.946
SGF29,Stim48hr,SAGA/chromatin,PDLIM1,1.562,0.293,1.219,0.259,1.0,0.993
SGF29,Stim48hr,SAGA/chromatin,GATA3,-0.838,0.103,-0.81,0.101,0.0,0.987
SGF29,Stim48hr,SAGA/chromatin,VSIR,-0.749,0.136,-0.707,0.132,0.0,0.823
SGF29,Stim48hr,SAGA/chromatin,ACTA2,1.537,0.172,1.402,0.164,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,DNAJC12,-1.111,0.312,-0.843,0.272,0.001,0.829
SGF29,Stim48hr,SAGA/chromatin,CNTNAP1,2.407,0.418,1.532,0.334,1.0,0.998
SGF29,Stim48hr,SAGA/chromatin,HLF,-1.249,0.351,-0.892,0.296,0.001,0.85
SGF29,Stim48hr,SAGA/chromatin,JHY,1.287,0.317,0.969,0.275,1.0,0.919
SGF29,Stim48hr,SAGA/chromatin,SIAE,0.804,0.101,0.778,0.099,1.0,0.975
SGF29,Stim48hr,SAGA/chromatin,MDK,1.938,0.265,1.576,0.239,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,CDKN1B,-0.79,0.085,-0.772,0.084,0.0,0.987
SGF29,Stim48hr,SAGA/chromatin,DSE,1.075,0.28,0.856,0.25,1.0,0.861
SGF29,Stim48hr,SAGA/chromatin,LY86,-2.046,0.6,-0.941,0.407,0.01,0.809
SGF29,Stim48hr,SAGA/chromatin,NUDT12,2.588,0.401,1.696,0.325,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,HBEGF,-0.766,0.149,-0.714,0.144,0.0,0.816
SGF29,Stim48hr,SAGA/chromatin,PDE4D,-1.058,0.087,-1.032,0.086,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,IL4,-1.894,0.551,-0.951,0.391,0.007,0.826
SGF29,Stim48hr,SAGA/chromatin,STC2,-0.976,0.212,-0.851,0.198,0.0,0.911
SGF29,Stim48hr,SAGA/chromatin,HRH2,-1.088,0.159,-1.005,0.153,0.0,0.997
SGF29,Stim48hr,SAGA/chromatin,HHLA2,2.066,0.202,1.823,0.19,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,C3orf52,1.347,0.186,1.21,0.177,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,GPD2,0.787,0.071,0.775,0.07,1.0,0.997
SGF29,Stim48hr,SAGA/chromatin,CYTIP,-0.738,0.054,-0.731,0.054,0.0,0.997
SGF29,Stim48hr,SAGA/chromatin,REEP6,1.182,0.243,0.991,0.223,1.0,0.966
SGF29,Stim48hr,SAGA/chromatin,GNLY,-3.268,0.621,-1.447,0.413,0.0,0.982
SGF29,Stim48hr,SAGA/chromatin,ST3GAL5,-0.807,0.147,-0.754,0.142,0.0,0.883
SGF29,Stim48hr,SAGA/chromatin,ID2,-0.902,0.167,-0.828,0.159,0.0,0.936
SGF29,Stim48hr,SAGA/chromatin,RMDN2,1.093,0.256,0.9,0.233,1.0,0.912
SGF29,Stim48hr,SAGA/chromatin,SLC1A4,-0.744,0.121,-0.71,0.118,0.0,0.854
SGF29,Stim48hr,SAGA/chromatin,EPAS1,1.719,0.437,1.059,0.343,0.999,0.917
SGF29,Stim48hr,SAGA/chromatin,SPR,0.774,0.152,0.719,0.147,1.0,0.82
SGF29,Stim48hr,SAGA/chromatin,DOCK7,0.765,0.142,0.718,0.137,1.0,0.834
SGF29,Stim48hr,SAGA/chromatin,IVNS1ABP,-0.925,0.09,-0.901,0.089,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,CD2,-1.265,0.068,-1.247,0.067,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,KIF21B,-0.736,0.063,-0.726,0.063,0.0,0.987
SGF29,Stim48hr,SAGA/chromatin,RRAGC,0.662,0.075,0.65,0.074,1.0,0.81
SGF29,Stim48hr,SAGA/chromatin,RIMS3,1.325,0.202,1.17,0.19,1.0,0.999
SGF29,Stim48hr,SAGA/chromatin,FASLG,-1.173,0.249,-0.976,0.227,0.0,0.958
SGF29,Stim48hr,SAGA/chromatin,IRF6,1.415,0.387,0.95,0.317,0.999,0.875
SGF29,Stim48hr,SAGA/chromatin,NRP2,-1.641,0.422,-1.038,0.336,0.001,0.911
SGF29,Stim48hr,SAGA/chromatin,B4GALT6,1.107,0.305,0.849,0.267,0.999,0.839
SGF29,Stim48hr,SAGA/chromatin,ELOVL4,1.796,0.377,1.226,0.312,1.0,0.98
SGF29,Stim48hr,SAGA/chromatin,ABCG2,1.598,0.345,1.152,0.293,1.0,0.974
SGF29,Stim48hr,SAGA/chromatin,IFIT3,-3.659,0.788,-1.209,0.453,0.004,0.916
SGF29,Stim48hr,SAGA/chromatin,IFIT2,-4.282,0.84,-1.297,0.462,0.003,0.938
SGF29,Stim48hr,SAGA/chromatin,LRP11,1.065,0.188,0.955,0.178,1.0,0.981
SGF29,Stim48hr,SAGA/chromatin,PLEKHG1,1.933,0.454,1.155,0.351,0.999,0.948
SGF29,Stim48hr,SAGA/chromatin,MTERF2,0.971,0.121,0.926,0.119,1.0,0.998
SGF29,Stim48hr,SAGA/chromatin,DUSP4,-0.999,0.122,-0.953,0.119,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,CLU,3.196,0.234,2.713,0.215,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,EPHX2,0.877,0.124,0.835,0.121,1.0,0.98
SGF29,Stim48hr,SAGA/chromatin,TNFRSF8,1.495,0.16,1.381,0.153,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,RDH10,-1.272,0.185,-1.145,0.175,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,CCR2,-2.537,0.366,-1.764,0.306,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,CDKN2C,-0.974,0.169,-0.89,0.162,0.0,0.971
SGF29,Stim48hr,SAGA/chromatin,ACVR1C,1.956,0.164,1.798,0.157,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,BAZ2B,1.061,0.178,0.961,0.17,1.0,0.987
SGF29,Stim48hr,SAGA/chromatin,BATF3,1.227,0.165,1.128,0.158,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,FAM210B,0.837,0.144,0.784,0.139,1.0,0.923
SGF29,Stim48hr,SAGA/chromatin,TTPAL,0.735,0.086,0.718,0.085,1.0,0.941
SGF29,Stim48hr,SAGA/chromatin,PTGIS,-1.074,0.207,-0.942,0.194,0.0,0.967
SGF29,Stim48hr,SAGA/chromatin,BCAS4,0.778,0.135,0.734,0.132,1.0,0.871
SGF29,Stim48hr,SAGA/chromatin,IL9R,-1.367,0.352,-0.973,0.297,0.001,0.904
SGF29,Stim48hr,SAGA/chromatin,TRERF1,1.246,0.181,1.126,0.172,1.0,0.999
SGF29,Stim48hr,SAGA/chromatin,MT1G,1.791,0.409,1.158,0.329,1.0,0.959
SGF29,Stim48hr,SAGA/chromatin,GPR18,1.302,0.184,1.173,0.175,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,CLYBL,0.808,0.13,0.766,0.126,1.0,0.924
SGF29,Stim48hr,SAGA/chromatin,PTGER2,-1.051,0.129,-0.996,0.126,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,CCR7,1.325,0.206,1.164,0.193,1.0,0.999
SGF29,Stim48hr,SAGA/chromatin,EVI2A,-0.721,0.098,-0.699,0.096,0.0,0.881
SGF29,Stim48hr,SAGA/chromatin,KLF2,-1.814,0.486,-1.024,0.365,0.003,0.886
SGF29,Stim48hr,SAGA/chromatin,SYNGR3,0.916,0.136,0.864,0.132,1.0,0.983
SGF29,Stim48hr,SAGA/chromatin,HIP1,1.024,0.214,0.891,0.2,1.0,0.937
SGF29,Stim48hr,SAGA/chromatin,IFT22,0.772,0.138,0.727,0.134,1.0,0.855
SGF29,Stim48hr,SAGA/chromatin,DNAJB9,-1.148,0.135,-1.083,0.131,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,CCDC136,1.056,0.214,0.919,0.2,1.0,0.953
SGF29,Stim48hr,SAGA/chromatin,CHN1,1.442,0.268,1.169,0.241,1.0,0.992
SGF29,Stim48hr,SAGA/chromatin,TWSG1,0.842,0.106,0.812,0.104,1.0,0.986
SGF29,Stim48hr,SAGA/chromatin,TMOD2,1.192,0.217,1.033,0.202,1.0,0.987
SGF29,Stim48hr,SAGA/chromatin,MTUS1,1.056,0.292,0.827,0.258,0.999,0.826
SGF29,Stim48hr,SAGA/chromatin,EGLN3,-0.964,0.242,-0.809,0.222,0.0,0.844
SGF29,Stim48hr,SAGA/chromatin,GAMT,0.875,0.107,0.843,0.106,1.0,0.993
SGF29,Stim48hr,SAGA/chromatin,CASZ1,1.387,0.176,1.259,0.168,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,SLC35D2,0.802,0.158,0.742,0.152,1.0,0.849
SGF29,Stim48hr,SAGA/chromatin,GSE1,0.77,0.144,0.721,0.139,1.0,0.836
SGF29,Stim48hr,SAGA/chromatin,NAPSA,1.221,0.365,0.85,0.305,0.997,0.808
SGF29,Stim48hr,SAGA/chromatin,PDLIM4,2.633,0.651,1.105,0.422,0.996,0.891
SGF29,Stim48hr,SAGA/chromatin,TMEM204,-0.747,0.137,-0.704,0.133,0.0,0.814
SGF29,Stim48hr,SAGA/chromatin,LGALS3,0.816,0.14,0.767,0.135,1.0,0.911
SGF29,Stim48hr,SAGA/chromatin,DLG4,0.845,0.185,0.76,0.175,1.0,0.841
SGF29,Stim48hr,SAGA/chromatin,CPLANE2,0.909,0.186,0.817,0.176,1.0,0.906
SGF29,Stim48hr,SAGA/chromatin,KL,2.067,0.473,1.194,0.36,1.0,0.955
SGF29,Stim48hr,SAGA/chromatin,TCEAL4,1.193,0.229,1.018,0.212,1.0,0.98
SGF29,Stim48hr,SAGA/chromatin,PLAAT4,1.038,0.217,0.9,0.202,1.0,0.941
SGF29,Stim48hr,SAGA/chromatin,MYO18B,-1.334,0.289,-1.049,0.256,0.0,0.965
SGF29,Stim48hr,SAGA/chromatin,GIMAP4,-0.807,0.167,-0.739,0.16,0.0,0.832
SGF29,Stim48hr,SAGA/chromatin,LRRCC1,0.768,0.104,0.741,0.102,1.0,0.937
SGF29,Stim48hr,SAGA/chromatin,IL15RA,0.786,0.104,0.76,0.102,1.0,0.957
SGF29,Stim48hr,SAGA/chromatin,SPX,1.037,0.293,0.81,0.259,0.999,0.807
SGF29,Stim48hr,SAGA/chromatin,POGLUT2,-0.748,0.122,-0.713,0.119,0.0,0.859
SGF29,Stim48hr,SAGA/chromatin,ETS1,-0.725,0.058,-0.717,0.058,0.0,0.989
SGF29,Stim48hr,SAGA/chromatin,GOLM1,0.912,0.218,0.79,0.202,1.0,0.845
SGF29,Stim48hr,SAGA/chromatin,HAVCR2,-0.953,0.115,-0.913,0.112,0.0,0.998
SGF29,Stim48hr,SAGA/chromatin,NT5E,-1.332,0.355,-0.944,0.299,0.001,0.885
SGF29,Stim48hr,SAGA/chromatin,PRR5L,0.914,0.195,0.813,0.184,1.0,0.892
SGF29,Stim48hr,SAGA/chromatin,TEC,0.888,0.186,0.798,0.176,1.0,0.887
SGF29,Stim48hr,SAGA/chromatin,CCDC102A,0.799,0.099,0.774,0.098,1.0,0.974
SGF29,Stim48hr,SAGA/chromatin,IGF2BP3,0.89,0.22,0.768,0.204,1.0,0.816
SGF29,Stim48hr,SAGA/chromatin,ABHD17C,1.225,0.235,1.037,0.217,1.0,0.982
SGF29,Stim48hr,SAGA/chromatin,CIB2,1.394,0.21,1.218,0.197,1.0,0.999
SGF29,Stim48hr,SAGA/chromatin,TMOD1,2.92,0.446,1.771,0.347,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,ENPP2,2.14,0.355,1.516,0.299,1.0,0.999
SGF29,Stim48hr,SAGA/chromatin,PIM1,-0.705,0.065,-0.695,0.065,0.0,0.956
SGF29,Stim48hr,SAGA/chromatin,GMPR,0.98,0.27,0.792,0.243,0.999,0.803
SGF29,Stim48hr,SAGA/chromatin,TUBB2A,0.979,0.225,0.84,0.209,1.0,0.889
SGF29,Stim48hr,SAGA/chromatin,BPHL,0.745,0.125,0.709,0.122,1.0,0.845
SGF29,Stim48hr,SAGA/chromatin,SLC40A1,1.26,0.366,0.876,0.305,0.998,0.83
SGF29,Stim48hr,SAGA/chromatin,GPAT3,-1.45,0.21,-1.267,0.196,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,SCARB2,1.018,0.144,0.953,0.14,1.0,0.996
SGF29,Stim48hr,SAGA/chromatin,LEF1,0.781,0.155,0.724,0.149,1.0,0.824
SGF29,Stim48hr,SAGA/chromatin,CD27,-1.982,0.21,-1.732,0.197,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,PHLDA1,-1.468,0.131,-1.39,0.127,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,SDSL,2.2,0.362,1.541,0.303,1.0,0.999
SGF29,Stim48hr,SAGA/chromatin,LPAR6,-1.006,0.137,-0.948,0.133,0.0,0.997
SGF29,Stim48hr,SAGA/chromatin,MORN3,0.933,0.217,0.809,0.202,1.0,0.867
SGF29,Stim48hr,SAGA/chromatin,PTGR2,0.874,0.143,0.819,0.138,1.0,0.955
SGF29,Stim48hr,SAGA/chromatin,LYSMD2,0.744,0.104,0.719,0.102,1.0,0.906
SGF29,Stim48hr,SAGA/chromatin,HAPLN3,0.785,0.098,0.761,0.096,1.0,0.966
SGF29,Stim48hr,SAGA/chromatin,TGFB1I1,1.565,0.429,0.978,0.339,0.998,0.877
SGF29,Stim48hr,SAGA/chromatin,GAS8,0.919,0.204,0.809,0.192,1.0,0.879
SGF29,Stim48hr,SAGA/chromatin,OSBPL1A,2.181,0.533,1.132,0.384,0.998,0.923
SGF29,Stim48hr,SAGA/chromatin,MAP3K6,0.992,0.175,0.902,0.167,1.0,0.971
SGF29,Stim48hr,SAGA/chromatin,LMO4,-0.793,0.077,-0.778,0.076,0.0,0.994
SGF29,Stim48hr,SAGA/chromatin,IGSF3,1.029,0.286,0.813,0.254,0.999,0.815
SGF29,Stim48hr,SAGA/chromatin,CTTNBP2NL,1.155,0.235,0.979,0.216,1.0,0.966
SGF29,Stim48hr,SAGA/chromatin,GPR161,1.582,0.397,1.045,0.323,0.999,0.923
SGF29,Stim48hr,SAGA/chromatin,NME7,0.694,0.102,0.671,0.1,1.0,0.805
SGF29,Stim48hr,SAGA/chromatin,CREG1,0.979,0.088,0.955,0.087,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,MGST3,1.052,0.091,1.024,0.09,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,CRABP2,1.865,0.203,1.643,0.191,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,RGS16,-0.944,0.188,-0.846,0.178,0.0,0.929
SGF29,Stim48hr,SAGA/chromatin,TUFT1,0.989,0.145,0.926,0.14,1.0,0.992
SGF29,Stim48hr,SAGA/chromatin,RAB13,1.064,0.267,0.863,0.241,1.0,0.876
SGF29,Stim48hr,SAGA/chromatin,CTDSPL,1.304,0.373,0.896,0.31,0.998,0.843
SGF29,Stim48hr,SAGA/chromatin,TRPC1,0.964,0.204,0.848,0.192,1.0,0.915
SGF29,Stim48hr,SAGA/chromatin,TMEM44,0.965,0.181,0.872,0.172,1.0,0.952
SGF29,Stim48hr,SAGA/chromatin,GZMA,-1.403,0.407,-0.91,0.328,0.003,0.839
SGF29,Stim48hr,SAGA/chromatin,TIMD4,-1.081,0.228,-0.924,0.211,0.0,0.946
SGF29,Stim48hr,SAGA/chromatin,PPP1R18,-0.738,0.057,-0.73,0.056,0.0,0.995
SGF29,Stim48hr,SAGA/chromatin,PM20D2,0.837,0.137,0.789,0.133,1.0,0.938
SGF29,Stim48hr,SAGA/chromatin,GPR174,-0.852,0.17,-0.778,0.163,0.0,0.882
SGF29,Stim48hr,SAGA/chromatin,OGT,-0.675,0.061,-0.667,0.06,0.0,0.913
SGF29,Stim48hr,SAGA/chromatin,CHRNA6,1.931,0.388,1.294,0.318,1.0,0.987
SGF29,Stim48hr,SAGA/chromatin,DOK2,-0.877,0.079,-0.859,0.078,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,GSN,2.059,0.233,1.75,0.214,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,NR6A1,1.768,0.386,1.189,0.317,1.0,0.972
SGF29,Stim48hr,SAGA/chromatin,USP6NL,1.841,0.265,1.498,0.239,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,ST8SIA6,1.579,0.333,1.16,0.285,1.0,0.978
SGF29,Stim48hr,SAGA/chromatin,CCDC102B,1.047,0.284,0.828,0.253,0.999,0.832
SGF29,Stim48hr,SAGA/chromatin,PRSS23,-1.333,0.22,-1.151,0.205,0.0,0.997
SGF29,Stim48hr,SAGA/chromatin,CRIM1,-1.151,0.206,-1.01,0.193,0.0,0.986
SGF29,Stim48hr,SAGA/chromatin,SLC7A11,-0.796,0.129,-0.755,0.125,0.0,0.913
SGF29,Stim48hr,SAGA/chromatin,ABTB3,-1.135,0.159,-1.048,0.153,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,TEX30,-0.754,0.083,-0.737,0.082,0.0,0.969
SGF29,Stim48hr,SAGA/chromatin,EPS8,-1.401,0.412,-0.901,0.331,0.003,0.831
SGF29,Stim48hr,SAGA/chromatin,SLC25A4,0.82,0.183,0.739,0.174,1.0,0.812
SGF29,Stim48hr,SAGA/chromatin,SAV1,0.93,0.129,0.882,0.125,1.0,0.991
SGF29,Stim48hr,SAGA/chromatin,CCDC122,1.274,0.285,1.007,0.254,1.0,0.952
