perturbed_gene,condition,reg_class,measured_gene,log_fc,lfcSE,theta_post_mean,theta_post_sd,p_effect_positive,p_abs_effect_gt_1p5x
TAF6L,Stim8hr,SAGA/chromatin,ARHGEF9,0.84,0.159,0.775,0.153,1.0,0.893
TAF6L,Stim8hr,SAGA/chromatin,SH3BGRL,0.668,0.079,0.655,0.078,1.0,0.813
TAF6L,Stim8hr,SAGA/chromatin,PRR7,-1.218,0.184,-1.098,0.174,0.0,0.998
TAF6L,Stim8hr,SAGA/chromatin,NPHP4,-1.818,0.321,-1.36,0.278,0.0,0.997
TAF6L,Stim8hr,SAGA/chromatin,PIAS3,0.814,0.14,0.765,0.136,1.0,0.907
TAF6L,Stim8hr,SAGA/chromatin,ZSWIM4,0.909,0.237,0.769,0.218,1.0,0.8
TAF6L,Stim8hr,SAGA/chromatin,XAF1,1.079,0.214,0.939,0.199,1.0,0.962
TAF6L,Stim8hr,SAGA/chromatin,DLG4,1.861,0.304,1.43,0.267,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,SYT11,0.836,0.16,0.772,0.154,1.0,0.888
TAF6L,Stim8hr,SAGA/chromatin,VSTM2L,1.784,0.509,0.966,0.375,0.995,0.845
TAF6L,Stim8hr,SAGA/chromatin,CASP9,0.825,0.121,0.787,0.118,1.0,0.956
TAF6L,Stim8hr,SAGA/chromatin,EPSTI1,0.929,0.155,0.861,0.149,1.0,0.968
TAF6L,Stim8hr,SAGA/chromatin,MACROD1,-1.032,0.142,-0.969,0.137,0.0,0.997
TAF6L,Stim8hr,SAGA/chromatin,PLAAT4,1.197,0.148,1.117,0.143,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,LRRCC1,0.814,0.175,0.74,0.167,1.0,0.824
TAF6L,Stim8hr,SAGA/chromatin,SWAP70,-1.137,0.305,-0.871,0.267,0.001,0.858
TAF6L,Stim8hr,SAGA/chromatin,SORT1,2.102,0.365,1.466,0.304,1.0,0.998
TAF6L,Stim8hr,SAGA/chromatin,RTL8C,0.756,0.14,0.71,0.135,1.0,0.823
TAF6L,Stim8hr,SAGA/chromatin,ANXA1,1.059,0.297,0.822,0.262,0.999,0.818
TAF6L,Stim8hr,SAGA/chromatin,TES,0.777,0.106,0.749,0.104,1.0,0.943
TAF6L,Stim8hr,SAGA/chromatin,NT5E,-1.209,0.359,-0.851,0.301,0.002,0.812
TAF6L,Stim8hr,SAGA/chromatin,TSPAN31,0.805,0.111,0.774,0.109,1.0,0.958
TAF6L,Stim8hr,SAGA/chromatin,ACVR1B,-1.752,0.319,-1.314,0.277,0.0,0.996
TAF6L,Stim8hr,SAGA/chromatin,CPM,-1.477,0.27,-1.193,0.243,0.0,0.994
TAF6L,Stim8hr,SAGA/chromatin,DNAJB2,0.685,0.089,0.668,0.088,1.0,0.826
TAF6L,Stim8hr,SAGA/chromatin,ARMC9,-1.287,0.322,-0.962,0.278,0.0,0.912
TAF6L,Stim8hr,SAGA/chromatin,TBC1D4,-1.044,0.164,-0.96,0.158,0.0,0.991
TAF6L,Stim8hr,SAGA/chromatin,RCBTB2,0.956,0.221,0.825,0.205,1.0,0.879
TAF6L,Stim8hr,SAGA/chromatin,AOAH,1.139,0.335,0.833,0.287,0.998,0.806
TAF6L,Stim8hr,SAGA/chromatin,CIB2,1.475,0.439,0.905,0.344,0.996,0.824
TAF6L,Stim8hr,SAGA/chromatin,KCTD3,1.376,0.216,1.194,0.201,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,NIPSNAP3A,0.973,0.131,0.922,0.128,1.0,0.996
TAF6L,Stim8hr,SAGA/chromatin,ENPP2,2.218,0.539,1.137,0.386,0.998,0.924
