rotation,pc,tail,set_name,n_overlap,set_size,n_drawn,background_size,pvalue,overlap_genes,fdr
raw,9,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,10,top,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,10,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,10,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,10,top,MEDIATOR,0,4,40,2000,1.0,,1.0
raw,10,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
raw,10,bottom,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
raw,10,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
raw,10,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,1,top,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,1,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
varimax,1,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,1,top,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,1,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,1,bottom,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
varimax,1,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,1,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,2,top,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,2,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
varimax,2,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,2,top,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,2,bottom,TCR_PROXIMAL,1,10,40,2000,0.18330349746302335,LCK,0.7332139898520934
varimax,2,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,2,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,2,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,3,top,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,3,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
varimax,3,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,3,top,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,3,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,3,bottom,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
varimax,3,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,3,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,4,top,TCR_PROXIMAL,2,10,40,2000,0.01586187726067056,"FYN,ITK",0.06344750904268225
varimax,4,top,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,4,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,4,top,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,4,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,4,bottom,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
varimax,4,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,4,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,5,top,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,5,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
varimax,5,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,5,top,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,5,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,5,bottom,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
varimax,5,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,5,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,6,top,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,6,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
varimax,6,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,6,top,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,6,bottom,TCR_PROXIMAL,1,10,40,2000,0.18330349746302335,PLCG1,0.7332139898520934
varimax,6,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,6,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,6,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,7,top,TCR_PROXIMAL,1,10,40,2000,0.18330349746302335,CD3G,0.7332139898520934
varimax,7,top,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,7,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,7,top,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,7,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
