source,target,condition,subsumption_frac
ARNT,AKAP17A,Rest,0.3680555555555556
ARNT,ANKRD11,Rest,0.38071065989847713
ARNT,ANKRD27,Rest,0.48205128205128206
ARNT,ANTKMT,Rest,0.43703703703703706
ARNT,APEX1,Rest,0.38636363636363635
ARNT,APMAP,Rest,0.4405594405594406
ARNT,APOBEC3B,Rest,0.430622009569378
ARNT,ARHGAP15,Rest,0.49056603773584906
ARNT,ARHGAP30,Rest,0.466403162055336
ARNT,ARID5A,Rest,0.4790697674418605
ARNT,ARIH2,Rest,0.4
ARNT,ARL8B,Rest,0.5133928571428571
ARNT,ARMC8,Rest,0.4485981308411215
ARNT,ARRB1,Rest,0.4647887323943662
ARNT,ASXL1,Rest,0.43783783783783786
ARNT,ATAD5,Rest,0.44696969696969696
ARNT,ATF7IP,Rest,0.4067796610169492
ARNT,ATG12,Rest,0.3994910941475827
ARNT,ATM,Rest,0.4770992366412214
ARNT,B4GALT5,Rest,0.4485294117647059
ARNT,BCL9L,Rest,0.45353159851301117
ARNT,BCOR,Rest,0.5
ARNT,BHLHE40,Rest,0.4669603524229075
ARNT,BRD7,Rest,0.43243243243243246
ARNT,BRMS1,Rest,0.4383561643835616
ARNT,BTAF1,Rest,0.47192716236722304
ARNT,BZW2,Rest,0.46808510638297873
ARNT,C16orf87,Rest,0.47058823529411764
ARNT,C6orf120,Rest,0.5549738219895288
ARNT,C8orf33,Rest,0.3839779005524862
ARNT,CAB39,Rest,0.46766169154228854
ARNT,CALM1,Rest,0.4107142857142857
ARNT,CAND1,Rest,0.45932203389830506
ARNT,CARM1,Rest,0.4444444444444444
ARNT,CARNMT1,Rest,0.4090909090909091
ARNT,CASP3,Rest,0.5955056179775281
NSD1,TADA2B,Rest,0.3496124031007752
NSD1,ELAVL1,Rest,0.3505311077389985
NSD1,ARNT,Rest,0.3683602771362587
NSD1,USP22,Rest,0.37549407114624506
NSD1,AACS,Rest,0.43902439024390244
NSD1,ABCA5,Rest,0.4225352112676056
NSD1,ABCC1,Rest,0.4067796610169492
NSD1,ACACA,Rest,0.19148936170212766
NSD1,ADNP,Rest,0.39800995024875624
NSD1,ADNP2,Rest,0.3390804597701149
NSD1,AHR,Rest,0.3570691434468524
NSD1,AHSA1,Rest,0.38387096774193546
NSD1,AK3,Rest,0.36721311475409835
NSD1,AKAP17A,Rest,0.3194444444444444
NSD1,ANKRD11,Rest,0.36548223350253806
NSD1,ANKRD27,Rest,0.28205128205128205
