index,eigenvalue,is_global,is_signal,lam_plus,sigma2
151,2.146122,False,True,1.490873,0.504244
152,2.13448,False,True,1.490873,0.504244
153,2.123219,False,True,1.490873,0.504244
154,2.122388,False,True,1.490873,0.504244
155,2.114156,False,True,1.490873,0.504244
156,2.105773,False,True,1.490873,0.504244
157,2.096369,False,True,1.490873,0.504244
158,2.084815,False,True,1.490873,0.504244
159,2.083694,False,True,1.490873,0.504244
160,2.076954,False,True,1.490873,0.504244
161,2.067075,False,True,1.490873,0.504244
162,2.058356,False,True,1.490873,0.504244
163,2.05546,False,True,1.490873,0.504244
164,2.051821,False,True,1.490873,0.504244
165,2.041825,False,True,1.490873,0.504244
166,2.040931,False,True,1.490873,0.504244
167,2.035814,False,True,1.490873,0.504244
168,2.017395,False,True,1.490873,0.504244
169,2.014326,False,True,1.490873,0.504244
170,2.010462,False,True,1.490873,0.504244
171,2.006118,False,True,1.490873,0.504244
172,2.002717,False,True,1.490873,0.504244
173,1.997197,False,True,1.490873,0.504244
174,1.991409,False,True,1.490873,0.504244
175,1.986558,False,True,1.490873,0.504244
176,1.979502,False,True,1.490873,0.504244
177,1.978398,False,True,1.490873,0.504244
178,1.975128,False,True,1.490873,0.504244
179,1.964837,False,True,1.490873,0.504244
180,1.960535,False,True,1.490873,0.504244
181,1.95752,False,True,1.490873,0.504244
182,1.950675,False,True,1.490873,0.504244
183,1.946711,False,True,1.490873,0.504244
184,1.938317,False,True,1.490873,0.504244
185,1.935911,False,True,1.490873,0.504244
186,1.9269,False,True,1.490873,0.504244
187,1.925553,False,True,1.490873,0.504244
188,1.920891,False,True,1.490873,0.504244
189,1.910807,False,True,1.490873,0.504244
190,1.906918,False,True,1.490873,0.504244
191,1.90197,False,True,1.490873,0.504244
192,1.900383,False,True,1.490873,0.504244
193,1.894894,False,True,1.490873,0.504244
194,1.885793,False,True,1.490873,0.504244
195,1.884933,False,True,1.490873,0.504244
196,1.878539,False,True,1.490873,0.504244
197,1.872941,False,True,1.490873,0.504244
198,1.869511,False,True,1.490873,0.504244
199,1.863187,False,True,1.490873,0.504244
200,1.859444,False,True,1.490873,0.504244
201,1.85531,False,True,1.490873,0.504244
202,1.846755,False,True,1.490873,0.504244
203,1.843292,False,True,1.490873,0.504244
204,1.840126,False,True,1.490873,0.504244
205,1.838091,False,True,1.490873,0.504244
206,1.834826,False,True,1.490873,0.504244
207,1.831378,False,True,1.490873,0.504244
208,1.829941,False,True,1.490873,0.504244
209,1.82628,False,True,1.490873,0.504244
210,1.820456,False,True,1.490873,0.504244
211,1.816315,False,True,1.490873,0.504244
212,1.812717,False,True,1.490873,0.504244
213,1.80784,False,True,1.490873,0.504244
214,1.80393,False,True,1.490873,0.504244
215,1.799206,False,True,1.490873,0.504244
216,1.797558,False,True,1.490873,0.504244
217,1.794641,False,True,1.490873,0.504244
218,1.790804,False,True,1.490873,0.504244
219,1.787395,False,True,1.490873,0.504244
220,1.783526,False,True,1.490873,0.504244
221,1.780644,False,True,1.490873,0.504244
222,1.778351,False,True,1.490873,0.504244
223,1.777157,False,True,1.490873,0.504244
224,1.775348,False,True,1.490873,0.504244
225,1.76943,False,True,1.490873,0.504244
226,1.762092,False,True,1.490873,0.504244
227,1.760738,False,True,1.490873,0.504244
228,1.756936,False,True,1.490873,0.504244
229,1.753527,False,True,1.490873,0.504244
230,1.749388,False,True,1.490873,0.504244
231,1.74382,False,True,1.490873,0.504244
232,1.74085,False,True,1.490873,0.504244
233,1.73776,False,True,1.490873,0.504244
234,1.734886,False,True,1.490873,0.504244
235,1.729471,False,True,1.490873,0.504244
236,1.727594,False,True,1.490873,0.504244
237,1.724539,False,True,1.490873,0.504244
238,1.72183,False,True,1.490873,0.504244
239,1.719408,False,True,1.490873,0.504244
240,1.717164,False,True,1.490873,0.504244
241,1.715857,False,True,1.490873,0.504244
242,1.710238,False,True,1.490873,0.504244
243,1.707553,False,True,1.490873,0.504244
244,1.704857,False,True,1.490873,0.504244
245,1.703918,False,True,1.490873,0.504244
246,1.702678,False,True,1.490873,0.504244
247,1.697406,False,True,1.490873,0.504244
248,1.69455,False,True,1.490873,0.504244
249,1.690387,False,True,1.490873,0.504244
250,1.688777,False,True,1.490873,0.504244
251,1.686494,False,True,1.490873,0.504244
252,1.684213,False,True,1.490873,0.504244
253,1.680486,False,True,1.490873,0.504244
254,1.674683,False,True,1.490873,0.504244
