gene,raw_score,kd_gated_score,eb_score,raw_rank,kd_gated_rank,eb_rank,dropped_by_kd_gate,rank_shift_raw_to_eb
STK19,705,705.0,-0.8964,492,427,1839,False,-1347.0
PHF23,702,702.0,0.8561,493,428,325,False,168.0
COASY,699,622.0,0.901,494,472,305,False,189.0
RASA2,699,699.0,0.9328,494,429,289,False,205.0
PTCD2,699,699.0,0.2508,494,429,717,False,-223.0
COQ3,698,698.0,1.02,497,431,248,False,249.0
YEATS2,697,697.0,1.258,498,432,170,False,328.0
MRPL45,695,,,499,,,True,
ECSIT,693,693.0,-0.183,500,433,1075,False,-575.0
MTCH2,692,692.0,-0.9126,501,434,1861,False,-1360.0
CUL3,692,692.0,1.3438,501,434,151,False,350.0
RBCK1,691,691.0,-0.5633,503,436,1453,False,-950.0
ATP5MF,688,688.0,0.1112,504,437,816,False,-312.0
HUWE1,687,687.0,-0.8229,505,438,1748,False,-1243.0
ZNF70,686,686.0,-0.4827,506,439,1363,False,-857.0
IWS1,685,685.0,1.2708,507,440,167,False,340.0
LAMTOR4,683,683.0,0.5467,508,441,507,False,1.0
MRPS21,683,,,508,,,True,
HSD17B10,679,679.0,0.8734,510,443,315,False,195.0
KATNIP,676,676.0,0.1487,511,444,795,False,-284.0
MYC,675,675.0,0.3949,512,445,610,False,-98.0
CMTR2,673,673.0,0.7553,513,446,387,False,126.0
SLC35C2,672,672.0,-1.5288,514,447,2915,False,-2401.0
MRPL46,671,,,515,,,True,
GANAB,670,670.0,0.5321,516,448,521,False,-5.0
ADO,667,667.0,0.4583,517,449,571,False,-54.0
UMPS,667,,,517,,,True,
MRPL18,664,,,519,,,True,
ATP8B1,662,,,520,,,True,
ZNF221,662,662.0,0.8075,520,450,353,False,167.0
CCNK,661,661.0,0.8123,522,451,350,False,172.0
CNOT11,660,660.0,1.1122,523,452,224,False,299.0
BATF,659,659.0,1.2136,524,453,183,False,341.0
ZNF554,658,658.0,1.0706,525,454,231,False,294.0
FMC1-LUC7L2,656,,,526,,,True,
GTF3C6,653,653.0,0.4123,527,455,600,False,-73.0
WIZ,652,652.0,0.9776,528,456,268,False,260.0
TUFM,651,651.0,0.9301,529,457,290,False,239.0
PARS2,650,650.0,0.9132,530,458,296,False,234.0
GMEB1,650,650.0,1.1092,530,458,225,False,305.0
SEC63,646,646.0,1.0199,532,460,249,False,283.0
SEC14L1,645,645.0,0.74,533,461,401,False,132.0
