target_contrast_gene_name,rank,regpower_eb_mean,regpower_eb_sd,p_top_1pct,n_conditions,expected_downstream,shrinkage,n_signif_conditions,xcond_reproducibility,any_offtarget
SGF29,1,2.5012,0.8956,0.8236,3,930.5,0.629,3,0.708,False
TADA2B,2,2.446,0.8956,0.8071,3,1240.2,0.629,3,0.791,True
SENP5,3,2.4291,0.8956,0.8019,3,865.8,0.629,3,0.541,False
SUPT20H,4,2.3911,0.8956,0.7899,3,833.4,0.629,3,0.778,False
TADA1,5,2.3527,0.8956,0.7773,3,802.1,0.629,3,0.807,False
CCNC,6,2.2948,0.8956,0.7576,3,756.9,0.629,3,0.555,False
MED12,7,2.2839,0.8956,0.7538,3,748.7,0.629,3,0.494,False
NFRKB,8,2.265,0.8956,0.747,3,734.6,0.629,3,0.834,False
TAF6L,9,2.2397,0.8956,0.7379,3,1008.9,0.629,3,0.726,True
ARNT,10,2.2236,0.8956,0.7321,3,704.9,0.629,3,0.787,False
ATP2A2,11,2.2224,0.8956,0.7316,3,704.0,0.629,3,0.445,False
TAF13,12,2.1897,0.8956,0.7194,3,681.3,0.629,3,0.628,False
LEO1,13,2.1758,0.8956,0.7142,3,672.0,0.629,3,0.594,False
KDM1A,14,2.1629,0.8956,0.7093,3,663.3,0.629,3,0.693,False
ELOF1,15,2.1495,0.8956,0.7041,3,1094.1,0.629,3,0.775,True
SMARCE1,16,2.1436,0.8956,0.7018,3,650.6,0.629,3,0.485,False
ELOB,17,2.1128,0.8956,0.6898,3,630.9,0.629,3,0.488,False
DENR,18,2.1044,0.8956,0.6865,3,625.6,0.629,3,0.408,False
ATAD5,19,2.1029,0.8956,0.6859,3,1044.2,0.629,3,0.917,True
SUPT7L,20,2.0977,0.8956,0.6838,3,1038.8,0.629,3,0.676,True
DHX36,21,2.0928,0.8956,0.6819,3,618.3,0.629,3,0.777,False
ELAVL1,22,2.0873,0.8956,0.6797,3,615.0,0.629,3,0.925,False
EIF4G2,23,2.085,0.8956,0.6788,3,613.5,0.629,3,0.723,False
SMG1,24,2.0846,0.8956,0.6786,3,613.3,0.629,3,0.635,False
CREBBP,25,2.0793,0.8956,0.6765,3,610.1,0.629,3,0.526,False
AHR,26,2.0783,0.8956,0.6761,3,609.5,0.629,3,0.637,False
USP22,27,2.0489,0.8956,0.6642,3,591.8,0.629,3,0.749,False
MED15,28,2.0454,0.8956,0.6628,3,589.7,0.629,3,0.478,False
NSD1,29,2.0439,0.8956,0.6621,3,588.8,0.629,3,0.812,False
RPRD2,30,2.0414,0.8956,0.6611,3,587.4,0.629,3,0.547,False
CPSF6,31,2.0382,0.8956,0.6598,3,585.5,0.629,3,0.559,False
UBE2L3,32,1.9877,0.8956,0.6389,3,556.6,0.629,3,0.372,False
UFM1,33,1.9654,0.8956,0.6296,3,544.3,0.629,3,0.608,False
UBXN1,34,1.9518,0.8956,0.6238,3,637.3,0.629,3,0.121,True
WAC,35,1.9464,0.8956,0.6215,3,534.1,0.629,3,0.47,False
SMARCB1,36,1.9199,0.8956,0.6102,3,520.1,0.629,3,0.487,False
SETDB1,37,1.8826,0.8956,0.5942,3,501.0,0.629,3,0.517,False
WDR82,38,1.8802,0.8956,0.5931,3,499.8,0.629,3,0.699,False
YTHDF2,39,1.8798,0.8956,0.593,3,499.7,0.629,3,0.344,False
SKIC8,40,1.8694,0.8956,0.5884,3,494.5,0.629,3,0.377,False
ATF7IP2,41,1.862,0.8956,0.5852,3,490.8,0.629,3,0.312,False
SIN3B,42,1.8606,0.8956,0.5846,3,490.1,0.629,3,0.777,False
MTA2,43,1.8531,0.8956,0.5813,3,486.4,0.629,3,0.678,False
PDSS2,44,1.8478,0.8956,0.579,3,483.9,0.629,3,0.423,False
CHD7,45,1.8432,0.8956,0.577,3,481.7,0.629,3,0.452,False
KIFAP3,46,1.8239,0.8956,0.5686,3,472.5,0.629,3,0.793,False
SMG7,47,1.8224,0.8956,0.5679,3,471.7,0.629,3,0.512,False
UBR5,48,1.8221,0.8956,0.5678,3,471.6,0.629,3,0.701,False
MED24,49,1.807,0.8956,0.5611,3,654.4,0.629,3,0.55,True
DOLPP1,50,1.7982,0.8956,0.5572,3,460.4,0.629,3,0.213,False
NCKAP1L,51,1.7972,0.8956,0.5568,3,460.0,0.629,3,0.2,False
PTEN,52,1.7843,0.8956,0.5511,3,454.1,0.629,3,0.158,False
INTS10,53,1.7782,0.8956,0.5484,3,451.3,0.629,3,0.344,False
MED19,54,1.7744,0.8956,0.5467,3,751.7,0.629,3,0.328,True
BTAF1,55,1.7662,0.8956,0.5431,3,445.9,0.629,3,0.705,False
STAT3,56,1.7642,0.8956,0.5422,3,445.1,0.629,3,0.58,False
USP7,57,1.7591,0.8956,0.54,3,442.8,0.629,3,0.669,False
DOP1B,58,1.7578,0.8956,0.5394,3,442.2,0.629,3,0.188,False
TAF11,59,1.7506,0.8956,0.5362,3,734.0,0.629,3,0.589,True
CASC3,60,1.7428,0.8956,0.5327,3,435.6,0.629,3,0.718,False
NAA30,61,1.7371,0.8956,0.5302,3,433.1,0.629,3,0.311,False
STRAP,62,1.7351,0.8956,0.5293,3,432.3,0.629,3,0.5,False
EHMT2,63,1.7276,0.8956,0.526,3,429.0,0.629,3,0.704,False
EWSR1,64,1.7248,0.8956,0.5248,3,715.3,0.629,3,0.725,True
MYB,65,1.7232,0.8956,0.524,3,427.1,0.629,3,0.773,False
BHLHE40,66,1.711,0.8956,0.5186,3,422.0,0.629,3,0.232,False
HCCS,67,1.7063,0.8956,0.5165,3,420.0,0.629,3,0.66,False
RTRAF,68,1.7047,0.8956,0.5158,3,419.3,0.629,3,0.254,False
POGLUT3,69,1.7046,0.8956,0.5158,3,419.3,0.629,3,0.283,False
STIP1,70,1.7019,0.8956,0.5146,3,418.1,0.629,3,0.697,False
BRPF1,71,1.6936,0.8956,0.5108,3,414.7,0.629,3,0.448,False
PDCL,72,1.6932,0.8956,0.5107,3,414.5,0.629,3,0.501,False
NCOR1,73,1.6885,0.8956,0.5086,3,689.8,0.629,3,0.846,True
GATA3,74,1.6843,0.8956,0.5067,3,410.8,0.629,3,0.708,False
NCAPG2,75,1.6787,0.8956,0.5042,3,408.5,0.629,3,0.395,False
PRKAR1A,76,1.6775,0.8956,0.5037,3,408.0,0.629,3,0.647,False
TRAF3,77,1.6762,0.8956,0.5031,3,407.5,0.629,3,0.373,False
PAXIP1,78,1.6749,0.8956,0.5025,3,407.0,0.629,3,0.799,False
CSDE1,79,1.6748,0.8956,0.5025,3,407.0,0.629,3,0.38,False
GABPB1,80,1.6699,0.8956,0.5003,3,404.9,0.629,3,0.499,False
TMED9,81,1.6644,0.8956,0.4978,3,478.0,0.629,3,0.201,True
BRD8,82,1.663,0.8956,0.4972,3,672.4,0.629,3,0.224,True
DNTTIP1,83,1.6601,0.8956,0.4959,3,401.0,0.629,3,0.087,False
VAV1,84,1.6584,0.8956,0.4952,3,400.3,0.629,3,0.014,False
FAM98B,85,1.647,0.8956,0.4901,3,395.8,0.629,3,0.625,False
LRPPRC,86,1.6456,0.8956,0.4895,3,395.2,0.629,3,0.4,False
CBFB,87,1.6337,0.8956,0.4842,3,390.5,0.629,3,0.774,False
ZAP70,88,1.6234,0.8956,0.4796,3,386.5,0.629,3,0.016,False
MEN1,89,1.6223,0.8956,0.4791,3,458.3,0.629,3,0.28,True
MOV10,90,1.6189,0.8956,0.4776,3,384.8,0.629,3,0.52,False
TRIP12,91,1.6187,0.8956,0.4775,3,541.9,0.629,3,0.379,True
TARS2,92,1.6039,0.8956,0.4709,3,379.0,0.629,3,0.363,False
MCTS1,93,1.6038,0.8956,0.4709,3,449.9,0.629,3,0.715,True
CAND1,94,1.5954,0.8956,0.4671,3,375.8,0.629,3,0.723,False
THAP11,95,1.5919,0.8956,0.4656,3,374.5,0.629,3,0.285,False
ZNF613,96,1.5864,0.8956,0.4632,3,372.5,0.629,3,0.417,False
FUBP1,97,1.577,0.8956,0.459,3,369.0,0.629,3,0.441,False
TFAM,98,1.5767,0.8956,0.4589,3,368.9,0.629,3,0.115,False
ARHGAP30,99,1.5743,0.8956,0.4578,3,368.0,0.629,3,0.162,False
TNPO1,100,1.5681,0.8956,0.4551,3,365.7,0.629,3,0.49,False
DDX6,101,1.5599,0.8956,0.4514,3,362.7,0.629,3,0.579,False
CHD4,102,1.5591,0.8956,0.4511,3,362.4,0.629,3,0.274,False
SMARCA5,103,1.5579,0.8956,0.4505,3,362.0,0.629,3,0.048,False
DDRGK1,104,1.5529,0.8956,0.4483,3,602.2,0.629,3,0.811,True
STAT5B,105,1.5469,0.8956,0.4457,3,358.0,0.629,3,0.524,False
PCGF1,106,1.5421,0.8956,0.4435,3,356.3,0.629,3,0.634,False
TSC1,107,1.5413,0.8956,0.4432,3,356.0,0.629,3,0.207,False
METTL1,108,1.5397,0.8956,0.4425,3,355.4,0.629,3,0.401,False
LCK,109,1.537,0.8956,0.4413,3,354.5,0.629,3,0.128,False
WDR59,110,1.5344,0.8956,0.4401,3,353.6,0.629,3,0.425,False
FOXO1,111,1.5278,0.8956,0.4372,3,351.2,0.629,3,0.437,False
SP2,112,1.5271,0.8956,0.437,3,351.0,0.629,3,0.228,False
UFL1,113,1.5202,0.8956,0.4339,3,348.6,0.629,3,0.492,False
ATXN10,114,1.5176,1.0073,0.4402,2,348.8,0.53,2,0.948,False
CXXC1,115,1.5139,0.8956,0.4312,3,346.4,0.629,3,0.4,False
DOHH,116,1.4943,0.8956,0.4226,3,339.7,0.629,3,0.216,False
DCP2,117,1.4928,0.8956,0.4219,3,339.1,0.629,3,0.74,False
ATXN7L3,118,1.4847,0.8956,0.4184,3,336.4,0.629,3,0.259,False
STK11,119,1.4778,0.8956,0.4154,3,334.1,0.629,3,0.345,False
CFAP20,120,1.4748,0.8956,0.4141,3,333.1,0.629,3,0.351,False
C1D,121,1.4615,0.8956,0.4083,3,328.7,0.629,3,0.578,False
KTI12,122,1.4556,0.8956,0.4057,3,326.7,0.629,3,0.884,False
INTS14,123,1.4506,0.8956,0.4036,3,325.1,0.629,3,0.881,False
KMT5B,124,1.4502,0.8956,0.4034,3,325.0,0.629,3,0.653,False
TIPRL,125,1.4488,0.8956,0.4028,3,324.5,0.629,3,0.301,False
CYB5R4,126,1.4467,0.8956,0.4019,3,323.8,0.629,3,0.154,False
CARMIL2,127,1.4341,0.8956,0.3964,3,319.8,0.629,3,0.033,False
DPH5,128,1.4326,0.8956,0.3958,3,319.3,0.629,3,0.385,False
PCYT2,129,1.4303,0.8956,0.3948,3,318.6,0.629,3,0.827,False
HMBS,130,1.4277,0.8956,0.3937,3,317.7,0.629,3,0.511,False
SMG9,131,1.4248,0.8956,0.3924,3,316.8,0.629,3,0.414,False
EIF4G1,132,1.4238,1.0073,0.4038,2,317.6,0.53,2,0.448,False
ZNF148,133,1.4235,0.8956,0.3919,3,316.4,0.629,3,0.363,False
PTPRC,134,1.4233,0.8956,0.3918,3,316.3,0.629,3,0.017,False
SIK3,135,1.4228,0.8956,0.3916,3,316.2,0.629,3,0.252,False
FBXO32,136,1.4207,0.8956,0.3907,3,315.5,0.629,3,0.285,False
SEL1L,137,1.4201,0.8956,0.3904,3,315.3,0.629,3,0.186,False
GPI,138,1.419,0.8956,0.3899,3,315.0,0.629,3,0.128,False
DUSP12,139,1.4113,1.0073,0.3989,2,313.6,0.53,2,0.223,False
UBR4,140,1.4031,0.8956,0.3832,3,310.0,0.629,3,0.421,False
SRSF10,141,1.4005,0.8956,0.3821,3,309.2,0.629,3,0.328,False
BRK1,142,1.3897,0.8956,0.3775,3,305.9,0.629,3,0.333,False
CDK13,143,1.3869,0.8956,0.3763,3,305.0,0.629,3,0.627,False
HAPSTR1,144,1.381,0.8956,0.3738,3,303.2,0.629,3,0.375,False
GDAP2,145,1.3805,0.8956,0.3736,3,303.1,0.629,3,0.506,False
MMAB,146,1.3748,0.8956,0.3712,3,301.3,0.629,3,0.604,False
FNBP4,147,1.3616,0.8956,0.3656,3,297.4,0.629,3,0.609,False
CLCC1,148,1.351,0.8956,0.3612,3,294.2,0.629,3,0.137,False
SMG8,149,1.3507,0.8956,0.361,3,294.2,0.629,3,0.762,False
TP53INP2,150,1.3465,1.0073,0.3743,2,280.9,0.53,2,0.3,False
CUL3,151,1.3437,0.8956,0.3581,3,292.1,0.629,3,0.844,False
NFKB2,152,1.3378,0.8956,0.3557,3,344.7,0.629,3,0.328,True
PIM1,153,1.3377,1.0073,0.371,2,291.3,0.53,2,0.952,False
NKAPD1,154,1.3362,0.8956,0.355,3,289.9,0.629,3,0.645,False
MOSPD2,155,1.3357,0.8956,0.3548,3,484.6,0.629,3,0.366,True
THRAP3,156,1.3351,0.8956,0.3545,3,289.6,0.629,3,0.216,False
DOCK2,157,1.332,0.8956,0.3533,3,288.7,0.629,3,0.277,False
BRMS1,158,1.3186,0.8956,0.3477,3,476.3,0.629,3,0.44,True
UPF2,159,1.3147,0.8956,0.3461,3,283.7,0.629,3,0.674,False
UBE2I,160,1.313,0.8956,0.3454,3,283.3,0.629,3,0.596,False
YY1,161,1.3109,0.8956,0.3445,3,282.6,0.629,3,0.493,False
ARIH1,162,1.3062,0.8956,0.3426,3,281.3,0.629,3,0.498,False
COX6C,163,1.3055,0.8956,0.3423,3,281.1,0.629,3,0.178,False
RB1CC1,164,1.2851,0.8956,0.334,3,275.4,0.629,3,0.434,False
COG6,165,1.2776,1.0073,0.3487,2,284.2,0.53,2,0.578,False
ARPC2,166,1.2709,0.8956,0.3282,3,271.5,0.629,3,0.207,False
IWS1,167,1.2707,0.8956,0.3282,3,271.5,0.629,3,0.597,False
CFAP298,168,1.265,1.0073,0.3441,2,270.9,0.53,2,0.341,False
NRBP1,169,1.2592,0.8956,0.3235,3,268.4,0.629,3,0.512,False
YEATS2,170,1.2579,0.8956,0.323,3,268.0,0.629,3,0.723,False
ACTR8,171,1.2562,0.8956,0.3223,3,377.0,0.629,3,0.693,True
LAMTOR2,172,1.2544,0.8956,0.3216,3,376.4,0.629,3,0.196,True
RPTOR,173,1.2508,1.0073,0.3389,2,267.0,0.53,2,0.119,False
NUDCD1,174,1.2498,0.8956,0.3198,3,444.6,0.629,3,0.145,True
PNPT1,175,1.2491,0.8956,0.3195,3,265.7,0.629,3,0.105,False
UVRAG,176,1.2405,1.0073,0.3352,2,264.3,0.53,2,0.311,False
EIF1AX,177,1.2392,1.175,0.3572,1,286.1,0.361,1,0.018,False
GLIPR2,178,1.2366,0.8956,0.3145,3,262.4,0.629,3,0.118,False
METAP2,179,1.2236,0.8956,0.3094,3,259.0,0.629,3,0.486,False
MIOS,180,1.2234,0.8956,0.3093,3,258.9,0.629,3,0.553,False
TM2D1,181,1.2207,0.8956,0.3083,3,258.2,0.629,3,0.281,False
CCNQ,182,1.218,0.8956,0.3072,3,257.5,0.629,3,0.53,False
BATF,183,1.2135,0.8956,0.3054,3,256.4,0.629,3,0.571,False
CTDSPL2,184,1.2107,0.8956,0.3043,3,255.7,0.629,3,0.554,False
BCS1L,185,1.2071,0.8956,0.3029,3,426.0,0.629,3,0.339,True
ERCC4,186,1.206,0.8956,0.3025,3,254.5,0.629,3,0.224,False
RNF20,187,1.202,1.0073,0.3214,2,263.4,0.53,2,0.249,False
INSR,188,1.202,1.0073,0.3214,2,243.0,0.53,2,0.067,False
USO1,189,1.1967,0.8956,0.2989,3,252.1,0.629,3,0.123,False
MIPEP,190,1.1965,0.8956,0.2988,3,252.1,0.629,3,0.07,False
PPCS,191,1.1963,1.0073,0.3193,2,252.8,0.53,2,0.214,False
PGGT1B,192,1.1919,1.0073,0.3178,2,251.7,0.53,2,0.058,False
TSPYL5,193,1.1875,1.175,0.3409,1,271.7,0.361,1,0.714,False
STX16,194,1.1875,0.8956,0.2953,3,249.8,0.629,3,0.188,False
INTS13,195,1.1864,0.8956,0.2949,3,417.3,0.629,3,0.528,True
FH,196,1.1843,1.0073,0.3151,2,249.8,0.53,2,0.571,False
EIF1,197,1.1839,0.8956,0.2939,3,248.9,0.629,3,0.468,False
TESPA1,198,1.1829,0.8956,0.2935,3,248.6,0.629,3,0.071,False
ELP3,199,1.1802,0.8956,0.2925,3,248.0,0.629,3,0.188,False
PPDPF,200,1.1787,0.8956,0.292,3,247.6,0.629,3,0.116,False
RASGRP1,201,1.1765,0.8956,0.2911,3,247.0,0.629,3,0.31,False
UBAP2L,202,1.172,0.8956,0.2894,3,411.3,0.629,3,0.563,True
SAP130,203,1.1705,0.8956,0.2888,3,245.6,0.629,3,0.586,False
DNAJC8,204,1.1671,0.8956,0.2875,3,409.3,0.629,3,0.14,True
ZMYM2,205,1.1653,0.8956,0.2868,3,244.3,0.629,3,0.08,False
ELP2,206,1.1561,0.8956,0.2833,3,404.8,0.629,3,0.593,True
CEP43,207,1.1541,0.8956,0.2826,3,241.6,0.629,3,0.229,False
C11orf54,208,1.1519,0.8956,0.2818,3,241.0,0.629,3,0.151,False
SAMD1,209,1.1508,0.8956,0.2813,3,240.8,0.629,3,0.656,False
MRC2,210,1.1504,0.8956,0.2812,3,240.7,0.629,3,0.101,False
SRR,211,1.1449,0.8956,0.2791,3,239.3,0.629,3,0.341,False
SCYL3,212,1.1442,0.8956,0.2788,3,239.2,0.629,3,0.249,False
SLC35B1,213,1.143,0.8956,0.2784,3,238.9,0.629,3,0.069,False
BPTF,214,1.138,0.8956,0.2765,3,237.7,0.629,3,0.638,False
MBD2,215,1.1325,0.8956,0.2745,3,236.4,0.629,3,0.201,False
ARPC3,216,1.1264,0.8956,0.2722,3,235.0,0.629,3,0.162,False
EIF3H,217,1.1255,0.8956,0.2719,3,234.7,0.629,3,0.212,False
DDX17,218,1.1249,0.8956,0.2717,3,234.6,0.629,3,0.157,False
TMED10,219,1.122,0.8956,0.2706,3,233.9,0.629,3,0.465,False
MYO9A,220,1.1208,0.8956,0.2701,3,233.6,0.629,3,0.692,False
EDC3,221,1.1205,0.8956,0.27,3,233.6,0.629,3,0.143,False
KMT2E,222,1.1161,0.8956,0.2684,3,232.5,0.629,3,0.339,False
UQCRB,223,1.1159,0.8956,0.2683,3,232.5,0.629,3,0.621,False
CNOT11,224,1.1121,0.8956,0.2669,3,231.6,0.629,3,0.532,False
GMEB1,225,1.1091,0.8956,0.2658,3,230.9,0.629,3,0.374,False
CCNA2,226,1.1068,0.8956,0.265,3,273.5,0.629,3,0.469,True
INTS12,227,1.0961,0.8956,0.2611,3,381.2,0.629,3,0.421,True
MPI,228,1.0928,0.8956,0.2599,3,227.2,0.629,3,0.064,False
XRCC2,229,1.0918,0.8956,0.2595,3,226.9,0.629,3,0.625,False
RRAGA,230,1.0884,0.8956,0.2583,3,226.2,0.629,3,0.075,False
ZNF554,231,1.0705,0.8956,0.2519,3,222.2,0.629,3,0.331,False
NCBP3,232,1.0685,0.8956,0.2512,3,221.7,0.629,3,0.323,False
ACTR5,233,1.067,0.8956,0.2506,3,221.4,0.629,3,0.567,False
KPNA1,234,1.0622,0.8956,0.2489,3,220.3,0.629,3,0.143,False
CNOT4,235,1.0565,0.8956,0.2469,3,219.1,0.629,3,0.148,False
DHPS,236,1.0502,0.8956,0.2447,3,217.7,0.629,3,0.633,False
PTPA,237,1.0483,0.8956,0.2441,3,257.9,0.629,3,0.264,True
NIPBL,238,1.0478,0.8956,0.2439,3,217.1,0.629,3,0.542,False
L3MBTL2,239,1.047,0.8956,0.2436,3,217.0,0.629,3,0.732,False
DLG4,240,1.0465,1.175,0.2981,1,200.7,0.361,1,0.023,False
PMVK,241,1.0434,0.8956,0.2423,3,216.2,0.629,3,0.025,False
KMT2C,242,1.0413,0.8956,0.2416,3,215.7,0.629,3,0.664,False
RBM10,243,1.0379,0.8956,0.2404,3,359.7,0.629,3,0.255,True
LAT,244,1.0337,0.8956,0.239,3,214.1,0.629,3,0.001,False
ATRX,245,1.0327,0.8956,0.2386,3,213.9,0.629,3,0.257,False
TSC2,246,1.0289,0.8956,0.2373,3,356.4,0.629,3,0.388,True
SLC31A1,247,1.0217,0.8956,0.2348,3,353.9,0.629,3,0.178,True
COQ3,248,1.0199,0.8956,0.2342,3,211.2,0.629,3,0.331,False
SEC63,249,1.0198,0.8956,0.2342,3,211.1,0.629,3,0.452,False
FZD6,250,1.0177,1.175,0.2896,1,229.2,0.361,1,0.004,False
PARP14,251,1.0145,0.8956,0.2324,3,210.0,0.629,3,0.085,False
CAMSAP1,252,1.0117,0.8956,0.2314,3,209.4,0.629,3,0.144,False
PPIH,253,1.0071,0.8956,0.2298,3,208.5,0.629,3,0.183,False
MED23,254,1.0069,0.8956,0.2298,3,208.4,0.629,3,0.144,False
RHOF,255,1.0063,0.8956,0.2296,3,208.3,0.629,3,0.608,False
RBM27,256,1.0044,0.8956,0.2289,3,207.9,0.629,3,0.233,False
TMEM214,257,1.004,0.8956,0.2288,3,207.8,0.629,3,0.145,False
SHLD1,258,1.0021,0.8956,0.2281,3,207.4,0.629,3,0.584,False
ZNF644,259,0.9994,0.8956,0.2272,3,206.9,0.629,3,0.619,False
DDX1,260,0.9969,1.0073,0.2522,2,207.0,0.53,2,0.375,False
PPP1R11,261,0.995,0.8956,0.2257,3,344.5,0.629,3,0.465,True
RHOA,262,0.9912,1.175,0.2819,1,203.8,0.361,1,1.0,False
INO80C,263,0.9871,0.8956,0.2231,3,204.3,0.629,3,0.44,False
NAA20,264,0.9849,0.8956,0.2224,3,203.9,0.629,3,0.427,False
VARS2,265,0.9812,0.8956,0.2212,3,203.1,0.629,3,0.046,False
NELFCD,266,0.9802,0.8956,0.2208,3,202.9,0.629,3,0.076,False
MED1,267,0.9795,0.8956,0.2206,3,202.8,0.629,3,0.282,False
RCOR1,268,0.9775,0.8956,0.2199,3,202.4,0.629,3,0.306,False
WIZ,269,0.9775,0.8956,0.2199,3,202.4,0.629,3,0.354,False
ELP5,270,0.9753,0.8956,0.2192,3,201.9,0.629,3,0.361,False
ACTR2,271,0.9753,0.8956,0.2192,3,201.9,0.629,3,0.073,False
OXA1L,272,0.9749,0.8956,0.2191,3,201.8,0.629,3,0.073,False
IST1,273,0.9737,0.8956,0.2187,3,201.6,0.629,3,0.318,False
CDC25B,274,0.9731,0.8956,0.2185,3,201.5,0.629,3,0.024,False
ATP5PO,275,0.9706,0.8956,0.2177,3,201.0,0.629,3,0.08,False
IL2RB,276,0.9688,1.0073,0.2434,2,208.5,0.53,2,0.212,False
WAPL,277,0.9672,0.8956,0.2165,3,200.3,0.629,3,0.12,False
ADAM19,278,0.9612,0.8956,0.2146,3,199.1,0.629,3,0.54,False
DNAJC24,279,0.9583,0.8956,0.2136,3,198.5,0.629,3,0.454,False
CREB1,280,0.9552,0.8956,0.2126,3,197.9,0.629,3,0.408,False
DNAJC2,281,0.9514,1.0073,0.238,2,330.9,0.53,2,0.049,True
KLF2,282,0.951,1.175,0.2705,1,182.4,0.361,1,0.181,False
TWNK,283,0.9456,0.8956,0.2095,3,196.0,0.629,3,0.272,False
ACLY,284,0.9435,0.8956,0.2089,3,195.6,0.629,3,0.005,False
TP53,285,0.9429,0.8956,0.2087,3,327.0,0.629,3,0.103,True
EGR2,286,0.938,1.0073,0.2339,2,202.2,0.53,2,0.0,False
ELP1,287,0.9361,0.8956,0.2065,3,194.1,0.629,3,0.163,False
TASOR,288,0.9339,0.8956,0.2058,3,193.7,0.629,3,0.764,False
RASA2,289,0.9328,0.8956,0.2054,3,193.5,0.629,3,0.312,False
TUFM,290,0.93,0.8956,0.2046,3,193.0,0.629,3,0.186,False
PPM1L,291,0.9291,1.175,0.2644,1,178.4,0.361,1,0.0,False
CBLL1,292,0.927,0.8956,0.2036,3,192.4,0.629,3,0.435,False
ALG8,293,0.9214,0.8956,0.2018,3,191.3,0.629,3,0.1,False
ATF4,294,0.9185,0.8956,0.2009,3,190.7,0.629,3,0.08,False
SEC61B,295,0.917,1.0073,0.2276,2,319.7,0.53,2,0.793,True
PARS2,296,0.9131,0.8956,0.1993,3,189.7,0.629,3,0.149,False
ZNF649,297,0.9112,0.8956,0.1986,3,189.4,0.629,3,0.089,False
LSM12,298,0.9103,0.8956,0.1984,3,266.6,0.629,3,0.644,True
UBE2E2,299,0.9091,1.0073,0.2252,2,196.4,0.53,2,0.003,False
DYNC2H1,300,0.9055,1.175,0.2578,1,174.2,0.361,1,0.0,False
TSTD2,301,0.9049,0.8956,0.1967,3,188.2,0.629,3,0.44,False
PCBP2,302,0.9039,0.8956,0.1964,3,188.0,0.629,3,0.161,False
PGK1,303,0.9012,0.8956,0.1956,3,187.5,0.629,3,0.507,False
PPIL1,304,0.9012,0.8956,0.1955,3,187.5,0.629,3,0.198,False
COASY,305,0.9009,1.0073,0.2228,2,194.8,0.53,2,0.432,False
DCAKD,306,0.9,0.8956,0.1952,3,263.9,0.629,3,0.074,True
RBM33,307,0.8983,0.8956,0.1947,3,186.9,0.629,3,0.201,False
RELL2,308,0.896,1.0073,0.2214,2,313.1,0.53,2,0.388,True
CD3E,309,0.894,0.8956,0.1933,3,186.1,0.629,3,0.001,False
LIG1,310,0.8911,0.8956,0.1924,3,220.3,0.629,3,0.065,True
HDAC3,311,0.8881,0.8956,0.1915,3,260.8,0.629,3,0.106,True
PAGR1,312,0.8874,0.8956,0.1913,3,184.9,0.629,3,0.195,False
TXNL4B,313,0.8855,1.175,0.2524,1,200.7,0.361,1,0.08,False
EFR3A,314,0.8825,0.8956,0.1898,3,184.0,0.629,3,0.006,False
HSD17B10,315,0.8734,0.8956,0.1871,3,182.3,0.629,3,0.183,False
TIMM8B,316,0.8724,0.8956,0.1868,3,182.1,0.629,3,0.309,False
SINHCAF,317,0.8723,0.8956,0.1868,3,182.1,0.629,3,0.047,False
GABARAPL1,318,0.872,1.175,0.2487,1,168.5,0.361,1,0.001,False
RAB11FIP1,319,0.8674,0.8956,0.1853,3,181.2,0.629,3,0.37,False
PLCG1,320,0.8673,0.8956,0.1853,3,181.2,0.629,3,0.0,False
INO80,321,0.865,0.8956,0.1846,3,180.8,0.629,3,0.718,False
IL12RB2,322,0.864,0.8956,0.1843,3,180.6,0.629,3,0.212,False
MORC2,323,0.8623,0.8956,0.1838,3,180.3,0.629,3,0.102,False
DR1,324,0.8563,0.8956,0.182,3,179.2,0.629,3,0.172,False
PHF23,325,0.8561,0.8956,0.1819,3,299.8,0.629,3,0.573,True
KHDRBS1,326,0.8519,0.8956,0.1807,3,178.4,0.629,3,0.174,False
EIF3J,327,0.8479,0.8956,0.1795,3,177.7,0.629,3,0.545,False
RXRB,328,0.8446,1.0073,0.2065,2,169.8,0.53,2,0.276,False
KAT14,329,0.8438,1.0073,0.2063,2,297.1,0.53,2,0.566,True
TRRAP,330,0.8409,0.8956,0.1775,3,176.5,0.629,3,0.027,False
UQCRC1,331,0.8381,1.0073,0.2047,2,176.6,0.53,2,0.497,False
FITM1,332,0.8331,1.175,0.2384,1,162.0,0.361,1,0.01,False
FBXL15,333,0.833,0.8956,0.1752,3,175.1,0.629,3,0.064,False
SCAF4,334,0.8305,0.8956,0.1745,3,174.6,0.629,3,0.277,False
ZNF837,335,0.8302,1.175,0.2376,1,173.4,0.361,1,0.0,False
UBC,336,0.8266,0.8956,0.1734,3,174.0,0.629,3,0.038,False
MEAF6,337,0.8246,0.8956,0.1728,3,173.6,0.629,3,0.338,False
ZEB1,338,0.8232,0.8956,0.1724,3,173.4,0.629,3,0.518,False
IL7R,339,0.8224,1.175,0.2355,1,188.4,0.361,1,0.122,False
PCBP1,340,0.8184,0.8956,0.171,3,172.5,0.629,3,0.122,False
N6AMT1,341,0.8177,1.0073,0.1989,2,179.2,0.53,2,0.527,False
EPB41L3,342,0.8175,1.175,0.2343,1,187.5,0.361,1,0.001,False
ERCC1,343,0.8172,0.8956,0.1707,3,172.3,0.629,3,0.54,False
